date,AdrActCnt,IssTotNtv,NVTAdj,NVTAdj90,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,TxTfrValNtv
2017-05-15,8,226666.666666666678,1,,226666.666666666678,7,7,226666.666666667,32380.9523809524,26666.6666666667,226666.666666666678
2017-05-16,0,0,,,226666.666666666678,0,0,0,,,0
2017-05-17,2945,39382857.142857142862,8.8120925,,39609523.80952380954,1466,1466,4494905.58609323,4688.99514469805,595,6874066.882127343014894935
2017-05-18,911,0,7.85700003,,39609523.80952380954,1304,1303,5041303.76241966,5885.61871625011,677.50627075,7668961.187273893089659584
2017-05-19,477,0,26.5596112,,39609523.80952380954,667,667,1491344.26371516,3867.24826550602,399.99,2579454.593092512773901056
2017-05-20,476,0,5.59897009,,39609523.80952380954,610,609,7074430.32234467,12511.5042537778,100,7619506.090550679502214301
2017-05-21,311,0,31.65056639,,39609523.80952380954,420,420,1251463.34878227,4268.73428769196,355.619619605,1792868.40083062152429
2017-05-22,327,0,28.6397325,,39609523.80952380954,478,478,1383027.01695751,3590.9508647802,370,1716474.513364936668
2017-05-23,359,0,27.81947099,,39609523.80952380954,541,541,1423805.78801166,3301.47053406919,299.95,1786095.558931431146574943
2017-05-24,587,0,37.95681915,,39609523.80952380954,824,824,1043541.70600431,1969.94461094535,319.02054968,1623234.35941897107467
2017-05-25,353,0,91.00801971,,39609523.80952380954,460,460,435231.13606919,1481.52789196445,242.16653652,681502.830303648905384614
2017-05-26,335,0,70.70208348,,39609523.80952380954,445,445,560231.351880778,2011.64201216487,200,895180.695413368603534852
2017-05-27,216,0,129.93638887,,39609523.80952380954,287,287,304837.80683082,1576.34946699125,221,452412.29702649
2017-05-28,215,0,176.38272181,,39609523.80952380954,307,307,224565.78174926,1071.59429172814,276,328979.44756054
2017-05-29,241,0,197.52506606,,39609523.80952380954,306,306,200529.10042835,907.047418685727,202.020808,277556.51011783234
2017-05-30,338,0,52.1013108,,39609523.80952380954,463,462,760240.447017855,1855.59209032791,370.90961825,857283.545731495314279701
2017-05-31,297,0,72.54568755,,39609523.80952380954,378,377,545994.188571828,1696.26173451877,336.62626558,639490.673913577562323328
2017-06-01,205,0,62.98990245,,39609523.80952380954,245,245,628823.38710844,2973.22744441551,199.54636004,728440.7238818
2017-06-02,210,0,144.21636898,,39609523.80952380954,272,272,274653.453629288,1496.82051084837,210.11789506,407135.178950757812601502
2017-06-03,240,0,111.81426898,,39609523.80952380954,306,306,354243.909746416,1429.3269101499,200,437374.034505868674002006
2017-06-04,274,0,121.55830683,,39609523.80952380954,381,381,325847.939488629,1372.53494220753,387.2227225,522935.812981069017968706
2017-06-05,219,0,155.69775489,,39609523.80952380954,260,260,254400.096112842,1278.11122177535,197.796941435,332308.917661591527889023
2017-06-06,285,0,113.81592514,,39609523.80952380954,414,414,348013.898424053,1280.3051276968,290.25007013,530046.3228664746509075
2017-06-07,327,0,91.59584243,,39609523.80952380954,530,530,432438.009829348,1050.82018364992,395.737286645,556934.697334455599162809
2017-06-08,452,0,63.99960934,,39609523.80952380954,880,880,618902.58737948,1055.3667936574,404.40879916,928722.778418512402185285
2017-06-09,431,0,85.48790318,,39609523.80952380954,566,566,463334.83843352,1285.31222250772,207.036850605,727486.717939369791754214
2017-06-10,333,0,221.44361689,,39609523.80952380954,440,440,178869.566737712,510.043803001664,114.35742395,224419.27332073233766544
2017-06-11,426,0,80.69620237,,39609523.80952380954,568,568,490847.433319079,1188.74435996365,200,675206.796459354867282495
2017-06-12,407,0,144.00800642,,39609523.80952380954,499,499,275050.844698191,674.600211319977,173.38316172,336625.505448668486255746
2017-06-13,322,0,101.75996197,,39609523.80952380954,395,395,389244.67976886,1207.21986736585,149.896,476851.84760951
2017-06-14,326,0,87.84044487,,39609523.80952380954,377,377,450925.810647942,2095.23816756865,130.53422941,789904.7891733821489
2017-06-15,264,0,218.55408871,,39609523.80952380954,311,310,181234.42138833,726.020292805355,253,225066.29076966
2017-06-16,252,0,246.76365042,,39609523.80952380954,313,313,160516.039305296,789.96856118825,113.65480372,247260.159651922143464901
2017-06-17,240,0,319.39837509,,39609523.80952380954,360,360,124012.915838438,440.13095789881,51.464937565,158447.144843571628712121
2017-06-18,227,0,183.8243431,,39609523.80952380954,316,316,215474.855734466,850.036185222342,299.994832205,268611.434530260008930582
2017-06-19,245,0,220.8512984,,39609523.80952380954,284,284,179349.29111341,855.371362716951,146.86885308,242925.467011613963647417
2017-06-20,207,0,271.5588062,,39609523.80952380954,221,221,145859.839215531,862.225880617741,282.18087582,190551.919616520844100988
2017-06-21,168,0,311.75107915,,39609523.80952380954,158,158,127054.96936209,1018.43495413823,391.5,160912.722753839909500087
2017-06-22,273,0,125.06344195,,39609523.80952380954,317,315,316715.446121416,1272.54568095426,166.49301323,400851.88950059093842605
2017-06-23,233,0,169.65476005,,39609523.80952380954,268,267,233471.337895115,1262.60311642521,119.464517283545,337115.032085531889951774
2017-06-24,189,0,128.21231891,,39609523.80952380954,240,240,308936.958205317,1776.87682587761,193.1775,426450.43821062611075209
2017-06-25,198,0,154.45770405,,39609523.80952380954,297,297,256442.526149891,1136.48830403581,312.2205329,337537.026298635358729046
2017-06-26,242,0,137.40501498,,39609523.80952380954,348,348,288268.39992079,1089.80908291811,183.38434381,379253.560855502552635347
2017-06-27,163,0,209.75141973,,39609523.80952380954,221,221,188840.313261491,1185.65765814554,120.35434093,262030.342450164162759194
2017-06-28,241,0,188.57935443,,39609523.80952380954,315,315,210041.676778015,784.676133060271,100.71199149,247172.981913985418792867
2017-06-29,210,0,12.00188401,,39609523.80952380954,281,281,3300275.50448869,11860.5099826388,160.602364841719,3332803.305121508470628464
2017-06-30,188,0,241.75702543,,39609523.80952380954,231,231,163840.218251106,1049.82238281726,147.89078855,242508.970430787786297375
2017-07-01,165,0,417.12422395,,39609523.80952380954,228,228,94958.57956793,655.000679895965,180.49,149340.15501628
2017-07-02,178,0,186.31419117,,39609523.80952380954,245,245,212595.313116996,1096.7622259446,155,268706.745356426031437837
2017-07-03,133,0,325.99348283,,39609523.80952380954,165,165,121504.03580303,972.89486412303,300,160527.652580299918486071
2017-07-04,152,0,119.28202944,,39609523.80952380954,181,181,332066.14604157,2183.81535429723,199,395270.579127799572580123
2017-07-05,138,0,318.87692717,,39609523.80952380954,157,157,124215.709681102,1040.24607993721,101.21268751,163318.63455014187792335
2017-07-06,153,0,260.33665106,,39609523.80952380954,206,206,152147.320202763,865.798036284971,124.91988022,178354.39547470403577488
2017-07-07,274,0,201.03967967,,39609523.80952380954,323,323,197023.412860526,776.236974563982,47.723,250724.542784166287732448
2017-07-08,232,0,587.80578259,,39609523.80952380954,268,268,67385.3932412615,324.614993090515,23.50227686,86996.818148257951488329
2017-07-09,226,0,469.75814018,,39609523.80952380954,271,271,84318.9727259931,404.51412221239,47,109623.327119557665303116
2017-07-10,320,0,427.1866647,,39609523.80952380954,385,385,92721.8171403039,402.758766262415,65.21607341,155062.12501102967257885
2017-07-11,592,0,115.52176373,,39609523.80952380954,723,723,342874.991955456,625.439827837337,53.19543543,452192.995526394622040732
2017-07-12,478,0,217.5108913,,39609523.80952380954,609,609,182103.634316479,365.613955257781,50.46631475,222658.898751988706823063
2017-07-13,383,0,109.06675379,,39609523.80952380954,436,436,363167.715502408,1151.35519141443,55.183398255,501990.863456690506190409
2017-07-14,379,0,175.32581645,,39609523.80952380954,462,462,225919.51721912,683.257579247446,50,315665.001612320268625573
2017-07-15,284,0,318.11825112,,39609523.80952380954,357,357,124511.950100724,505.616521034619,60.15392666,180505.098009358850058322
2017-07-16,275,0,121.21629826,,39609523.80952380954,345,345,326767.310804397,1040.57681554338,57.51004576,358999.00136246692129703
2017-07-17,307,0,544.7677368,,39609523.80952380954,373,370,72709.0118110018,236.603174953843,48.33997206,87543.174732921846916378
2017-07-18,399,0,223.69768552,,39609523.80952380954,479,477,177067.204417175,486.575679187953,32.64159182,232096.598972653563212511
2017-07-19,378,0,149.18937845,,39609523.80952380954,465,465,265498.282936271,671.149914879636,89.81167247,312084.710419030639756261
2017-07-20,381,0,170.48365669,,39609523.80952380954,469,469,232336.19326986,622.909973060189,70,292144.777365228886107628
2017-07-21,333,0,541.87389684,,39609523.80952380954,407,408,73097.3092462255,217.820928164891,27.073385815,88870.938691275528961996
2017-07-22,344,0,258.75823967,,39609523.80952380954,432,432,153075.41069973,411.97065917228,51.092021925,177971.324762424861969374
2017-07-23,337,0,156.34016819,,39609523.80952380954,442,442,253354.747334409,727.364139407919,54,321494.949618300224948514
2017-07-24,351,0,123.81909459,,39609523.80952380954,430,430,319898.348001298,839.125391077268,44.82088062,360823.918163225380764661
2017-07-25,345,0,113.37201052,,39609523.80952380954,434,434,349376.566838844,1180.46541612128,55.5848648,512321.990596634142957415
2017-07-26,355,0,320.34579617,,39609523.80952380954,442,445,123646.148266316,347.022853092239,49.99,154425.169626046335599721
2017-07-27,356,0,339.17968018,,39609523.80952380954,414,418,116780.356031142,371.683472775052,30.5650508,155363.691619971701095998
2017-07-28,372,0,164.46568041,,39609523.80952380954,464,469,240837.624669659,714.418814960654,48.51681415,335062.42421654676484964
2017-07-29,315,0,183.18892045,,39609523.80952380954,363,363,216222.267770876,639.263391962249,49.20425075,232052.611282296240393255
2017-07-30,268,0,462.63777146,,39609523.80952380954,315,315,85616.709774676,317.484000788619,52.93188941,100007.46024841488069066
2017-07-31,294,0,217.01500491,,39609523.80952380954,353,354,182519.747083923,595.490141919801,48.973989055,210803.510239609673768456
2017-08-01,107,0,67.19761346,,39609523.80952380954,100,100,589448.371280069,6174.62890060699,86.396504735,617462.890060699
2017-08-02,234,0,728.52983528,,39609523.80952380954,270,270,54369.1169415408,253.44775597004,57.610772585,68430.894111910780378993
2017-08-03,429,0,217.05279799,,39609523.80952380954,543,543,182487.966872633,431.254589798367,50,234171.242260513424881821
2017-08-04,423,0,153.70313827,,39609523.80952380954,571,571,257701.464363686,553.509848783139,82.63883963,316054.123655172102469697
2017-08-05,497,0,85.06295406,,39609523.80952380954,631,631,465649.520963553,1044.74981407076,68.49344828,659237.132678651190641217
2017-08-06,379,0,280.80057127,,39609523.80952380954,452,452,141059.270750083,358.80047551679,31.997953335,162177.814933589183771109
