date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-10-25,0,0,0,,,2526172223.487739661596136547,0,,,,,,0,0,,,,,,,,0.026526997457627117,151.77254523359142,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-10-26,0,0,0,,,2334726695.584417261857470484,0,,,,,,0,0,,,,,,,,0.023777800613676216,140.27048897103003,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-10-27,0,0,0,,,2126714541.471587892284810224,0,,,,,,0,0,,,,,,,,0.022198785973115146,127.77310903165338,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-10-28,0,0,0,,,2021305019.756932629964671361,0,,,,,,0,0,,,,,,,,0.021168436060783166,121.44010004131587,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-10-29,0,0,0,,,2487669792.384712103029715238,0,,,,,,0,0,,,,,,,,0.02415339242484294,149.459317373727,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-10-30,0,0,0,,,2237522134.854052694578556072,0,,,,,,0,0,,,,,,,,0.02196015298071303,134.4304344200414,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-10-31,0,0,0,,,2726351412.469221685911216725,0,,,,,,0,0,,,,,,,,0.025461811279953252,163.79932026184716,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-11-01,0,0,0,,,2556378879.045408077038636082,0,,,,,,0,0,,,,,,,,0.02289683034328498,153.58736251103426,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-11-02,0,0,0,,,2158801864.269866429243721057,0,,,,,,0,0,,,,,,,,0.018433586908240793,129.70091688479448,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-11-03,0,0,0,,,2194311906.114016632478113698,0,,,,,,0,0,,,,,,,,0.018371582721103726,131.83436185815307,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-11-04,0,0,0,,,2397581850.523312770584604714,0,,,,,,0,0,,,,,,,,0.01946244675628288,144.04682961694095,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-11-05,0,0,0,,,2762232991.07317997153700038,0,,,,,,0,0,,,,,,,,0.0225591127118644,165.9550871810967,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-11-06,0,0,0,,,2510249720.143552288420101232,0,,,,,,0,0,,,,,,,,0.02162842828755114,150.81592048862402,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-11-07,0,0,0,,,2544360634.760248601198826731,0,,,,,,0,0,,,,,,,,0.021506402542372877,152.86530583277684,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-11-08,0,0,0,,,2448745414.799084098848946896,0,,,,,,0,0,,,,,,,,0.019757632641729982,147.12073894947065,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-11-09,0,0,0,,,2642092943.573258178057252863,0,,,,,,0,0,,,,,,,,0.02238196277030976,158.73706751323212,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-11-10,0,0,0,,,3710559856.684574054850119225,0,,,,,,0,0,,,,,,,,0.033858155469496276,222.93060958175056,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-11-11,0,0,0,,,7791094468.704903138300966787,0,,,,,,0,0,,,,,,,,0.07407482475586419,468.0893197527622,,,16644461.088794,0,0,0,0,,,,,,,,,
2017-11-12,80,5660,9174860,1621,230.86782968,4880515365.61087339000861631,21139867.656261846855,1,,,,,0,0,70750,158.099116927374,21139867.656261846855,70750,21139867.656261846855,,,0.051674487121398154,298.79671598956674,,,16333898.95015208,0,0,0,0,,,,,,,,,
