date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-07-11,2,,1407000000,,,,,,,,1407000000,0,0,0,,,,,,0,,,,
2017-07-12,5,,0,,1.40699999,,,,,,1407000000,4,4,1000000009,,250000002.25,,10,,1000000009,,,,
2017-07-13,2,,0,,703500000,,,,,,1407000000,1,1,2,,2,,2,,2,,,,
2017-07-14,10,,0,,2185.75669592,,,,,,1407000000,16,16,643713,,40233.5792125,,6,,643737.2674,,,,
2017-07-15,4,,0,,6934.01303417,,,,,,1407000000,6,6,202912.8,,33818.8,,33818.8,,202912.8,,,,
2017-07-16,8021,,0,,3.86475083,,,,,,1407000000,8653,8650,364059692.594327,,43852.3984914317,,5000,,379323246.95088391,,,,
2017-07-17,3579,,0,,16.87185738,,,,,,1407000000,4820,4813,83393308.0421975,,28004.7630033866,,5000,,134786924.33529977,,,,
2017-07-18,1505,,0,,47.20645661,,,,,,1407000000,1917,1915,29805244.8956705,,23073.5489252034,,4800,,44185846.19176448,,,,
2017-07-19,947,,0,,80.7405456,,,,,,1407000000,1341,1338,17426188.9063642,,18182.4971426049,,3997.453,,24328181.17680538,,,,
2017-07-20,695,,0,,97.64736067,,,,,,1407000000,959,958,14408991.6034576,,21179.7101230045,,2500,,20290162.29783831,,,,
2017-07-21,456,,0,,194.667905,,,,,,1407000000,634,634,7227693.74836424,,16802.8770101945,,2500,,10653024.0244633,,,,
2017-07-22,457,,0,,301.88466431,,,,,,1407000000,991,990,4660720.35561803,,5493.45284972173,,999,,5438518.32122451,,,,
2017-07-23,473,,0,,251.50597869,,,,,,1407000000,674,674,5594300.41128601,,11585.5505724751,,1244.701572105,,7808661.08584821,,,,
2017-07-24,702,,0,,136.12653639,,,,,,1407000000,974,973,10335971.49616,,14604.7389970352,,1635.86549604,,14210411.04411526,,,,
2017-07-25,514,,0,,204.57919916,,,,,,1407000000,696,695,6877532.05502054,,12237.231039145,,1588.62730315,,8504875.57220578,,,,
2017-07-26,473,,0,,150.51837504,,,,,,1407000000,614,613,9347695.91846673,,18619.4260454013,,1774.05857345,,11413708.16583098,,,,
