date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-12-18,42,,595342.026869323333333332,,0.21567628,,,,,,595296.083029333333333332,161,163,2760137.07549653,,20522.3597229234,,10000,,3345144.634836516294165105,,,,
2017-12-19,94,,1379831.75,,0.40990025,,,,,,1939733.3500496,590,601,4732208.2208676,,11412.1913801499,,4000,,6858727.019470071777151785,,,,
2017-12-20,55,,2676383,,1.28001846,,,,,,4113864.6000496,512,516,3213910.35609283,,8523.00586346589,,4000,,4397871.025548399129943708,,,,
2017-12-21,59,,805355,,1.74665821,,,,,,4869436.888057399999998786,302,306,2787859.03837084,,12132.0317005328,,4497.5,,3712401.700363040057447344,,,,
2017-12-22,106,,314551.190340898,,0.25602408,,,,,,4436534.950711275523253033,2134,2163,17328584.5644478,,9697.9277576229,,4000,,20976617.739738323839428364,,,,
2017-12-23,121,5221412.778372229410869298165,819453.817,823551.086085,1.33706437,,0.0000705590108351134,1.005,,,5195435.600370377523253033,621,640,3885703.43326929,3905131.95043563645,6964.08889789359,6998.90934238305795,3613.8881,3631.9575405,4457016.894651897263369074,4479301.97912515674968591937,,,
2017-12-24,113,5882236.307622229410869298165,658880.035,662174.435175,1.17654448,,0.0000743582828939208,1.005,,,5852971.450370377523253033,735,747,4974713.29914887,4999586.86564461435,7426.0541070469,7463.1843775821345,3495,3512.475,5547262.417964037386889799,5574998.730053857573824247995,,,
2017-12-25,260,6002470.407222229410869298165,124316.455,124938.037275,1.96719109,,0.0000729483175392959,1.005,,,5972607.370370377523253033,731,734,3036109.40613061,3051289.95316126305,4986.62293069565,5011.55604534912825,2840,2854.2,3660181.231130604492067093,3678482.137286257514527428465,,,
2017-12-26,60,6270728.230925933186101828495,205450,208531.75,1.22347856,,0.0000648750708688889,1.015,,,6178057.370370377523253033,419,434,5049583.67050079,5125327.42555830185,12581.8507154396,12770.578476171194,4000,4060,5460523.210500785300969852,5542431.05865829708048439978,,,
2017-12-27,70,6046865.773005354176485936645,180145.85426543939939321,182848.04207942099038410815,2.14532003,,0.0000659616261553464,1.015,,,5957503.224635816922646243,385,391,2776976.46589977,2818631.11288826655,11246.8371422364,11415.539699369946,4000,4060,4397513.322614430040940329,4463476.022453646491554433935,,,
2017-12-28,56,6373624.6348893986149108673,36732.223,40405.4453,1.3994341,,0.0000774714526757744,1.1,,,5794204.213535816922646243,596,606,4140390.90227202,4554429.992499222,8685.6865381475,9554.25519196225,4000,4400,5263526.042117385470888374,5789878.6463291240179772114,,,
2017-12-29,48,6271235.5343393986149108673,6981,7679.1,5.75186436,,0.0000761364040606198,1.1,,,5701123.213035816922646243,276,295,991178.312998119,1090296.1442979309,5807.08919829871,6387.798118128581,3044.8691,3349.35601,1713091.31349811928200338,1884400.444847931210203718,,,
2017-12-30,50,6301199.1339943986149108673,28229.63605,31052.599655,3.69289337,,0.0000866702585018808,1.1,,,5728362.849085816922646243,387,402,1551185.55232438,1706304.107556818,6485.52678140394,7134.079459544334,4000,4400,2607181.766124384347309454,2867899.9427368227820403994,,,
2017-12-31,60,6533487.2339943986149108673,361701,397871.1,5.02177915,,0.0000793400504052713,1.1,,,5939533.849085816922646243,211,212,1182754.8897165,1301030.37868815,9622.7493835684,10585.02432192524,4000,4400,2040022.869316500010001372,2244025.1562481500110015092,,,
2018-01-01,48,6562553.8047473986149108673,26446.5,29091.15,6.32226277,,0.0000820062146647539,1.1,,,5965958.004315816922646243,255,256,943642.84158557,1038007.125744127,7129.4946037327,7842.44406410597,4000,4400,1825150.618555570000000081,2007665.6804111270000000891,,,
2018-01-02,80,6783993.3393915846950331765,206800.094714285714,227480.1041857142854,1.94213324,,0.0000746160851598568,1.1,,,6167266.672174167904575615,589,610,3175511.61415117,3493062.775566287,7550.91012724958,8306.001139974538,4000,4400,4606055.177622245856880942,5066660.6953844704425690362,,,
2018-01-03,51,6582812.442416555386006982745,523864.666000000000000002,516006.69601000000000000197,3.0637651,,0.0000656343751478329,0.985,,,6683058.317174167904575617,377,389,2181322.03280758,2148602.2023154663,7499.73021544366,7387.2342622120051,4000,3940,2917395.053807582602154405,2873634.128000468863122088925,,,
2018-01-04,74,8557585.5422027136362908228,1137000,1250700,2.1848447,,0.0000729476881866352,1.1,,,7779623.220184285123900748,433,460,3560721.3722704,3916793.50949744,9350.33468867871,10285.368157546581,4000,4400,4301153.956792205435640738,4731269.3524714259792048118,,,
