date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-02-08,7235,331,791498,2391.2326284,,,0,35675.0194461916,0.0495396598240469,,0.05,,84.46512,,33.88018537,,,,,,1687121.7708312,1705,2050,49796.7101506,,34.79712468,,2.05,,71334.10559961,,,,
2016-02-09,15783,359,2807946,7821.57660167,,,0,148829.140604156,0.0497602214452214,,0.05,,426.9427,,11.07150232,,,,,,1694534.33936296,8580,6129,153053.69501941,,33.64430474,,2.06,,206205.94375669,,,,
2016-02-10,5469,161,1317896,8185.68944099,,,0,228174.595912554,0.0580866592721441,,0.05,,235.42523003,,17.73111914,,,,,,1697814.68379397,4053,2687,95753.38538233,,48.68573813,,2.06,,130818.57835289,,,,
2016-02-11,6910,292,2220122,7603.15753425,,,0,149393.504022381,0.0554274430113977,,0.06,,369.59019,,32.65816799,,,,,,1703821.52056685,6668,4502,52171.37474653,,15.6794033,,2.06,,70588.67363849,,,,
2016-02-12,6857,371,1390380,3747.65498652,,,0,142203.528110116,0.0528025168655942,,0.05,,203.5009,,32.11646286,,,,,,1711719.57584229,3854,3001,53297.26325331,,24.66798044,,2.06,,74028.60930806,,,,
2016-02-13,3004,286,526738,1841.74125874,,,0,215942.48707084,0.0497554831288344,,0.05,,64.88115,,72.75270868,,,,,,1717900.09918333,1304,1269,23612.86789818,,29.72482527,,5.35146084,,37720.80326738,,,,
2016-02-14,3985,238,824362,3463.70588235,,,0,225406.918173243,0.0580609958506224,,0.05,,97.9489,,40.27443157,,,,,,1722999.37499965,1687,1292,42781.46972291,,40.80245259,,2.05,,52716.76875251,,,,
2016-02-15,3650,250,735240,2940.96,,,0,176440.887917484,0.0546209956709957,,0.05,,100.9396,,46.28611892,,,,,,1728357.70505965,1848,1857,37340.73509594,,28.60512438,,2.06,,53119.71597205,,,,
2016-02-16,3014,395,829088,2098.95696203,,,0,160498.812249773,0.0560687531936638,,0.05,,109.72655,,58.65831015,,,,,,1737149.06252669,1957,2402,29614.71372195,,16.19458397,,2.06,,38899.3907012,,,,
2016-02-17,3413,282,598848,2123.57446809,,,0,251283.064279077,0.052183608815427,,0.05,,75.7706,,97.96033755,,,,,,1742955.91014893,1452,1353,17792.46533663,,21.02166582,,5.15822598,,28442.31385383,,,,
2016-02-18,2568,270,495654,1835.75555556,,,0,275746.534238564,0.0504366100323625,,0.05,,62.33965,,141.08379614,,,,,,1748789.58173173,1236,1122,12395.39642124,,18.22014476,,5.066295875,,20443.00242575,,,,
2016-02-19,2261,272,439069,1614.22426471,,,0,253105.096076938,0.0518514948453608,,0.05,,50.29595,,143.21969975,,,,,,1754678.97117181,970,1038,12251.65933379,,18.7374534,,5.00121963,,19449.47663177,,,,
2016-02-20,6611,298,1960729,6579.62751678,,,0,220949.518225201,0.0213391010802469,,0.01,,110.6219,,27.4536065,,,,,,1761075.79870653,5184,5077,64147.33885075,,14.58330505,,2.01,,74039.43971362,,,,
2016-02-21,7603,311,1126081,3620.8392283,,,0,246628.295112913,0.0508134699361774,,0.05,,151.2717,,108.36361037,,,,,,1767884.51971322,3075,1196,16314.37448059,,20.62688207,,4.9972812,,24669.75095486,,,,
2016-02-22,10371,236,1734508,7349.61016949,,,0,259035.408179392,0.0553358685868587,,0.05,,184.43445,,17.67526261,,,,,,1775103.47729391,4410,1097,100428.690444,,150.97026784,,4.99837699,,165614.38381884,,,,
2016-02-23,17464,291,2481311,8526.8419244,,,0,213318.348511174,0.0508153276764759,,0.05,,281.4661,,19.51655446,,,,,,1782783.00227688,6855,1376,91347.22044177,,205.88992575,,5.285356575,,283304.53783358,,,,
2016-02-24,18857,349,2716204,7782.81948424,,,0,243747.169014844,0.0507721836545577,,0.05,,301.89140401,,22.86955237,,,,,,1793036.64297908,7592,1986,78402.78700293,,88.54470236,,3.022079815,,175849.77889268,,,,
2016-02-25,7902,283,1798238,6354.19787986,,,0,302787.204074434,0.0561177984913793,,0.05,,156.231951,,8.81237132,,,,,,1801498.92706475,4141,1434,204428.39526636,,213.93275764,,5.02352706,,306779.57445501,,,,
2016-02-26,7346,261,1337046,5122.7816092,,,0,306046.977308553,0.0519740454325761,,0.05,,107.5343,,15.20977604,,,,,,1809262.51798499,3314,1171,118953.92232331,,134.37531204,,5.12416833,,157353.49039719,,,,
2016-02-27,6165,261,1173992,4498.05363985,,,0,269200.256402956,0.0547163394109397,,0.05,,78.0255,,14.7676988,,,,,,1817147.30588648,2690,1295,123048.77897822,,108.31479388,,3.95900459,,140267.65807581,,,,
2016-02-28,10258,319,1670609,5237.01880878,,,0,253340.2539789,0.0518011984569224,,0.05,,120.852196,,89.04034998,,,,,,1826663.09124096,3859,1501,20515.00349835,,44.32810977,,3.43524418,,66536.49277105,,,,
2016-02-29,8778,283,1694038,5986,,,0,263915.4903619,0.0434850388052754,,0.05,,112.10443004,,68.19903196,,,,,,1835025.24825027,3931,2287,26906.91048775,,15.86688531,,5.05722413,,36287.5667129,,,,
2016-03-01,8330,296,1779293,6011.125,,,0,267529.830302503,0.0463226149130939,,0.05,,119.92925001,,48.51987937,,,,,,1843812.97908069,4012,2257,38001.1863794,,85.59102719,,6.3604991,,193178.94835682,,,,
2016-03-02,5446,261,1116834,4279.05747126,,,0,271623.747905259,0.0567460825863521,,0.05,,67.35760003,,54.74144049,,,,,,1851582.32729921,2445,1588,33824.14329453,,108.28585226,,3.91775029,,171957.93339416,,,,
2016-03-03,10602,322,1997527,6203.5,,,0,263438.238540392,0.04729693044742,,0.05,,144.82320103,,1.76640333,,,,,,1861197.21251802,4619,2235,1053664.91242366,,1507.20388138,,5.31218137,,3368600.67489348,,,,
2016-03-04,4819,260,1027372,3951.43076923,,,0,268855.750757206,0.0387407347102041,,0.05,,47.45740002,,4.34700064,,,,,,1869035.68163202,2494,1622,429959.83574745,,289.09064702,,9.8595395,,468905.02947363,,,,
2016-03-05,11988,298,1959833,6576.62080537,,,0,256794.912212925,0.0540588669036335,,0.05,,136.877051,,66.40023711,,,,,,1877996.45034187,3983,1366,28282.97807585,,80.89728931,,4.972106395,,110505.69719976,,,,
2016-03-06,9077,286,1571610,5495.13986014,,,0,255788.69168174,0.04549818745637,,0.05,,104.28184565,,24.80904113,,,,,,1886567.3310531,3680,1846,76043.54079905,,112.05984216,,6.42171973,,206862.46863229,,,,
2016-03-07,7458,288,1496456,5196.02777778,,,0,265021.365183431,0.0441311679026764,,0.05,,90.68955004,,23.37035819,,,,,,1895163.28838989,3447,2042,81092.60767833,,111.93947354,,10.94177903,,228580.40496519,,,,
2016-03-08,7493,289,1678260,5807.12802768,,,0,269827.064221034,0.0394602012707182,,0.05,,99.99215002,,17.97560582,,,,,,1903834.84092363,3938,1670,105912.13779132,,162.23689883,,9.0577413,,270935.62103983,,,,
2016-03-09,5794,272,1220647,4487.67279412,,,0,257551.220982332,0.035802373289987,,0.02,,55.06405012,,19.25271566,,,,,,1911919.10820369,2847,1704,99306.46366337,,224.63072354,,9.895608725,,382770.75290495,,,,
2016-03-10,12873,343,2193468,6394.95043732,,,0,259474.039149407,0.0361326880789085,,0.022,,97.99185007,,6.89202527,,,,,,1921977.1055935,4341,2004,278869.71243173,,148.6581403,,8.51062772,,297910.91316689,,,,
2016-03-11,5565,257,1092775,4252.04280156,,,0,314383.382514012,0.0403995208333333,,0.05,,40.722717,,4.02033988,,,,,,1929660.86031094,2252,1212,479974.5585567,,828.36749425,,3.11135339,,1003981.40302659,,,,
2016-03-12,10736,281,1924459,6848.60854093,,,0,296778.001278202,0.0385834458183857,,0.05,,103.24930101,,45.12337161,,,,,,1938056.79894275,4036,1908,42950.17702902,,79.38541807,,8.35482528,,151467.37768185,,,,
2016-03-13,9172,272,1552478,5707.63970588,,,0,278768.674280844,0.0446170716152331,,0.05,,67.95180007,,110.25916726,,,,,,1946121.96933858,2829,1562,17650.43231909,,19.21444473,,8.0835332,,30012.96266862,,,,
2016-03-14,7972,301,1451199,4821.25913621,,,0,257883.887306825,0.0391459272454175,,0.05,,76.88260111,,8.53561406,,,,,,1955039.29143844,3408,1209,229044.94947024,,374.59462242,,4.22148509,,452884.89850148,,,,
2016-03-15,10545,322,2074621,6442.92236025,,,0,271195.057850421,0.0341581251436886,,0.015,,93.90068602,,37.92117758,,,,,,1964729.52944217,4318,1896,51810.87863918,,105.08453568,,8.10104436,,199240.2796401,,,,
2016-03-16,7548,243,1362830,5608.35390947,,,0,291369.209976507,0.0392284480184615,,0.05,,63.74622803,,55.80110772,,,,,,1972059.93185326,2812,1322,35340.87426602,,37.88331789,,6.27892573,,50081.74624991,,,,
2016-03-17,7505,302,1448840,4797.48344371,,,0,263109.538962825,0.0323144083823529,,0.02,,57.13187402,,52.54494757,,,,,,1981238.66865759,3254,1670,37705.59797624,,36.84718577,,6.964759925,,61534.80022959,,,,
2016-03-18,8607,324,1667717,5147.27469136,,,0,267715.324411658,0.0260973426745435,,0.015,,48.59325206,,24.00709073,,,,,,1990985.6538919,3440,1863,82933.23318551,,105.33177075,,10.13513669,,196233.08890309,,,,
2016-03-19,12276,271,2049469,7562.61623616,,,0,319946.513091609,0.0407623985892857,,0.05,,114.13471605,,56.04292853,,,,,,1999161.78813162,4124,1707,35671.97219503,,32.13245179,,8.62307448,,54850.09521195,,,,
2016-03-20,5218,283,1250912,4420.18374558,,,0,334002.2497944,0.0260258473716216,,0.003876,,38.51825411,,61.88722767,,,,,,2007779.02829,2875,2036,32442.5427316,,26.70415688,,13.805417385,,54369.66341458,,,,
2016-03-21,9255,267,1648670,6174.79400749,,,0,304302.847570174,0.0369757174620617,,0.05,,70.66059607,,46.05540739,,,,,,2015812.24867408,3219,1883,43769.28493009,,47.20389799,,10.18349302,,88884.93990851,,,,
2016-03-22,7242,297,1575026,5303.11784512,,,0,271754.147024607,0.0311706285691574,,0.02,,58.81897611,,27.86157796,,,,,,2024636.62660599,3330,1987,72667.69419278,,132.13772229,,10.18349302,,262557.65418705,,,,
2016-03-23,11656,308,2237193,7263.61363636,,,0,290157.517579203,0.0308979914535091,,0.015,,86.73066201,,53.38236185,,,,,,2033827.18774437,4310,2377,38099.23572971,,44.60487661,,10.42514217,,106025.79171107,,,,
2016-03-24,5727,256,1296837,5065.76953125,,,0,317603.28061368,0.0357723250988822,,0.05,,41.60321409,,33.16057114,,,,,,2041514.50308031,2420,1429,61564.51572211,,69.09215234,,6.86168062,,98732.68569351,,,,
2016-03-25,12070,300,1976438,6588.12666667,,,0,291273.037493099,0.0467077559227273,,0.05,,102.75706303,,44.49895885,,,,,,2050533.79547976,3675,1903,46080.48926036,,82.56450175,,8.04678676,,157120.24682538,,,,
2016-03-26,10258,302,2191264,7255.8410596,,,0,286064.649239178,0.0330838845769817,,0.025,,86.81211313,,78.61670998,,,,,,2059565.97043173,4101,2004,26197.55992008,,33.98408757,,8.75799238,,68104.11149729,,,,
2016-03-27,4961,307,1930838,6289.37459283,,,0,320821.951315609,0.11789327903752,,0.003876,,144.5371601,,44.78796673,,,,,,2068782.71853397,2733,1992,46190.59246151,,69.13970485,,10.10736575,,137726.29206034,,,,
2016-03-28,13696,270,2115516,7835.24444444,,,0,339814.075208137,0.0432632094803649,,0.05,,109.0665511,,71.47278627,,,,,,2076934.32137701,3854,1684,29059.0926935,,36.7121296,,6.313783455,,61823.22623966,,,,
2016-03-29,6564,276,1568188,5681.84057971,,,0,329979.787485742,0.0350102324968072,,0.05,,54.82602409,,29.16629473,,,,,,2085153.12053989,2910,1859,71491.87580459,,93.48862641,,8.27886453,,173795.35648743,,,,
