date,AdrActCnt,BlkCnt,PriceBTC,PriceUSD,ROI1yr,ROI30d,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-06-09,163931,13337,0.00189245925939504,14.2987117125937,,,25103,163930,1396369.8999999,19966290.64424186373845874063,8.51808638,121.797661490590870443806,10,142.987117125937,1396369.9,19966290.64424329360963,,,
2018-06-10,57,80482,0.00171777023324144,11.578446850716,,,12975,51,73.8481,855.0463008763602396,1.44961765,16.7843209143848287374,1,11.578446850716,73.9305,856.000364896859238,,,
2018-06-11,197,172800,0.00171769990882068,11.7581953315307,,,14362,223,964.2979,11338.40306598485779553,4.44034933,52.210494762371471619431,1,11.7581953315307,990.1979,11642.94032507150292553,,,
2018-06-12,254,172800,0.0015297247945959,9.97930337199347,,,10237,416,1365.5946,13627.682796556073867262,3.37892933,33.7193608565966363514751,0.1,0.997930337199347,1405.6346,14027.254103570692406062,,,
2018-06-13,233,172682,0.00159235428848978,10.0386065628212,,,8200,404,373.3603,3748.01715787689207836,0.99401114,9.978486753521382628168,0.01,0.100386065628212,401.5805,4031.3086428010189066,,,
2018-06-14,245,172291,0.00169458978945846,11.2271820768497,,,8898,324,278.3855,3125.48469605484215935,1.08396821,12.169908459186851748037,0.01255,0.140901135064463735,351.2057,3943.05034032745268329,,,
2018-06-15,459,172503,0.00166600563407871,10.6573509696438,,,117776,797,904.7983,9642.75303983706184554,1.17718018,12.545622332768463019884,0.01,0.106573509696438,938.2126,9998.86096234203067188,,,
2018-06-16,282,138696,0.00162580966393922,10.5596335020671,,,14462,1100,830.3284,8767.96359035777183564,0.77775345,8.212791386968269156495,0.0001,0.00105596335020671,855.5288,9034.07057846326358248,,,
2018-06-17,346,172750,0.00159939291696673,10.3150992230056,,,60225,3299,15125.4906,156020.93633563850654736,7.9657776,82.16778633239541315456,0.0001,0.00103150992230056,26279.1003,271071.52708581622986168,,,
2018-06-18,522,172792,0.00158438320018282,10.6228956819855,,,62825,534,50159523.4547,532839385.11738303951530685,93973.06691685,998266.086773940308571405675,1,10.6228956819855,50181617.7336,533074090.3373064328580628,,,
2018-06-19,791,170453,0.00158241507111638,10.6529311504724,,,52127,800,40465440.002,431075546.3148777361569448,50581.83559025,538844.8120074477204203341,5,53.264655752362,40465468.4722,431075849.60595817633626728,,,
