date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-07-07,2805,,17173696075.72224756,,1.16351777,,,,,,17173696075.72224756,15,4312,14760149421.0003,,3535278.87007795,,20000,,15244122487.77610968,,,,
2017-07-08,0,,0,,,,,,,,17173696075.72224756,0,0,0,,,,,,0,,,,
2017-07-09,0,,0,,,,,,,,17173696075.72224756,0,0,0,,,,,,0,,,,
2017-07-10,0,,0,,,,,,,,17173696075.72224756,0,0,0,,,,,,0,,,,
2017-07-11,0,,0,,,,,,,,17173696075.72224756,0,0,0,,,,,,0,,,,
2017-07-12,896,,0,,26.87364884,,,,,,17173696075.72224755,5,1460,639053378.135597,,570532.437178775,,20000,,832977358.28101182,,,,
2017-07-13,0,,0,,,,,,,,17173696075.72224755,0,0,0,,,,,,0,,,,
2017-07-14,372,,0,,88.45937267,,,,,,17173696075.72224755,55,592,194142187.055209,,525786.678593257,,20000,,311265713.72720789,,,,
2017-07-15,131,,0,,559.80807921,,,,,,17173696075.72224755,214,213,30677828.193937,,186804.822416315,,28199.99,,39789427.17467519,,,,
2017-07-16,202,,0,,283.64168945,,,,,,17173696075.72224755,329,329,60547150.5586092,,234714.516008595,,16918.2,,77221075.76682765,,,,
2017-07-17,160,,0,,339.9241893,,,,,,17173696075.72224755,216,216,50522135.865407,,266570.871601599,,14949.985,,57579308.26594545,,,,
2017-07-18,159,,0,,386.52468699,,,,,,17173696075.72224755,218,218,44431045.8129956,,259866.385483249,,17843.202,,56650872.03534819,,,,
2017-07-19,165,,0,,528.13261485,,,,,,17173696075.72224755,214,214,32517772.2279532,,219074.511328444,,23600.420970115,,46881945.42428705,,,,
2017-07-20,142,,0,,72.7222486,,,,,,17173696075.72224755,194,194,236154635.016496,,1866975.66940647,,17066.63736543,,362193279.86485559,,,,
2017-07-21,129,,0,,873.52348294,,,,,,17173696075.72224755,167,166,19660256.8919229,,206628.601736725,,18988.65254076,,34300347.88829633,,,,
2017-07-22,142,,0,,532.51358759,,,,,,17173696075.72224755,195,195,32250249.5259394,,189784.760680016,,9000,,37008028.33260313,,,,
2017-07-23,175,,0,,418.35457782,,,,,,17173696075.72224755,216,216,41050575.2447347,,240377.415019753,,11058.940375,,51921521.64426663,,,,
2017-07-24,204,,0,,387.5265888,,,,,,17173696075.72224755,285,285,44316174.8692791,,203042.760117968,,14444.444,,57867186.63362095,,,,
2017-07-25,154,,0,,47.94157861,,,,,,17173696075.72224755,205,205,358221330.492301,,1772221.06271477,,15999.99,,363305317.85652873,,,,
2017-07-26,152,,0,,386.45459336,,,,,,17173696075.72224755,193,193,44439104.5433054,,299163.264215643,,18767.5070028,,57738509.99361905,,,,
2017-07-27,144,,0,,596.89412333,,,,,,17173696075.72224755,204,204,28771762.7035397,,270572.357231845,,29097.6,,55196760.87529646,,,,
2017-07-28,137,,0,,346.82062244,,,,,,17173696075.72224755,218,218,49517517.0231888,,355951.573371972,,16827.241634375,,77597442.99508986,,,,
2017-07-29,139,,0,,466.36739421,,,,,,17173696075.72224755,207,207,36824392.7187136,,225768.125200806,,18821,,46734001.91656688,,,,
2017-07-30,77,,0,,2144.89650416,,,,,,17173696075.72224755,96,96,8006771.44206926,,122692.594589517,,39555.688649635,,11778489.08059363,,,,
2017-07-31,115,,0,,618.00618127,,,,,,17173696075.72224755,189,189,27788874.2800463,,185349.686156799,,40613.14357475,,35031090.68363496,,,,
2017-08-01,112,,0,,477.3450835,,,,,,17173696075.72224755,133,133,35977527.9336424,,331571.700226024,,18125.62855149,,44099036.13006121,,,,
2017-08-02,106,,0,,601.86939651,,,,,,17173696075.72224755,138,138,28533924.7606478,,257039.120541071,,11539.99213135,,35471398.63466775,,,,
2017-08-03,119,,0,,1555.42281426,,,,,,17173696075.72224755,173,173,11041175.375749,,70126.7211548831,,9000,,12131922.75979478,,,,
2017-08-04,149,,0,,390.42936609,,,,,,17173696075.72224755,184,184,43986691.4923353,,419511.772617778,,20572.888873085,,77190166.16167122,,,,
2017-08-05,194,,0,,583.46185529,,,,,,17173696075.72224755,229,229,29434136.8165817,,177487.665605665,,15124.6241572,,40644675.42369717,,,,
2017-08-06,221,,0,,490.75429506,,,,,,17173696075.72224755,345,345,34994489.6021622,,133312.975843332,,31085.99,,45992976.66594952,,,,
2017-08-07,209,,0,,208.98847172,,,,,,17173696075.72224755,298,298,82175327.3492217,,312499.071716422,,19118.909830805,,93124723.37149369,,,,
2017-08-08,227,,0,,945.75976414,,,,,,17173696075.72224755,347,347,18158624.1314539,,64189.704699575,,10307.70799976,,22273827.53075254,,,,
2017-08-09,183,,0,,1650.88533908,,,,,,17173696075.72224755,238,238,10402718.8740238,,54410.0427442347,,11277.96046154,,12949590.17312785,,,,
2017-08-10,348,,0,,229.09435239,,,,,,17173696075.72224755,486,486,74963419.6412629,,176193.831439376,,12421.012577915,,85630202.07953677,,,,
2017-08-11,564,,0,,217.34397689,,,,,,17173696075.72224755,816,816,79016204.2743112,,132882.237293905,,11148.495,,108431905.63182641,,,,
2017-08-12,329,,0,,417.2740176,,,,,,17173696075.72224755,458,458,41156878.5769331,,121119.88942115,,7263.6909104,,55472909.35488677,,,,
2017-08-13,274,,0,,505.25306515,,,,,,17173696075.72224755,354,354,33990285.7803842,,115640.108665798,,8992.192499725,,40936598.46769248,,,,
2017-08-14,241,,0,,503.74988604,,,,,,17173696075.72224755,345,345,34091712.0812918,,156988.493556955,,5593.31450225,,54161030.27714942,,,,
2017-08-15,228,,0,,1335.98664746,,,,,,17173696075.72224755,334,334,12854691.4060187,,45747.707482317,,9999.995,,15279734.29909388,,,,
2017-08-16,273,,0,,456.18731199,,,,,,17173696075.72224755,396,396,37646150.2201698,,114232.562161994,,15225,,45236094.61614981,,,,
2017-08-17,355,,0,,630.81177163,,,,,,17173696075.72224755,481,480,27224755.2250173,,77101.1615325746,,9999.99,,37008557.53563583,,,,
2017-08-18,271,,0,,1294.27989474,,,,,,17173696075.72224755,316,315,13268919.7641637,,51879.2990963331,,5377.7252798,,16341979.21534493,,,,
2017-08-19,230,,0,,754.91616195,,,,,,17173696075.72224755,285,285,22749143.4696861,,96895.672929273,,5000,,27615266.78484282,,,,
2017-08-20,220,,0,,1278.73102,,,,,,17173696075.72224755,260,260,13430264.6976647,,85194.8172383359,,5344.393903225,,22150652.48196734,,,,
2017-08-21,254,,0,,553.27152977,,,,,,17173696075.72224755,310,309,31040267.123047,,114562.234461299,,2232.28750579,,35399730.44854124,,,,
2017-08-22,189,,0,,1292.58424383,,,,,,17173696075.72224755,223,223,13286326.3324699,,98318.0473905756,,5583.11851875,,21924924.56809835,,,,
2017-08-23,228,,0,,325.44715541,,,,,,17173696075.72224755,295,295,52769538.1274381,,337487.380071217,,6542.056,,99558777.12100905,,,,
2017-08-24,173,,0,,658.12942872,,,,,,17173696075.72224755,210,210,26094709.2262153,,220089.561232753,,5000,,46218807.85887813,,,,
2017-08-25,236,,0,,236.92482792,,,,,,17173696075.72224755,330,330,72485843.8296922,,349665.841890197,,8800,,115389727.82376501,,,,
2017-08-26,204,,0,,1857.15163983,,,,,,17173696075.72224755,255,251,9247331.07809962,,45187.3745006277,,5595,,11342030.99965755,,,,
2017-08-27,184,,0,,1265.71008579,,,,,,17173696075.72224755,230,230,13568427.9271925,,63738.309128621,,6473.042528,,14659811.09958282,,,,
2017-08-28,184,,0,,667.69671126,,,,,,17173696075.72224755,226,226,25720803.7514666,,130871.815723083,,4173.495,,29577030.35341668,,,,
2017-08-29,361,,0,,320.20727205,,,,,,17173696075.72224755,443,443,53633060.7533347,,143312.380287983,,5701.204895,,63487384.46757643,,,,
2017-08-30,293,,0,,780.84595516,,,,,,17173696075.72224755,398,398,21993705.6243626,,73026.3835972937,,6003.35477987,,29064500.6717229,,,,
2017-08-31,306,,0,,950.72056854,,,,,,17173696075.72224755,442,442,18063873.4913045,,53317.7281969292,,5837.74548994,,23566435.86304271,,,,
2017-09-01,411,,0,,474.28809629,,,,,,17173696075.72224755,546,546,36209418.3054195,,90769.6934182879,,8000,,49560252.60638517,,,,
2017-09-02,240,568197929.7935819435820075315,0,0,2086.13553298,,0.0000073,0.033085360733547634,,,17173696075.72224755,322,322,8232301.21159392,272368.6552528060931512533848,30019.4138667532,993.2031367911916691756011219,5091.309717585,168.4478186125162528956849439,9666251.26509454,319811.4100467640350940066033,,,
2017-09-03,209,541960296.1614834758680069559,0,0,1631.21406298,,0.000006840000000000001,0.03155758048656926,,,17173696075.72224755,279,279,10528168.2309426,332243.5163241126001932499845,56443.3317505926,1781.214984649456183728345943,1863.99,58.8230144511602349474,15747689.55841534,496958.9807171984204250787564,,,
2017-09-04,274,406793142.3601306797025086596,0,0,662.7286857,,0.00000559423202805377,0.023686988553104624,,,17173696075.72224755,361,361,25913615.098052,613815.5041971168826647745924,118341.622674997,2803.156661658480552240089886,4969.93119505,117.7227033268669343440009112,42721325.78567406,1011939.554858714866598035543,,,
2017-09-05,193,411648426.4461769247065986325,0,0,1221.65589516,,0.000005419853596666931,0.023969704869070525,,,17173696075.72224755,249,249,14057719.644069,336959.3910004690769498589662,97098.9179219931,2327.432405696277272440852463,4509.99,108.10312926245937704475,24177630.56257629,579530.6690183732349923817029,,,
2017-09-06,214,565101062.4774676978892276106,0,0,647.59012029,,0.000007150809905969539,0.03290503453571232,,,17173696075.72224755,275,275,26519391.7226481,872621.5004998191652640101946,122071.707260859,4016.773743251929767281620083,5397.21864033,177.5956657568489405784298656,33569719.49673618,1104612.779394279205275891416,,,
2017-09-07,202,495708907.8572332410667860104,0,0,463.53641147,,0.000006243116893313624,0.028864427649793842,,,17173696075.72224755,227,227,37049292.4626053,1069406.621762923004321039217,239846.585239697,6923.034406701345672102204546,5440.78357093,157.0451037412959671550842131,54445174.84941113,1571528.8103212028986331396,,,
2017-09-08,185,498011839.9673401853616573358,0,0,1347.51223378,,0.000006715101176360882,0.028998524125005285,,,17173696075.72224755,200,200,12744742.2333168,369578.7151198109595305030793,93256.5693391309,2704.302875796015571151919807,5000,144.992620625026425,18651313.86782619,540860.5751592034042156252114,,,
2017-09-09,164,594434165.4237860629870010227,0,0,2162.89562487,,0.000008000000000000001,0.03461305957685564,,,17173696075.72224755,209,209,7940140.9287933,274832.5710169523688739534992,43596.0492884537,1508.992651336782850630803724,2667.13884557,92.3178357614603843601435148,9111574.30128682,315379.4641293875015587413747,,,
2017-09-10,115,514295784.248671586693438188,0,0,2431.91117529,,0.000007052613581251328,0.029946715138141435,,,17173696075.72224755,141,141,7061810.58346574,211478.0299025608757422445969,64134.1828138487,1920.608103343813118477897291,2668.81120378,79.9221288770799921342466243,9042919.77675266,270805.7425714774490623920925,,,
2017-09-11,149,446422189.2893837634875621661,0,0,1622.21447588,,0.000006182233536734141,0.02599453183059834,,,17173696075.72224755,192,192,10586575.5305875,275193.0746068902789530967248,64160.8219023061,1667.830527216847053030188832,5214.27347075,135.542597708855357360988555,12318877.80524278,320223.461225634862933676365,,,
2017-09-12,170,393945820.337865512442429817,0,0,831.33685511,,0.000005521432502991265,0.022938907186949152,,,17173696075.72224755,211,211,20657927.0125557,473870.2704157849716950814678,110489.714427106,2534.513304355901230011632514,4783.01920824,109.7172336912123786601794125,23313329.7441194,534782.3072190959394552988167,,,
2017-09-13,177,402640338.0063952974105863721,0,0,622.5881546,,0.000006040422156354506,0.023445176637054355,,,17173696075.72224755,216,216,27584360.4618573,646720.2034484226475008043535,183066.485726677,4292.026094186732146876922528,10169.02521588,238.4145924129663947611691574,39542360.91696213,927077.6363443317523173982866,,,
2017-09-14,160,345465549.987074588200889449,0,0,2941.3167275,,0.000006206569831585118,0.020115969705289307,,,17173696075.72224755,204,204,5838778.22988925,117452.6859883548779185258192,31336.6682587433,630.3674693575812416556587479,4999.48995,100.56958837609835218896465,6392680.32478364,128594.9637489467100863483805,,,
2017-09-15,156,358106254.8629158329319779401,0,0,1407.96378254,,0.000005658812550158057,0.020852020047632962,,,17173696075.72224755,172,172,12197541.0793268,254343.37111794903086101245,75274.22723423,1569.619695358243050027442689,5241.47144114,109.2952675697469127799068567,12947167.08428756,269974.5876016178046047201426,,,
2017-09-16,142,354328469.5816434956789078131,0,0,1431.66184988,,0.000005581163116841149,0.020632044961046165,,,17173696075.72224755,154,154,11995637.1521657,247494.5250598784995111674295,85933.3427211871,1772.980590676521447259926702,5000,103.160224805230825,13233734.77906282,273039.0109641844390495254551,,,
2017-09-17,141,337847614.4726468675425223114,0,0,3443.59309525,,0.000005345855762519381,0.019672388109292806,,,17173696075.72224755,174,174,4987144.41593435,98109.04050735292287249622329,45231.3263270356,889.8082062035177863961943859,10031.90858029,197.3515990684094707953703937,7870250.78090419,154826.6278794120082744301423,,,
2017-09-18,186,524973729.6614851013715984664,0,0,1685.77761804,,0.000007500000000000002,0.03056847677673876,,,17173696075.72224755,244,244,10187403.0666773,311413.3940590022704259233221,52911.8202674101,1617.433749059300887858589485,11412.339759495,348.8578429063753131088445262,12910484.14524806,394653.8347704692821361980168,,,
2017-09-19,120,473063524.8402820906515306397,0,0,4551.28140732,,0.000007020317560254028,0.027545819068559893,,,17173696075.72224755,148,148,3773376.00968608,103940.7328404572619723646084,37843.4584461943,1042.429059287432888452727465,7975.915,219.703111496212878977095,5600831.85003675,154279.5007745398911977616261,,,
2017-09-20,137,369036085.1208654599593548907,0,0,655.98322196,,0.000005516331992451049,0.021488448584027098,,,17173696075.72224755,147,147,26180084.3388205,562569.3962402373773805853579,336859.765956068,7238.593760774369046745589531,5376.75701037,115.5381665661429991775470063,49518385.59554194,1064073.282833831046518480955,,,
2017-09-21,110,395297777.3155397751750391727,0,0,382.14274728,,0.000006375628816604438,0.023017629727030985,,,17173696075.72224755,122,122,44940526.0157478,1034424.387568485913613448546,407042.146901996,9369.145420685896286156850346,8946,205.91571553801919181,49659141.92204351,1143035.741323679300875876288,,,
2017-09-22,115,332061364.8826211358516375088,0,0,667.82683572,,0.00000535486031560491,0.019335462990523206,,,17173696075.72224755,157,157,25715792.1143252,497226.7466985234101533156306,238248.179853136,4606.638864109827640624879874,14040.305787,271.475812920167295359593122,37404964.23694228,723242.3016652415474247708225,,,
