date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-11-10,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2016-11-11,559,,1000000000,,7.87457354,,,,,,1000000000,71,69,126991004,,1846855.15942029,,10000,,127433006.000000000000001,,,,
2016-11-12,51,,0,,56.71942757,,,,,,1000000000,97,95,17630643.3778264,,186322.561871857,,25000,,17700643.377826436825154,,,,
2016-11-13,117,,0,,99.82429691,,,,,,1000000000,257,257,10017601.2348817,,39541.7752330029,,1000,,10162236.23488174289611,,,,
2016-11-14,142,,0,,13.83751314,,,,,,1000000000,304,303,72267320.7303732,,240602.73618385,,3000,,72902629.063706513726001,,,,
2016-11-15,109,,0,,73.5962999,,,,,,1000000000,229,229,13587639.614638,,62743.1548139843,,2724.13793103448,,14368182.4524024063984,,,,
2016-11-16,119,,0,,51.98386605,,,,,,1000000000,199,199,19236737.7799962,,103024.340602996,,10000,,20501843.779996243107401,,,,
2016-11-17,79,,0,,46.02848154,,,,,,1000000000,122,122,21725678.6770367,,180192.663803402,,6173.66619528,,21983504.98401508327844004,,,,
2016-11-18,62,,0,,191.86722992,,,,,,1000000000,101,101,5211937.44457739,,64827.1965036594,,6605.83802702703,,6547546.84686960006217602,,,,
2016-11-19,52,,0,,169.91106485,,,,,,999970000,76,76,5885255.32979182,,85854.1777844856,,6675,,6524917.51162090798248004,,,,
2016-11-20,36,,0,,152.67766946,,,,,,999970000,58,58,6549549.80357183,,117477.496772742,,1853.14685314685,,6813694.81281900860399502,,,,
2016-11-21,38,,0,,102.92920092,,,,,,999970000,87,87,9715124.48421071,,123161.195818813,,2155.64639421,,10715024.03623671869816008,,,,
2016-11-22,50,,0,,65.58507528,,,,,,999970000,99,99,15246913.9611369,,166301.2661954,,25000,,16463825.353344608182829181,,,,
2016-11-23,49,,0,,50.35955493,,,,,,999970000,87,86,19856609.1672263,,237972.37367696,,5233.375,,20465624.136218519799957132,,,,
