date,BlkCnt,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-01-15,267,,821027088.082397,,,,,,,16020,36500,,16020,,,,,,16020,1,0,,,
2019-01-16,1434,,558404416.776848,0.00784313725490196,,0.008,,2,,86040,30770.7231040564,,86040,,,,,,102060,255,529,,,
2019-01-17,1414,,562668929.072136,0.0082516900676027,,0.008,,15.868,,84840,16568.5393258427,,84840,,,,,,186900,1923,4313,,,
2019-01-18,1440,,538482262.833333,0.00805512172714745,,0.008,,17.536,,86400,11538.9681668496,,86400,,,,,,273300,2177,4837,,,
2019-01-19,1437,,471133463.979123,0.00865062623599209,,0.008,,13.123,,86220,8753.42122830441,,86220,,,,,,359520,1517,3711,,,
2019-01-20,1386,,370786993.81746,0.00830275643922277,,0.008,,18.374,,83160,6856.73624288425,,83160,,,,,,442680,2213,5046,,,
2019-01-21,1444,,317302081.448061,0.00860205655526992,,0.008,,16.731,,86640,5974.38222625255,,86640,,,,,,529320,1945,4664,,,
2019-01-22,1455,,367386949.859794,0.00821286173633441,,0.008,,25.542,,87300,5167.60727838863,,87300,,,,,,616620,3110,6882,,,
2019-01-23,1445,,448605819.678201,0.0119070216049383,,0.008,,30.863,,86700,4499.44548711824,,86700,,,,,,703320,2592,8337,,,
2019-01-24,1463,,596089957.473684,0.00831367200818275,,0.008,,24.384,,87780,4050.01896094046,,87780,,,,,,791100,2933,6682,,,
2019-01-25,1454,,808825526.310867,0.0161449775629962,,0.008,,46.772,,87240,3625.31593688093,,87240,,,,,,878340,2897,12661,,,
2019-01-26,1469,,969019926.381892,0.0104987297554779,,0.008,,66.121,,88140,3328.68760864167,,88140,,,,,,966480,6298,18281,,,
2019-01-27,1476,,1449011605.50271,0.0123610626333139,,0.008,,63.746,,88560,3063.80800727935,,88560,,,,,,1055040,5157,17786,,,
2019-01-28,1424,,1665413722.09691,0.0132986057319907,,0.008,,68.674,,85440,2734.42760942761,,85440,,,,,,1140480,5164,19109,,,
2019-01-29,1440,9758151.8949292299936,1736355256.53819,0.0147201006174251,0.1170782617154698649995604148,0.008,0.06362905513125476,64.371,511.983238481750019495,86400,2570.42253521127,687193.795417551408,86400,687193.795417551408,0.0023353645236703683,7.953631891406845,,,1226880,4373,18134,,,
2019-01-30,1428,8770608.84883606111548,1664629319.01541,0.0187109654350417,0.1250278532142091896006965679,0.008,0.053456505447894564,94.191,629.3902130803296097155,85680,2382.61108063631,572519.17334695078044,85680,572519.17334695078044,0.001928877114063342,6.6820631809868205,,,1312560,5034,27180,,,
2019-01-31,1459,8006027.130099535641,1803570991.63125,0.0118997083239847,0.06804470229418811727780290893,0.008,0.04574545892493128,53.037,303.27523812519753717,87540,2282.12984786801,500569.6842860605314,87540,500569.6842860605314,0.001674560945260454,5.71818236561641,,,1400100,4457,15147,,,
2019-02-01,1442,9230888.06111478122766,2183078499.17545,0.00991470713980334,0.06156351439255501160439099071,0.008,0.049674499528405544,46.381,287.994120328372192033,86520,2124.26847479517,537229.71239970595836,86520,537229.71239970595836,0.0017892777323202805,6.209312441050693,,,1486620,4678,12933,,,
2019-02-02,1447,9544442.143910762352,2671314323.2329,0.00936003482803657,0.05677770419029944833482942599,0.008,0.0485277717302764,43,260.83677305023565,86820,2014.01388041489,526647.642702824631,86820,526647.642702824631,0.0017292821286270118,6.06597146628455,,,1573440,4594,11923,,,
2019-02-03,1448,9475871.3897297577984,2937151336.12569,0.0224005436125525,0.1278456383905391173991049888,0.008,0.04565804851946496,90.655,517.3912985665119936,86880,1909.94507082972,495846.4069213894656,86880,495846.4069213894656,0.00165641443160085,5.70725606493312,,,1660320,4047,26412,,,
2019-02-04,1440,9278732.63573199500688,3117499758.24097,0.0142648072704481,0.07577593017926961633222098045,0.008,0.042496714462453032,45.519,241.800993202049945451,86400,1805.44105523495,458964.5161944927456,86400,458964.5161944927456,0.0015541296336740958,5.312089307806629,,,1746720,3191,13091,,,
2019-02-05,1417,9352159.46076344565144,3043712302.53282,0.0200127918781726,0.1021776130344599820582400459,0.008,0.040844921051081248,98.563,503.224744194715130828,85020,1694.1432736087,434079.39847036596312,85020,434079.39847036596312,0.0014880000000000004,5.105615131385156,,,1831740,4925,28331,,,
2019-02-06,1429,8384242.43285101750944,2787705700.38348,0.0145263781861292,0.06351705174697302431282600942,0.008,0.034980255054972224,73.518,321.459798891430995504,85740,1632.09525001565,374900.88355166481072,85740,374900.88355166481072,0.0012941575499388072,4.372531881871528,,,1917480,5061,21020,,,
2019-02-07,1426,7768350.341435132508384,2662908752.29243,0.00951276010993326,0.03689314903745833781478761034,0.008,0.0310262414786929168,48.458,187.9337011968126702868,85560,1559.10016774503,331825.652614620745176,85560,331825.652614620745176,0.001149648278111633,3.8782801848366146,,,2003040,5094,13424,,,
2019-02-08,1442,8710514.54521294309692,2494936826.81345,0.00966622749231445,0.04029451902273313465821605241,0.008,0.033348703249346056,44.02,183.50123962952667314,86520,1511.31338655028,360666.22564167759564,86520,360666.22564167759564,0.0011506170660432495,4.168587906168257,,,2089560,4554,12294,,,
2019-02-09,1434,11219121.8045469303216,2472153926.3152,0.00968857262452909,0.04996197664404798354139410335,0.008,0.041254354861360288,46.292,238.718324405261306512,86040,1443.49145063431,443690.58653392989744,86040,443690.58653392989744,0.00141849177801643,5.156794357670036,,,2175600,4778,12951,,,
2019-02-10,1433,13405091.09880265304454,2396456691.709,0.0104141479099678,0.06172790767937619220760261962,0.008,0.047418498921294504,48.582,287.960689324291199166,85980,1387.64492080758,509630.31715661268174,85980,509630.31715661268174,0.0016185608066533444,5.927312365161813,,,2261580,4665,13724,,,
2019-02-11,1425,12224809.29644946110436,2497515672.59439,0.00939719529799959,0.04894546433847016369817566296,0.008,0.041668146962010536,45.567,237.336556577241761739,85500,1329.63086047344,445328.3206564876035,85500,445328.3206564876035,0.0014468136021189902,5.208518370251317,,,2347080,4849,12891,,,
2019-02-12,1454,12104752.88948310427392,2493048034.06671,0.0087824493731919,0.04367107834092630775907610009,0.008,0.039780317754389248,45.537,226.434541197702898272,87240,1308.06960465346,433804.36511161474944,87240,433804.36511161474944,0.00138,4.972539719298656,,,2434320,5185,12441,,,
2019-02-13,1439,12545198.39158389943644,2788063313.50938,0.00814749310400779,0.04054966452589378948025311819,0.008,0.039815598745039472,50.213,249.907582473083375942,86340,1250.23208207374,429709.84945583850156,86340,429709.84945583850156,0.0013854139399825576,4.976949843129934,,,2520660,6163,13673,,,
2019-02-14,1427,13421149.85840412414,2846806335.44499,0.00821679536679537,0.04231273768497680347150713794,0.008,0.041196340710604,42.563,219.1799812081797565,85620,1199.07684515862,440903.83645523931,85620,440903.83645523931,0.0014406413822457167,5.1495425888255,,,2606280,5180,11634,,,
2019-02-15,1453,13821858.29061241381254,3154512364.70062,0.00811814003784807,0.04165934566931861664227887418,0.008,0.041053093910768792,30.029,154.097919630809506871,87180,1181.40607248669,447376.09089260291082,87180,447376.09089260291082,0.0014359403346000308,5.131636738846099,,,2693460,3699,8070,,,
2019-02-16,1436,14261799.3116222720934,3320646405.92827,0.0077126574685063,0.03957244982232158534179631024,0.008,0.04104675980636856,25.714,131.93454770762014398,86160,1131.39206078529,442073.6031145893912,86160,442073.6031145893912,0.0014223817358657088,5.13084497579607,,,2779620,3334,6763,,,
2019-02-17,1451,14192795.34143970876972,3468384395.94073,0.00806962197443568,0.03995231179132314166863810057,0.008,0.039607616731381832,29.672,146.904650456695214888,87060,1108.49135585416,431029.88907926278674,87060,431029.88907926278674,0.0013571565656184871,4.950952091422729,,,2866680,3677,8176,,,
2019-02-18,1407,14594521.6010177893908,3393027542.30135,0.0080575785161584,0.03984836288366054547481414588,0.008,0.039563611130813024,35.405,175.09370651080438934,84420,1044.12930771577,417495.00645790443576,84420,417495.00645790443576,0.0012646729918867282,4.945451391351628,,,2951100,4394,9803,,,
2019-02-19,1463,14999369.9713114542792,3622815112.75393,0.00838209266007288,0.04137251518396491653869751009,0.008,0.03948657392542372,32.204,158.95320333679318486,87780,1054.32593587111,433266.4323967117677,87780,433266.4323967117677,0.0012595075732329908,4.935821740677965,,,3038880,3842,8842,,,
2019-02-20,1453,15167401.76702560593168,4224816793.44116,0.00798579461379106,0.03874645890875993734096411005,0.008,0.038815382345893824,26.984,130.924284652699868352,87180,1017.91712251204,422990.62911437794704,87180,422990.62911437794704,0.0012227725412039744,4.851922793236728,,,3126060,3379,7278,,,
2019-02-21,1445,14881052.3372492188812,5203151376.30035,0.0082223532881156,0.03808478368001389751909651237,0.008,0.03705487453093096,27.882,129.14550145892712834,86700,984.994210585291,401582.202728964279,86700,401582.202728964279,0.0011791306052212254,4.63185931636637,,,3212760,3391,7509,,,
2019-02-22,1438,15108619.30554695003424,5689983389.19819,0.00823116646415553,0.03769628757078146001864532011,0.008,0.036637614107248048,27.097,124.096178683012544582,86280,954.586788884039,395136.66814667019768,86280,395136.66814667019768,0.0011482627389922007,4.579701763406006,,,3299040,3292,7336,,,
2019-02-23,1445,14620690.47518743367844,5746252135.79931,0.00833241852487135,0.03598200457266709003048358284,0.008,0.034546516803268848,24.289,104.887543329324631134,86700,934.670116429496,374397.8758554261402,86700,374397.8758554261402,0.0010474133354763297,4.318314600408606,,,3385740,2915,6619,,,
2019-02-24,1422,13986324.83127468504678,5340707954.19902,0.00808795962509012,0.03258970762209383806005725942,0.008,0.032235282204916504,22.436,90.403848943688335468,85320,897.184145477174,343789.28471543451516,85320,343789.28471543451516,0.0010705058421384885,4.029410275614563,,,3471060,2774,6065,,,
2019-02-25,1426,13404126.838422280937814,5120434454.02314,0.00811313394018206,0.03057663635454703028746308385,0.008,0.0301502591526163176,24.956,94.0537334265866027532,85560,878.064004588626,322457.021637231516732,85560,322457.021637231516732,0.000985617964932788,3.7687823940770397,,,3556620,3076,6824,,,
2019-02-26,1420,13801904.42962447617774,4636337536.85563,0.00815971873430437,0.03092400452067518672083919403,0.008,0.030318696541014056,32.492,123.139386001328588444,85200,853.913702489415,322894.1181617996964,85200,322894.1181617996964,0.0009971973244717349,3.789837067626757,,,3641820,3982,8954,,,
2019-02-27,1435,13515452.72050376999148,3868319752.10732,0.00796419342930971,0.02887392426628848510642385689,0.008,0.029003739823824052,21.575,78.2194608373754902375,86100,843.00360522758,312152.74985390635965,86100,312152.74985390635965,0.0009492079158386911,3.6254674779780065,,,3727920,2709,5829,,0.08408791196444221,
2019-02-28,1409,12797631.608370641970024,3440193956.55287,0.00788900597119775,0.02648174464141920432822320325,0.008,0.0268543284039609952,22.46,75.393526994120494024,84540,809.375049180844,283783.115408857816776,84540,283783.115408857816776,0.0008821147181930128,3.3567910504951244,,-57.79549397902331,3812460,2847,6065,,0.0798447288931202,
2019-03-01,1453,12866332.674636560581824,3295384260.81005,0.00785884759631776,0.02592920054504830963188099855,0.008,0.0263949137348812928,23.05,76.05034519862672488,87180,815.990706834477,287638.572425868888288,87180,287638.572425868888288,0.0008605214728229106,3.2993642168601616,,-50.623570482718705,3899640,2933,6217,,0.0756995526169486,
2019-03-02,1438,13972161.95380269883008,3584497209.25869,0.00789283047050037,0.02766736552859563773761466185,0.008,0.028043035392185892,21.137,74.0932048855791499005,86280,790.086103082852,302444.13670472484522,86280,302444.13670472484522,0.0009185457322302884,3.5053794240232365,,-38.69766300037612,3985920,2678,5540,,0.07475828721089924,
2019-03-03,1432,15119534.65383270300336,4140471589.42109,0.00796697247706422,0.02958291987236822760858813085,0.008,0.029705557495054232,21.71,80.61345665220342209,85920,770.187433690911,319037.68749688245168,85920,319037.68749688245168,0.0009787594921694509,3.713194686881779,,-40.199583735981875,4071840,2725,5795,,0.07611644729296708,
2019-03-04,1426,13714180.43222979513762,4051794610.06522,0.00804891304347826,0.02655126900504852061142199928,0.008,0.0263899176066383704,22.215,73.2815024539339248045,85560,751.176215904171,282240.168802997371428,85560,282240.168802997371428,0.000888836077375467,3.2987397008297963,,-45.61893805197377,4157400,2760,6011,,0.07802453271293974,
2019-03-05,1439,14097312.49114674079938,4092033817.49826,0.00773011152416357,0.0256787168270319261859833973,0.008,0.026575261427225496,20.794,69.075748264715870478,86340,742.60204442308,286813.50895333116558,86340,286813.50895333116558,0.0008636393238272614,3.321907678403187,,-41.79501251373914,4243740,2690,5521,,0.07748804993483907,
2019-03-06,1451,14044852.89778497662232,4085920021.21709,0.00775205377147125,0.02514003299067907603682547543,0.008,0.0259441265314214032,20.76,67.325008349038541304,87060,733.742033804378,282336.956978193420324,87060,282336.956978193420324,0.0008393420098496601,3.2430158164276754,,-38.95027684000436,4330800,2678,5524,,0.07737342643852012,
2019-03-07,1417,13721566.42896321863304,3865935376.60127,0.00764088598402324,0.02374302498876966862520032078,0.008,0.024858923468734176,21.043,65.388290819071658196,85020,702.752829599033,264188.20916397245544,85020,264188.20916397245544,0.0008037075088205419,3.107365433591772,,-39.1382751416137,4415820,2754,5533,,0.07282723097367659,
2019-03-08,1427,14170035.142852652096064,3718224150.91871,0.00802318977756744,0.02525611384488225493529595322,0.008,0.0251831149904966448,16.953,53.3661685542362024118,85620,694.251172957987,269522.288185790340972,85620,269522.288185790340972,0.0008168328924605496,3.1478893738120806,,-28.007629015509362,4501440,2113,4594,,0.06989993658535013,
2019-03-09,1444,14639590.484478886445064,3695266401.40305,0.00779201404124616,0.02486266469049213556468993257,0.008,0.0255263037862964664,17.758,56.6620128296315812914,86640,689.255636344615,276449.870005590731112,86640,276449.870005590731112,0.0008140801332554061,3.1907879732870583,,-17.726728827832723,4588080,2279,4742,,0.06835252400061352,
2019-03-10,1438,14838511.587470148997452,3861499620.56676,0.00797141041931385,0.02530482587465852917436799551,0.008,0.0253955820047581256,12.547,39.8297959267125252379,86280,673.722178009396,273891.351921316384596,86280,273891.351921316384596,0.0008113431116306254,3.1744477505947657,,-23.848367311685163,4674360,1574,3391,,0.053430043983019634,
2019-03-11,1420,14339252.962431429314256,3770011395.50634,0.00772254512083206,0.02326591701783389569736557882,0.008,0.0241018127094629408,25.245,76.056282731298992562,85200,653.379724176184,256684.30535578031952,85200,256684.30535578031952,0.0007788101127995323,3.0127265886828676,,-41.57753092865061,4759560,3269,6768,,0.04456178999921758,
