date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-09-09,8,,100033.5,,1361,,,,,,100033.5,10,11,73.5,,13.0454545454545,,10,,143.5,,,,
2018-09-10,36,,0,,31.40710065,,,,,,100033.5,44,45,3185.06,,117.532888888889,,5.57,,5288.98,,,,
2018-09-11,17,,1167.45,,357.90405291,,,,,,101200.95,22,22,282.76,,28.7618181818182,,10,,632.76,,,,
2018-09-12,17,,6280.04,,17.51123606,,,,,,107480.99,21,21,6137.83,,295.896666666667,,15.5,,6213.83,,,,
2018-09-13,28,,15852.9,,7.69092415,,,,,,123333.89,43,43,16036.29,,373.448604651163,,3.94,,16058.29,,,,
2018-09-14,21,,1115.57,,36.12266958,,,,,,124449.46,26,26,3445.19,,140.045769230769,,20,,3641.19,,,,
2018-09-15,5,,0,,568.13266378,,,,,,124449.46,4,4,219.05,,54.7625,,59,,219.05,,,,
2018-09-16,9,280225.15757865301278436,91970.02,119084.99801871748864214,0.9501169,,0.00019927639203177477,1.294824096142607,,,216419.48,15,15,227781.95,294937.55752635050054365,15185.4633333333,19662.50383508999020877346191,100,129.4824096142607,227781.95,294937.55752635050054365,,,
2018-09-17,17,439621.674961099954407678,24828.78,45244.968195172306428234,131.10107218,,0.00029112782649111363,1.8222791532718203,,,241248.26,24,24,1840.17,3353.303429476205561451,119.507083333333,217.7752666266509271507405761,10.04,18.295682698849075812,2868.17,5226.606399039636829851,,,
2018-09-18,28,309206.91822389529108256,6089.6,7612.8517050169058816,16.09285581,,0.0001971364705242675,1.250139862226896,,,247337.86,30,30,15369.42,19213.92460130729992032,629.32,786.73801809663019072,19.39,24.24021192857951344,18879.6,23602.1405428989057216,,,
