date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-09-12,2,,400228739.999999999999999999,,,,,,,,400228739.999999999999999999,0,0,0,,,,,,0,,,,
2017-09-13,0,,0,,,,,,,,400228739.999999999999999999,0,0,0,,,,,,0,,,,
2017-09-14,0,,0,,,,,,,,400228739.999999999999999999,0,0,0,,,,,,0,,,,
2017-09-15,0,,0,,,,,,,,400228739.999999999999999999,0,0,0,,,,,,0,,,,
2017-09-16,0,,0,,,,,,,,400228739.999999999999999999,0,0,0,,,,,,0,,,,
2017-09-17,0,,0,,,,,,,,400228739.999999999999999999,0,0,0,,,,,,0,,,,
2017-09-18,0,,0,,,,,,,,400228739.999999999999999999,0,0,0,,,,,,0,,,,
2017-09-19,3,,0,,7623404.57142857,,,,,,400228739.999999999999999999,2,2,52.5,,26.25,,26.25,,52.5,,,,
2017-09-20,7802,,0,,2.13455388,,,,,,400228739.999999999999999999,7801,7801,187499947.5,,24035.3733495706,,10000,,187499947.5,,,,
2017-09-21,0,,0,,,,,,,,400228739.999999999999999999,0,0,0,,,,,,0,,,,
2017-09-22,0,,0,,,,,,,,400228739.999999999999999999,0,0,0,,,,,,0,,,,
2017-09-23,0,37518451.29835369366296599991,0,0,,,0.0000248411635642312,0.0937425215849159,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-09-24,0,44176720.28007866208083999989,0,0,,,0.0000300692190775699,0.110378680651666,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-09-25,0,59191341.73083290270735999985,0,0,,,0.0000376877740335979,0.147893781268264,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-09-26,0,78341856.4424788883389799998,0,0,,,0.0000503303430371421,0.195742705639977,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-09-27,0,97969596.20075926432907999976,0,0,,,0.0000581657266524726,0.244784010765342,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-09-28,0,78133705.7793479271390599998,0,0,,,0.0000465891483027674,0.195222626389469,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-09-29,0,74382867.81378931844249999981,0,0,,,0.0000446666736715093,0.185850890702625,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-09-30,0,95833205.17291791749555999976,0,0,,,0.000055,0.239446085688194,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-01,0,108091805.9246605465973999997,0,0,,,0.0000614521028424224,0.27007507238151,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-02,0,97723791.14068542948371999976,0,0,,,0.0000555797267814104,0.244169849323378,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-03,0,113945808.9411863240414399997,0,0,,,0.0000661,0.284701715676856,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-04,0,135658127.3081557758501599997,0,0,,,0.0000804213168009827,0.338951488861484,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-05,0,155562698.3312478102857999996,0,0,,,0.00009,0.38868447661017,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-06,0,172373412.6978417595106999996,0,0,,,0.0000985831695436624,0.430687243244555,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-07,0,195055868.0557487453102999995,0,0,,,0.000109557195019195,0.487360972767095,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-08,0,247094196.3574067602909799994,0,0,,,0.000133982717882233,0.617382440744777,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-09,0,186325502.7747466409358599995,0,0,,,0.0000972828763383227,0.465547533579789,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-10,0,199424228.8295782462699799995,0,0,,,0.000104773272042433,0.498275633153127,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-11,0,169382166.3711206821438199996,0,0,,,0.0000878466209230609,0.423213401344243,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-12,0,163340408.5816494485158199996,0,0,,,0.0000755434924991993,0.408117639382043,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-13,0,244688833.5496154929123199994,0,0,,,0.0001087,0.611372470526768,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-14,0,208998791.7858431993224799995,0,0,,,0.0000899489146219918,0.522198360332252,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-15,0,179210688.8861716602659999996,0,0,,,0.0000786,0.4477706645609,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-16,0,156676430.2257064427527799996,0,0,,,0.0000679,0.391467215037347,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-17,0,209957879.1607911262290599995,0,0,,,0.0000938359787620239,0.524594708417969,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-18,0,231952141.0014492824600399994,0,0,,,0.0001039,0.579548937443746,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-19,0,198301454.6790315099349799995,0,0,,,0.0000868434280699452,0.495470302005377,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-20,0,186462584.1800657701003799995,0,0,,,0.0000776709247854539,0.465890041230087,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-21,0,155074324.0557819652520399996,0,0,,,0.0000644047373936697,0.387464238714546,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,,
2017-10-22,0,150341989.6535677455191399996,0,0,,,0.0000627423826002199,0.375640164305961,,,400228739.999999999999999999,0,0,0,0,,,,,0,0,,0.186359352842558,
2017-10-23,0,153728447.0743294758199799996,0,0,,,0.0000651025583503323,0.384101469260627,,309.7409188131256,400228739.999999999999999999,0,0,0,0,,,,,0,0,,0.185073607397568,
2017-10-24,0,171873750.6666567331783199996,0,0,,,0.0000779355652273305,0.429438802087668,,289.0595534865059,400228739.999999999999999999,0,0,0,0,,,,,0,0,,0.179318769934243,
2017-10-25,0,174141771.5209787655409799996,0,0,,,0.0000760483095906551,0.435105613657277,,194.2014261357214,400228739.999999999999999999,0,0,0,0,,,,,0,0,,0.173115117700841,
2017-10-26,0,161081337.0112673827802399996,0,0,,,0.0000682248083143861,0.402473188235476,,105.61337747917486,400228739.999999999999999999,0,0,0,0,,,,,0,0,,0.169947000131108,
2017-10-27,0,199225915.8037189678929599995,0,0,,,0.0000864823180616089,0.497780133939704,,103.35484020518497,400228739.999999999999999999,0,0,0,0,,,,,0,0,,0.167011204513052,
2017-10-28,0,178666860.8118838759482599996,0,0,,,0.0000778148334307423,0.446411871401049,,128.6681004436738,400228739.999999999999999999,0,0,0,0,,,,,0,0,,0.168413978399677,
2017-10-29,0,181733313.2162988165506999995,0,0,,,0.0000733806265910985,0.454073621040555,,144.32146616241187,400228739.999999999999999999,0,0,0,0,,,,,0,0,,0.162855760494386,
2017-10-30,0,207605538.2210490027685799995,0,0,,,0.0000847360903849865,0.518717217112017,,116.63215567762049,400228739.999999999999999999,0,0,0,0,,,,,0,0,,0.163147041422236,
2017-10-31,0,267915589.9384523444999999993,0,0,,,0.000104055948878963,0.669406174925,,147.85929668451294,400228739.999999999999999999,0,0,0,0,,,,,0,0,,0.166879275142441,
2017-11-01,0,437871788.3404203455015999989,0,0,,,0.000163101733525027,1.09405383616484,,348.0708159490558,400228739.999999999999999999,0,0,0,0,,,,,0,0,,0.186134492331542,
2017-11-02,0,454725530.7983716587875999989,0,0,,,0.000161475958653868,1.13616411154874,,299.0717473716654,400228739.999999999999999999,0,0,0,0,,,,,0,0,,0.184501051640288,
