date,AdrActCnt,IssTotNtv,NVTAdj,NVTAdj90,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,TxTfrValNtv
2017-08-22,3,200000000,2000000,,200000000,2,2,100,50,50,100
2017-08-23,0,0,,,200000000,0,0,0,,,0
2017-08-24,0,0,,,200000000,0,0,0,,,0
2017-08-25,0,0,,,200000000,0,0,0,,,0
2017-08-26,0,0,,,200000000,0,0,0,,,0
2017-08-27,0,0,,,200000000,0,0,0,,,0
2017-08-28,0,0,,,200000000,0,0,0,,,0
2017-08-29,0,0,,,200000000,0,0,0,,,0
2017-08-30,0,0,,,200000000,0,0,0,,,0
2017-08-31,0,0,,,200000000,0,0,0,,,0
2017-09-01,0,0,,,200000000,0,0,0,,,0
2017-09-02,2,0,2,,200000000,1,1,100000000,100000000,100000000,100000000
2017-09-03,0,0,,,200000000,0,0,0,,,0
2017-09-04,0,0,,,200000000,0,0,0,,,0
2017-09-05,0,0,,,200000000,0,0,0,,,0
2017-09-06,0,0,,,200000000,0,0,0,,,0
2017-09-07,5,0,2.00000356,,200000000,11,11,99999821.998,9090892.90890909,80.999,99999821.998
2017-09-08,40,0,19.31504205,,200000000,51,51,10354624.106644,203031.845228314,2471,10354624.106644
2017-09-09,17,0,4382.78263398,,200000000,17,17,45633.109534,2684.30056082353,1372.7297,45633.109534
2017-09-10,49,0,9.2338053,,181043076.000076,55,53,19606551.148481,369934.92732983,6973.333064,19606551.148481
2017-09-11,79,0,95.63232447,,181043076.000076,90,90,1893115.92076,21034.6213417778,8886.94164,1893115.92076
2017-09-12,64,0,174.45282502,,181043076.000076,64,64,1037776.693926,16215.2608425938,11512.8691185,1037776.693926
2017-09-13,19,0,337.99642642,,181043076.000076,18,18,535636.065505,29757.5591947222,9901.6270625,535636.065505
2017-09-14,3,0,21603.05118488,,181043076.000076,2,2,8380.44008,4190.22004,4190.22004,8380.44008
2017-09-15,5,0,28630.8379017,,181043076.000076,4,4,6323.359331,1580.83983275,331.920353,6323.359331
2017-09-16,10,0,167.68054448,,181043076.000076,10,10,1079690.411052,107969.0411052,5104.922676,1079690.411052
2017-09-17,225,0,61.95043371,,181043076.000076,251,251,2922385.93277,11642.9718437052,2478.624309,2922385.93277
2017-09-18,159,0,178.41942321,,181043076.000076,174,174,1014704.972936,5831.63777549425,1242.5536355,1014704.972936
2017-09-19,98,0,152.84680309,,181043076.000076,95,95,1184474.076945,12468.1481783684,5496.6978,1184474.076945
2017-09-20,72,0,277.99416324,,181043076.000076,71,71,651247.759634,9172.5036568169,7026.733025,651247.759634
2017-09-21,40,0,409.50709931,,181043076.000076,38,38,442099.969218,11634.2097162632,1967.741011,442099.969218
2017-09-22,11,0,7848.63816062,,181043076.000076,10,10,23066.813923,2306.6813923,1622.985,23066.813923
2017-09-23,29,0,1859.95054478,,181043076.000076,37,37,97337.575189,2630.74527537838,205.122846,97337.575189
2017-09-24,17,0,1026.50578156,,181043076.000076,16,16,176368.29646,11023.01852875,520.095238,176368.29646
2017-09-25,41,0,70.21021422,,181043076.000076,38,38,2578586.007886,67857.5265233158,3552.487798,2578586.007886
2017-09-26,27,0,3416.50835056,,181043076.000076,24,24,52990.672764,2207.9446985,346.2152825,52990.672764
2017-09-27,18,0,9125.95906998,,181043076.000076,14,14,19838.252025,1417.01800178571,365.21508,19838.252025
2017-09-28,15,0,3099.69413354,,181043076.000076,15,15,58406.755054,3893.78367026667,1000,58406.755054
2017-09-29,12,0,12108.05806541,,181043076.000076,11,11,14952.280128,1359.29819345455,325.76,14952.280128
2017-09-30,31,0,936.90243177,,181043076.000076,26,26,193235.78407,7432.14554115385,1992.8632995,193235.78407
2017-10-01,13,0,8695.34465498,,181043076.000076,9,9,20820.690057,2313.41000633333,558,20820.690057
2017-10-02,21,0,3960.49110716,,181043076.000076,16,16,45712.279387,2857.0174616875,414.53231,45712.279387
2017-10-03,9,0,3601.79937041,,181043076.000076,12,12,50264.619814,4188.71831783333,1997.5,50264.619814
2017-10-04,13,0,3102.49351386,,181043076.000076,9,9,58354.054631,6483.78384788889,3122.769465,58354.054631
2017-10-05,22,0,1553.45003037,,181043076.000076,17,17,116542.581004,6855.44594141177,1386.82158,116542.581004
2017-10-06,33,0,133.75118013,,181043076.000076,37,37,1353581.14839,36583.2742808108,1995,1353581.14839
2017-10-07,31,0,164.59434584,,181043076.000076,26,26,1099934.964805,42305.1909540385,1068,1099934.964805
2017-10-08,25,0,136.16318426,,181043076.000076,20,20,1329603.717661,66480.18588305,828.383296,1329603.717661
2017-10-09,20,0,337.3680609,,181043076.000076,16,16,536633.715469,33539.6072168125,459.2515575,536633.715469
2017-10-10,12,0,5080.61794996,,181043076.000076,13,13,35634.066128,2741.08200984615,319.978327,35634.066128
2017-10-11,21,0,882.57676628,,181043076.000076,16,16,205130.117761,12820.6323600625,2209.539462,205130.117761
2017-10-12,15,0,11921.41578013,,181043076.000076,12,12,15186.373778,1265.53114816667,204.159528,15186.373778
2017-10-13,11,0,16074.65021274,,181043076.000076,12,12,11262.644823,938.55373525,158.8538365,11262.644823
2017-10-14,2,0,18113.36428215,,181043076.000076,1,1,9995,9995,9995,9995
2017-10-15,9,0,183.50197793,,181043076.000076,18,18,986600.133942,54811.1185523333,0.019,986600.133942
2017-10-16,12,0,253.05319613,,181043076.000076,12,12,715434.852322,59619.5710268333,634.3626075,715434.852322
2017-10-17,8,0,10199.58826594,,181043076.000076,5,5,17750.037676,3550.0075352,1811.836037,17750.037676
2017-10-18,8,0,258.82144752,,181043076.000076,7,7,699490.238282,99927.1768974286,83.000635,699490.238282
2017-10-19,38,0,144.64991663,,181043076.000076,33,33,1251594.74829,37927.1135845455,232,1251594.74829
2017-10-20,24,0,40.32449227,,181043076.000076,20,20,4489655.43784,224482.771892,1481.088208,4489655.43784
2017-10-21,13,0,295.52030868,,181043076.000076,10,10,612624.820306,61262.4820306,9360.63,612624.820306
2017-10-22,9,0,10509.61151851,,181043076.000076,8,8,17226.428939,2153.303617375,1519.4919,17226.428939
2017-10-23,9,0,948.01286082,,181043076.000076,16,16,190971.118096,11935.694881,16649.5,190971.118096
2017-10-24,23,0,174.54514167,,181043076.000076,21,21,1037227.815526,49391.8007393333,729.779141,1037227.815526
2017-10-25,41,0,63.54266831,,181043076.000076,62,62,2849157.594872,45954.154756,4742.5,2849157.594872
2017-10-26,23,0,23.42654869,,181043076.000076,18,18,7728115.585158,429339.754731,9484.975,7728115.585158
2017-10-27,30,0,371.22072422,,181043076.000076,24,24,487696.575622,20320.6906509167,31932.561979,487696.575622
2017-10-28,1501,0,264.38100817,,181043076.000076,1502,1502,684780.942686,469.226326688415,10,704777.942686
2017-10-29,9279,0,3514.32536167,,181043076.000076,9285,9285,51515.74125,5.54827584814216,5,51515.74125
2017-10-30,22476,0,678.55791772,,181043076.000076,22495,22495,266805.634819,11.8606639172705,5,266805.634819
2017-10-31,18,0,4365.19200862,,181043076.000076,21,21,41474.252597,1974.96440938095,100,41474.252597
2017-11-01,24,0,4736.61389357,,181043076.000076,18,18,38222.046396,2123.447022,1365.471948,38222.046396
