date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-09-12,4,,226000000,,1.34179109,,,,,,226000000,2,2,168431585,,84215792.5,,84215792.5,,168431585.00000000000000001,,,,
2017-09-13,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-14,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-15,19774,,0,,4.46623996,,,,,,226000000,20140,20140,50601848.9760145,,2512.50491439992,,2160,,50601848.9760144266252634,,,,
2017-09-16,1654,,0,,32.44113144,,,,,,226000000,1699,1699,6966464.79212145,,4100.3324262045,,2160,,6966464.7921214522892562,,,,
2017-09-17,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-18,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-19,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-20,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-21,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-22,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-23,0,,0,,,,,,,,226000000,0,0,0,,,,,,0,,,,
2017-09-24,14020,,0,,1.29119035,,,,,,226000000,17952,17933,175032287.151722,,9994.25630049136,,2160,,179226998.236711498251136192,,,,
2017-09-25,8299,,0,,6.18671788,,,,,,226000000,10004,10005,36529870.0044552,,4161.06885827711,,1080,,41631493.927062464071521217,,,,
2017-09-26,8675,,0,,11.1169441,,,,,,226000000,6813,10082,20329327.740862,,2342.17112972159,,150.001,,23613769.329853067101234781,,,,
2017-09-27,9053,394071750.3004188,0,0,13.86251886,,0.000414334384118995,1.7436803110638,,,226000000,4334,9952,16302953.4751075,28427138.9867341047901443585,1838.50742419815,3205.76919731893589128849197,2,3.4873606221276,18296825.885620021154241179,31903815.05171810640555639532,,,
2017-09-28,6769,395645324.20885054,0,0,27.40643016,,0.000417784398973413,1.75064302747279,,,226000000,2962,7146,8246239.9771036,14436222.51878379679537201104,1374.20755766354,2405.746879124088304323325077,2,3.50128605494558,9820087.207063628141493343,17191467.19822068478185390304,,,
2017-09-29,6337,398439593.4803819,0,0,42.75401106,,0.000423714195400724,1.76300705079815,,,226000000,2450,6650,5286053.73886079,9319350.012509495530241239538,878.482161427318,1548.770244596760233735113862,2,3.5260141015963,5841906.373491664052140843,10299322.12656845441215824547,,,
2017-09-30,3471,404905300.4736585,0,0,50.41003305,,0.000411528550464866,1.79161637377725,,,226000000,1482,3442,4483234.51387623,8032236.362543943389424089768,1457.54958713327,2611.369705900237081629044108,2,3.5832327475545,5016885.678912719549522564,8988334.527708623576816721265,,,
2017-10-01,5736,487447316.18726104,0,0,54.56885931,,0.000490762637657984,2.15684653180204,,,226000000,2773,5796,4141556.24397652,8932701.221083840577371048101,863.542086335075,1862.527753976904312299008553,2,4.31369306360408,5005089.932398093966251799,10795210.86205013581150279103,,,
2017-10-02,3601,421733513.34313298,0,0,28.93283772,,0.00042477020599749,1.86607749266873,,,226000000,1711,3635,7811193.7105251,14576292.77408643218108865012,2251.54233459362,4201.552474375961154213831503,2,3.73215498533746,8184356.38624780798289836,15272643.24435661745740004715,,,
2017-10-03,1545,390308298.93262806,0,0,100.2260993,,0.000400968929980063,1.72702787138331,,,226000000,1134,1508,2254901.68314007,3894278.054012038051055390232,1778.13459665702,3070.888007497593740049022336,143.3555,247.578944016090096705,2681426.971758780498013055,4630899.11530636158158466426,,,
2017-10-04,1478,381953045.79694198,0,0,97.08850614,,0.000400991505161484,1.69005772476523,,,226000000,1001,1411,2327772.96696853,3934070.684324842698939048212,1742.10749671418,2944.262232193217449036911961,65,109.85375210973995,2458113.677863706717200916,4154354.009624627686387736037,,,
2017-10-05,1438,384842945.65498846,0,0,103.22060134,,0.000394294214272909,1.70284489227871,,,226000000,795,1376,2189485.40379766,3728354.036575634209445165819,1678.45600991351,2858.150243395724339813914372,2,3.40568978455742,2309555.469640992338844259,3932814.734912521082955720596,,,
2017-10-06,4318,379867959.12660962,0,0,115.07079896,,0.000384737920246029,1.68083167755137,,,226000000,1311,4335,1964008.26318825,3301167.303739458850269355402,525.16124272221,882.7076525897344338459149277,2,3.36166335510274,2276573.987200780697242009,3826537.673976499354377409715,,,
2017-10-07,7105,390947225.6877957,0,0,60.47077614,,0.000388865892202016,1.72985498091945,,,226000000,2041,7041,3737342.47229878,6465060.491107856167079513271,558.007611718781,965.2722465226997709742131904,2,3.4597099618389,3928931.594111933637644902,6796481.887766323234715766579,,,
