date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2014-04-22,156,,452552412,,277.25017567,,,,,,452552412,203,12,1632289,,136024.083333333,,47595,,1632289,,,,
2014-04-23,13,,0,,44.62860207,,,,,,452552412,9,9,10140412,,1126712.44444444,,10000,,10140412,,,,
2014-04-24,37,,0,,21.59169532,,,,,,452552412,35,35,20959559,,598844.542857143,,29411,,20959559,,,,
2014-04-25,1513,,0,,2.04146373,,,,,,452552412,1942,1939,221680359,,114327.157813306,,23798,,221680359,,,,
2014-04-26,23,,0,,84.18813842,,,,,,452552412,19,19,5375489,,282920.473684211,,52844,,5375489,,,,
2014-04-27,19,,0,,236.63625977,,,,,,452552412,14,14,1912439,,136602.785714286,,36900,,1912439,,,,
2014-04-28,31,,0,,23.34777815,,,,,,452552412,32,32,19383104,,605722,,23799,,19383104,,,,
2014-04-29,35,,0,,30.99343741,,,,,,452552412,31,31,14601556,,471017.935483871,,23800,,14601556,,,,
2014-04-30,21,,0,,124.76374468,,,,,,452552412,17,17,3627275,,213369.117647059,,105100,,3627275,,,,
2014-05-01,11,,0,,174.66436947,,,,,,452552412,9,9,2590983,,287887,,238000,,2590983,,,,
2014-05-02,9,,0,,180.34071961,,,,,,452552412,6,6,2509430,,418238.333333333,,467152,,2509430,,,,
2014-05-03,2,,0,,19016.40524414,,,,,,452552412,1,1,23798,,23798,,23798,,23798,,,,
2014-05-04,5,,0,,3634.78396222,,,,,,452552412,3,3,124506,,41502,,23800,,124506,,,,
2014-05-05,15,,0,,387.13542867,,,,,,452552412,18,18,1168977,,64943.1666666667,,18710,,1168977,,,,
2014-05-06,11,,0,,727.87228889,,,,,,452552412,8,8,621747,,77718.375,,59725.5,,621747,,,,
2014-05-07,24,,0,,49.04332294,,,,,,452552412,28,28,9227605,,329557.321428571,,40817,,9227605,,,,
2014-05-08,14,,0,,160.36970841,,,,,,452552412,11,11,2821932,,256539.272727273,,74195,,2821932,,,,
2014-05-09,9,,0,,1712.28087992,,,,,,452552412,9,9,264298,,29366.4444444444,,12000,,264298,,,,
2014-05-10,11,,0,,270.17989927,,,,,,452552412,13,13,1675004,,128846.461538462,,50635,,1675004,,,,
2014-05-11,11,,0,,3560.09701222,,,,,,452552412,10,10,127118,,12711.8,,7000,,127118,,,,
2014-05-12,9,,0,,565.86734855,,,,,,452552412,8,8,799750,,99968.75,,45750.5,,799750,,,,
2014-05-13,9,,0,,867.03172681,,,,,,452552412,6,6,521956,,86992.6666666667,,108900,,521956,,,,
2014-05-14,8,,0,,1115.98049911,,,,,,452552412,6,6,405520,,67586.6666666667,,64796.5,,405520,,,,
2014-05-15,4,,0,,1134.78538616,,,,,,452552412,3,3,398800,,132933.333333333,,37500,,398800,,,,
2014-05-16,9,,0,,1983.65226768,,,,,,452552412,6,6,228141,,38023.5,,6612,,228141,,,,
2014-05-17,13,,0,,196.58763905,,,,,,452552412,11,11,2302039,,209276.272727273,,23800,,2302039,,,,
2014-05-18,10,,0,,163.20528053,,,,,,452552412,8,8,2772903,,346612.875,,21400,,2772903,,,,
2014-05-19,0,,0,,,,,,,,452552412,0,0,0,,,,,,0,,,,
2014-05-20,12,,0,,147.98478271,,,,,,452552412,11,11,3058101,,278009.181818182,,119000,,3058101,,,,
2014-05-21,9,,0,,471.49716822,,,,,,452552412,6,6,959820,,159970,,51140.5,,959820,,,,
2014-05-22,12,,0,,272.87031268,,,,,,452552412,12,12,1658489,,138207.416666667,,64289,,1658489,,,,
2014-05-23,14,,0,,238.099263,,,,,,452552412,10,10,1900688,,190068.8,,53660,,1900688,,,,
2014-05-24,7,,0,,421.52127994,,,,,,452552412,6,6,1073617,,178936.166666667,,74400,,1073617,,,,
2014-05-25,7,,0,,1586.37805058,,,,,,452552412,5,5,285274,,57054.8,,9780,,285274,,,,
2014-05-26,7,,0,,809.67781597,,,,,,452552412,5,5,558929,,111785.8,,30940,,558929,,,,
2014-05-27,7,,0,,558.74807023,,,,,,452552412,6,6,809940,,134990,,34459.5,,809940,,,,
2014-05-28,6,,0,,758.44696765,,,,,,452552412,4,4,596683,,149170.75,,47906.5,,596683,,,,
2014-05-29,7,,0,,3166.56226035,,,,,,452552412,5,5,142916,,28583.2,,4275,,142916,,,,
2014-05-30,10,,0,,538.48491108,,,,,,452552412,9,9,840418,,93379.7777777778,,49130,,840418,,,,
2014-05-31,0,,0,,,,,,,,452552412,0,0,0,,,,,,0,,,,
2014-06-01,6,,0,,225.66769307,,,,,,452552412,6,6,2005393,,334232.166666667,,242710.5,,2005393,,,,
2014-06-02,7,,0,,453.20638882,,,,,,452552412,6,6,998557,,166426.166666667,,108807.5,,998557,,,,
2014-06-03,5,,0,,1142.43984773,,,,,,452552412,4,4,396128,,99032,,89435,,396128,,,,
2014-06-04,7,,0,,425.53078182,,,,,,452552412,6,6,1063501,,177250.166666667,,70795.5,,1063501,,,,
