date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-03-28,2,,1000000,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2016-03-29,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2016-03-30,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2016-03-31,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2016-04-01,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2016-04-02,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2016-04-03,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2016-04-04,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2016-04-05,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2016-04-06,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2016-04-07,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2016-04-08,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2016-04-09,31,,0,,20.59435303,,,,,,1000000,34,17,48557,,2856.29411764706,,800,,48557,,,,
2016-04-10,11,,0,,999.000999,,,,,,1000000,24,2,1001,,500.5,,500.5,,1001,,,,
2016-04-11,13,,0,,32.84252012,,,,,,1000000,11,11,30448.3333322919,,5325.30303020835,,180,,58578.3333322918612951,,,,
2016-04-12,8,,0,,37.00532078,,,,,,1000000,12,12,27023.1409643,,2251.92841369167,,10.09238996,,27023.1409643,,,,
2016-04-13,6,,0,,2384.78133812,,,,,,1000000,10,7,419.32565641,,62.2609827742857,,15.51172301,,435.82687942,,,,
2016-04-14,4,,0,,199.9102663,,,,,,1000000,3,3,5002.2443495,,1667.41478316667,,1.1865495,,5002.2443495,,,,
2016-04-15,6,,0,,6860.94672609,,,,,,1000000,10,10,145.752479930785,,14.5752479930785,,1.29658493289932,,145.7524799307849211,,,,
2016-04-16,7,,0,,2802.65726597,,,,,,1000000,9,9,356.80424151059,,39.6449157233989,,1.3005843693008,,356.804241510590060573,,,,
2016-04-17,6,,0,,8558.03077998,,,,,,1000000,9,9,116.849310981537,,13.0943678868375,,2.17952139209954,,117.849310981537435234,,,,
2016-04-18,4,,0,,285.70622799,,,,,,1000000,3,2,3500.09870995118,,1750.04935497559,,1750.04935497559,,3500.09870995118307839,,,,
2016-04-19,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2016-04-20,7,,0,,18887.2467424,,,,,,1000000,4,4,52.945779426657,,13.2364448566643,,15.8043479804587,,52.945779426657043591,,,,
2016-04-21,4,,0,,101188.50190471,,,,,,1000000,4,4,9.88254575546279,,2.4706364388657,,0.877620432005307,,9.882545755462793911,,,,
2016-04-22,5,,0,,249.31510732,,,,,,1000000,6,3,4010.98838640289,,1336.99612880096,,6.92971878802834,,4010.988386402887933174,,,,
2016-04-23,2,,0,,1502686207.62870975,,,,,,1000000,1,1,0.000665474930776156,,0.000665474930776156,,0.000665474930776156,,0.000665474930776156,,,,
2016-04-24,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2016-04-25,6,,0,,2314.66758024,,,,,,1000000,4,3,432.02747925221,,144.009159750737,,1.978374415676,,432.02747925221026876,,,,
2016-04-26,10,,0,,33832.39066276,,,,,,1000000,28,28,29.5574737820913,,1.06740977793183,,0.1,,29.887473782091325321,,,,
2016-04-27,18,,0,,53.12181571,,,,,,1000000,26,26,18824.6577539811,,724.025298230041,,0.2,,18824.657753981067468759,,,,
2016-04-28,18,,0,,48.05891771,,,,,,1000000,33,33,20807.7927606715,,630.569477596135,,1.78161845622235,,20808.792760672451671692,,,,
2016-04-29,10,,0,,736.22633314,,,,,,1000000,10,10,1358.27795746102,,135.897795746102,,0.989694393632647,,1358.977957461022619652,,,,
2016-04-30,14,,0,,26462.13695981,,,,,,1000000,14,14,37.7898429563203,,2.70284592545145,,1.08865031970665,,37.839842956320273135,,,,
2016-05-01,14,,0,,748.62020045,,,,,,1000000,23,23,1335.79083145611,,58.0778622372221,,0.49462902312329,,1335.790831456107307888,,,,
