date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-07-05,3,,91299754.257581440293795,,,,,,,,91299754.257581440293795,0,0,0,,,,,,0,,,,
2017-07-06,8,,0,,25.39203488,,,,,,91299754.257581440293795,12,12,3595606.051,,299634.00425,,2,,3595608.051,,,,
2017-07-07,7,,48945643.987551340495444631,,,,,,,,140245398.245132780789239631,2,2,0,,1,,1,,2,,,,
2017-07-08,316,,0,,24.7379532,,,,,,140245398.245132780789239631,545,545,5669240.17999999,,10416.947119266,,999.5,,5677236.1799999900008,,,,
2017-07-09,2066,,0,,29.30245129,,,,,,140245398.245132780789239631,3307,3263,4786131.94669992,,1641.58728899783,,999.5,,5356499.3239999200004,,,,
2017-07-10,1948,,0,,8.28134331,,,,,,140245398.245132780789239631,2747,2688,16935102.5583336,,6511.4040876985,,999.5,,17502654.18773358,,,,
2017-07-11,637,,0,,14.56207737,,,,,,140245398.245132780789239631,892,892,9630864.79067152,,11429.7813345858,,999.5,,10195364.950450534596621589,,,,
2017-07-12,399,,0,,9.49491627,,,,,,140245398.245132780789239631,617,612,14770577.6760928,,25744.8606938319,,1356.774135455,,15755854.744625112603893539,,,,
2017-07-13,544,,0,,4.63145083,,,,,,140245398.245132780789239631,1023,1023,30281094.0627557,,31667.4541649746,,2757.517512,,32395805.610769018536536738,,,,
2017-07-14,661,,0,,5.98502762,,,,,,140245398.245132780789239631,1218,1217,23432706.9205858,,21953.3558364319,,2200,,26717234.052937643618173828,,,,
2017-07-15,423,60264011.65735458679864896346,0,0,10.38424989,,0.00021578196086118997,0.42970402174636807,,,140245398.245132780789239631,761,761,13505587.7641473,5803405.378302633920035535497,22329.5187877981,9595.084026777929147837707447,1528.88,656.9658847675872148616,16992763.797514317662973851,7301858.944377988424367818664,,,
2017-07-16,574,53414191.84986555596484941704,0,0,9.48632815,,0.00019863567781099801,0.3808623492694121,,,140245398.245132780789239631,1286,1285,14783949.7072725,5630649.816992641670033169497,16801.1209399246,6398.914391539196313664460328,1550,590.336641367588755,21589440.407803073246010939,8222604.993127852883985863457,,,
2017-07-17,603,82172356.28981185739309561008,0,0,11.18356045,,0.0002647637163353145,0.5859183782000751,,,140245398.245132780789239631,1206,1206,12540317.4522107,7347602.463713391126527401024,12779.5412636046,7487.768091312145661608616705,1271.65675292,745.087062298060015766144292,15412126.763907100375465003,9030248.318122419998177035052,,,
