date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-09-08,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-09-09,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-09-10,16,,479.75,,0.68170515,,,,,,479.75,32,32,703.75,,21.9921875,,17.455,,703.75,,,,
2018-09-11,9,,250763.8,,1.00181024,,,,,,251243.55,7,7,250789.56,,35827.08,,50,,250789.56,,,,
2018-09-12,13,,0,,836.25121561,,,,,,251092.79,11,11,300.26,,41.0018181818182,,4.5,,451.02,,,,
2018-09-13,13,,377.37,,556.0300712,,,,,,251470.16,9,9,452.26,,50.2511111111111,,5,,452.26,,,,
2018-09-14,0,,0,,,,,,,,251470.16,0,0,0,,,,,,0,,,,
2018-09-15,2,,0,,251470.16,,,,,,251470.16,1,1,1,,1,,1,,1,,,,
2018-09-16,3,,0,,16764.67733333,,,,,,251470.16,2,2,15,,7.5,,7.5,,15,,,,
2018-09-17,11,,696,,342.57052031,,,,,,252166.16,7,7,736.1,,105.157142857143,,20,,736.1,,,,
2018-09-18,22,,1299990,,1.1893696,,,,,,1552156.16,16,16,1305024.237,,81564.0148125,,1.0555,,1305024.237,,,,
2018-09-19,32,,475,,182.80162511,,,,,,1552631.16,32,32,8493.5304,,267.922825,,10,,8573.5304,,,,
2018-09-20,21,,6532986,,1.23762803,,,,,,8085617.16,16,16,6533156.11565432,,408322.257228395,,25,,6533156.115654321012345678,,,,
2018-09-21,35,,3570270,,2.07561718,,,,,,11655887.16,33,33,5615624.7269042,,170171.961421339,,50,,5615674.7269042,,,,
2018-09-22,10,,500100,,2.40981275,,,,,,12155987.16,7,7,5044370,,720624.285714286,,200000,,5044370,,,,
2018-09-23,3,,0,,2267908.05223881,,,,,,12155987.16,2,2,5.36,,2.68,,2.68,,5.36,,,,
2018-09-24,25,,1010400,,12.71733132,,,,,,13166387.16,26,26,1035310.54,,39819.6361538462,,22.5,,1035310.54,,,,
2018-09-25,12,,0,,34.64282618,,,,,,13166387.16,8,8,380061,,47507.625,,6.75,,380061,,,,
2018-09-26,8,,0,,14.12227236,,,,,,13166383.76,7,7,932313.4,,133188.114285714,,20,,932316.8,,,,
2018-09-27,17,,1382245,,2.71181602,,,,,,14143774.19,24,24,5215609.7883,,234186.014929167,,1685.32415,,5620464.3583,,,,
2018-09-28,65,,936606.59,,4.653478,,,,,,15080380.78,94,94,3240668.75762,,34475.1995491489,,30,,3240668.75762,,,,
2018-09-29,37,,0,,24.06517424,,,,,,15080380.78,40,40,626647.47951,,15666.18698775,,996.96685,,626647.47951,,,,
2018-09-30,78,,0,,2.17364959,,,,,,15080380.78,84,84,6937815.947064,,83342.3207699048,,167.02765,,7000754.944672,,,,
2018-10-01,31,,0,,2.74298709,,,,,,15079830.78,44,44,5497594.52,,127255.250681818,,65263,,5599231.03,,,,
2018-10-02,20,,0,,28.14321184,,,,,,15079785.9,22,22,535823.2027,,25257.8673954545,,1216.86,,555673.0827,,,,
2018-10-03,39,,417584.13,,5.60178182,,,,,,15497370.03,38,38,2766507.24975,,72807.427625,,986.8483,,2766682.24975,,,,
2018-10-04,38,,0,,2.76326608,,,,,,14662709.48,42,42,5306296.63,,158204.104285714,,586.8,,6644572.38,,,,
2018-10-05,22,,955463.96,,8.7908327,,,,,,15618173.44,26,26,1776643.23391,,74108.7101503846,,123.6,,1926826.46391,,,,
2018-10-06,4,,0,,179.70182852,,,,,,15618173.44,3,3,86911.6,,28970.5333333333,,25896.6,,86911.6,,,,
2018-10-07,10,,0,,261813.07210206,,,,,,15618173.44,6,6,59.65391,,15.7756516666667,,11.126955,,94.65391,,,,
2018-10-08,21,,0,,7.07405549,,,,,,14619612.2,22,20,2066652.17993,,188252.814996499,,116.88,,3765056.29992998,,,,
2018-10-09,39,,1040132.6,,5.1893107,,,,,,15584134.8,43,43,3003122.32098,,92611.7383018605,,2497.2,,3982304.74698,,,,
2018-10-10,36,,0,,29.90372501,,,,,,15385556.26,34,34,514503.00097,,22160.6335579412,,108.53,,753461.54097,,,,
2018-10-11,50,,250075,,4.09231388,,,,,,15543003.06,80,80,3798096.51210247,,66276.9154225308,,4192.3994,,5302153.233802466300549176,,,,
2018-10-12,51,,6289795.71,,0.99350749,,,,,,21832798.77,94,94,21975474.76922,,325922.100956596,,14849.49,,30636677.48992,,,,
2018-10-13,39,,2666814.51,,5.1100655,,,,,,24499613.28,51,51,4794383.41399,,95757.5312370588,,4285.7987,,4883634.09309,,,,
2018-10-14,26,,0,,14.65439705,,,,,,24499613.28,33,33,1671826.76976,,50796.6564518182,,4397.0977,,1676289.66291,,,,
2018-10-15,98,,11624201.16,,1.18349327,,,,,,36123814.44,187,186,30523041.69497,,217395.779146667,,6259.108425,,40435614.921279999999999998,,,,
2018-10-16,100,,14714902.9,,1.08448797,,,,,,50550531.94,169,169,46612348.9674739,,298935.942772035,,5727.17579,,50520174.328473879999999995,,,,
2018-10-17,88,,13273822.88,,2.4309071,,,,,,63474357.12,127,127,26111387.4367318,,211024.84258403,,6798.7,,26800155.008171759999999993,,,,
2018-10-18,79,,0,,3.49609017,,,,,,63206483.08,124,124,18079191.31418,,164858.575057903,,12069.85,,20442463.307179989999999999,,,,
2018-10-19,182,,13530032.03,,1.62642034,,,,,,76736515.11,214,213,47181231.83493,,225421.082369202,,20.3,,48014690.544639989999999998,,,,
2018-10-20,437,,5216102.66,,4.82461733,,,,,,81952617.77,461,461,16986345.6691975,,39340.0690871942,,10.3,,18135771.849196510568499898,,,,
2018-10-21,348,,0,,43.9366978,,,,,,81952617.77,362,362,1865242.9942555,,6016.21551175552,,10.36,,2177870.0152555,,,,
2018-10-22,162,,88045.67,,2.7938837,,,,,,82040663.44,250,250,29364380.312613,,129153.069368272,,6889.12627,,32288267.342067999999999989,,,,
2018-10-23,88,,14952644.88,,4.30693261,,,,,,96838802.35,124,123,22484401.54963,,207048.495823252,,5003.6,,25466964.986259999999999998,,,,
2018-10-24,73,,927853.71,,9.02126572,,,,,,96959821.66,101,101,10747917.7171013,,129474.549275415,,12500,,13076929.476816869999999995,,,,
2018-10-25,131,,0,,15.77101566,,,,,,96368043.22,167,167,6110452.57256456,,41537.5302896081,,400.63,,6936767.558364559999999999,,,,
2018-10-26,1471,,12335477.09,,4.61279285,,,,,,108703520.31,1576,1576,23565662.6611627,,20258.527481956,,0.482,,31927439.311562679999868928,,,,
2018-10-27,111,,141075.21,,8.01093071,,,,,,108844595.52,195,195,13587009.9885806,,80663.6141025138,,6771.7729,,15729404.7499902,,,,
2018-10-28,59,,0,,16.12754572,,,,,,108844595.52,64,64,6748986.9457024,,127150.357468278,,11847.35,,8137622.8779698,,,,
2018-10-29,118,,485585.65,,5.81673783,,,,,,106808052.77,206,206,18362191.3057461,,117832.68989244,,15649.2884,,24273534.117842679999999996,,,,
2018-10-30,113,,5748717.96,,2.06144683,,,,,,112253017.87,237,237,54453510.986672,,263180.403473089,,24405.66,,62373755.623121999999999995,,,,
2018-10-31,143,,257403.25,,2.68773499,,,,,,109307012.75,278,282,40668820.8540139,,189181.2923207,,15937.5076,,53349124.434437274773535163,,,,
2018-11-01,329,,7446770.24,,4.10955551,,,,,,116097927.69,423,424,28250726.2688722,,77801.3692158284,,16.67,,32987780.547511259045529599,,,,
2018-11-02,207,,18477876.36,,2.84711785,,,,,,133976912.76,447,446,47057030.9288818,,121395.829278434,,16246.6441,,54142539.858181770007077886,,,,
2018-11-03,133,,1931063.45,,16.94067174,,,,,,135907976.21,230,230,8022584.83569899,,47122.0976779829,,8895.08703,,10838082.46593607000262144,,,,
2018-11-04,82,,0,,21.31032276,,,,,,135907976.21,152,152,6377565.35808743,,63198.0136712331,,10536.4819,,9606098.07802743,,,,
2018-11-05,133,,3990038.74,,4.22029969,,,,,,138151448.23,255,257,32734985.2815499,,153037.770173781,,15773.5121,,39330706.934661692188471504,,,,
2018-11-06,132,,2989171.88,,3.09434355,,,,,,137676577.62,233,235,44492983.8347192,,211044.601573833,,14998.999,,49595481.369850754083490114,,,,
2018-11-07,396,,2024447.49,,2.29867727,,,,,,137377149.79,598,599,59763565.7093792,,113263.938228969,,100,,67845098.999152349999737855,,,,
2018-11-08,152,,6350178.47,,2.93720796,,,,,,138084346.82,515,515,47012111.1283024,,113412.580120587,,14540.3552,,58407478.762102389999999999,,,,
2018-11-09,140,,3795220.94,,2.62875485,,,,,,136734906.75,458,458,52015084.8635452,,135943.428558562,,16183.9982,,62262090.27982121,,,,
