date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-06-16,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-17,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-18,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-19,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-20,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-21,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-22,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-23,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-24,2667,,25672012.34479282839620952,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-06-25,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-06-26,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-06-27,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-06-28,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-06-29,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-06-30,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-07-01,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-07-02,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-07-03,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-07-04,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-07-05,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-07-06,5,,179546243.603784934968198687,,,,,,,,205218255.948577763364408207,0,0,0,,,,,,0,,,,
2017-07-07,4567,,0,,1.59307944,,,,,,205218255.948577763364408207,6975,7708,128818595.790543,,19608.5864233392,,1000,,151142984.151098449722493215,,,,
2017-07-08,3674,,0,,8.1471543,,,,,,205218255.948577763364408207,5712,5733,25188949.2151659,,5198.04279798383,,788.13008681,,29800379.360841280257399085,,,,
2017-07-09,2467,,0,,15.27066145,,,,,,205218255.948577763364408207,3627,3631,13438727.3663319,,4326.40018222958,,629.9,,15709159.061675601670378462,,,,
2017-07-10,2026,,0,,21.54448698,,,,,,205218255.948577763364408207,2908,2913,9525325.71792863,,4201.9580301261,,839.5,,12240303.741757322578882008,,,,
2017-07-11,1294,,0,,35.31083422,,,,,,205218255.948577763364408207,1916,1918,5811764.58993089,,3699.25741293636,,691.503143335,,7095175.71801194390160008,,,,
2017-07-12,989,,0,,92.4527405,,,,,,205218255.948577763364408207,1427,1429,2219709.8197094,,1933.30818165104,,500,,2762697.391579336656286201,,,,
2017-07-13,966,,0,,93.28423191,,,,,,205218255.948577763364408207,1276,1278,2199924.37897933,,2092.62437203353,,543.742061182977,,2674373.947458856071555699,,,,
2017-07-14,1048,,0,,88.89470737,,,,,,205218255.948577763364408207,1441,1444,2308554.26619135,,2047.82198034753,,629.5,,2957054.939621831082072931,,,,
2017-07-15,741,,0,,125.4002593,,,,,,205218255.948577763364408207,917,915,1636505.83420472,,2887.37134498174,,760,,2641944.780658290487914485,,,,
2017-07-16,1036,,0,,54.96354301,,,,,,205218255.948577763364408207,1490,1490,3733715.92716639,,3260.48119949146,,671.22523244,,4858116.98724226799378902,,,,
2017-07-17,1049,,0,,61.94968861,,,,,,205218255.948577763364408207,1556,1557,3312660.00758304,,3009.03836661552,,839.8,,4685072.736820358030007437,,,,
2017-07-18,789,,0,,36.86699125,,,,,,205218255.948577763364408207,1205,1207,5566449.79607862,,5289.06619157693,,614.49,,6383902.893233357045596251,,,,
2017-07-19,636,,0,,59.27042435,,,,,,205218255.948577763364408207,929,929,3462405.71401613,,5426.34449218731,,800,,5041074.033242009236947244,,,,
2017-07-20,581,,0,,70.55036597,,,,,,205218255.948577763364408207,843,844,2908819.15530086,,4558.08043700634,,839.9,,3847019.8888333521242917,,,,
2017-07-21,601,,0,,125.21637567,,,,,,205218255.948577763364408207,856,857,1638909.08714146,,2740.2870896741,,891.26826528,,2348426.035850703999433352,,,,
2017-07-22,601,,0,,150.49707767,,,,,,205218255.948577763364408207,781,782,1363602.92918251,,2408.57039568612,,586.88318751,,1883502.049426545460136897,,,,
2017-07-23,751,,0,,99.92630264,,,,,,205218255.948577763364408207,1175,1177,2053696.07929145,,2374.82958760732,,579,,2795174.424613815492819803,,,,
2017-07-24,1699,,0,,23.84296041,,,,,,205218255.948577763364408207,2571,2573,8607079.50847369,,4109.85912846971,,667.645,,10574667.537552556819358409,,,,
2017-07-25,917,,0,,95.62025872,,,,,,205218255.948577763364408207,1335,1335,2146179.67662457,,2307.82251597828,,794.82542615,,3080943.058831000680059466,,,,
2017-07-26,630,,0,,161.34850487,,,,,,205218255.948577763364408207,868,868,1271894.37619011,,1824.24137576773,,440.730475895,,1583441.514166386481347422,,,,
2017-07-27,634,,0,,40.21074281,,,,,,205218255.948577763364408207,871,872,5103567.8922049,,6374.46932905991,,662.469365,,5558537.254940245202420071,,,,
2017-07-28,541,,0,,159.58622148,,,,,,205218255.948577763364408207,743,743,1285939.68853364,,2482.5739489434,,451.45240638,,1844552.444064943293243674,,,,
2017-07-29,458,,0,,173.16405857,,,,,,205218255.948577763364408207,658,658,1185108.83636693,,2324.54058570101,,489.495,,1529547.70539126459809035,,,,
2017-07-30,474,,0,,179.19899009,,,,,,205218255.948577763364408207,739,739,1145197.61439483,,2098.98361385931,,643.24519272,,1551148.890642032117231713,,,,
2017-07-31,446,,0,,51.67130218,,,,,,205218255.948577763364408207,578,578,3971609.91290702,,7246.34067702126,,386,,4188384.911318287443468022,,,,
2017-08-01,428,,0,,205.35220068,,,,,,205218255.948577763364408207,586,587,999347.731709629,,2402.89808188224,,478.13129,,1410501.17406487552567821,,,,
2017-08-02,541,,0,,160.58613582,,,,,,205218255.948577763364408207,719,720,1277932.5868062,,2437.73724438287,,511.63317328,,1755170.815955664138724428,,,,
2017-08-03,655,,0,,147.68528262,,,,,,205218255.948577763364408207,898,899,1389564.70350077,,2448.97703685263,,673.2588173,,2201630.356130514282091888,,,,
2017-08-04,1231,,0,,61.3409605,,,,,,205218255.948577763364408207,1904,1905,3345533.78787525,,2469.88323663668,,656.80834558,,4705127.565792883375984467,,,,
2017-08-05,3476,,0,,16.08317915,,,,,,205218255.948577763364408207,6497,6498,12759806.6315381,,2509.33404441972,,828.20370951,,16305652.620639333103375147,,,,
2017-08-06,3068,,0,,19.510849,,,,,,205218255.948577763364408207,5224,5222,10518161.2523577,,2529.96152514092,,594.3288,,13211459.084285900747304742,,,,
2017-08-07,1783,,0,,27.92846854,,,,,,205218255.948577763364408207,3049,3049,7347995.31367746,,2844.87782676701,,599.98,,8674032.493812604210091574,,,,
2017-08-08,1316,,0,,60.76089983,,,,,,205218255.948577763364408207,2125,2125,3377472.29730104,,1885.77371007918,,501.7,,4007269.133918266356732284,,,,
2017-08-09,1141,,0,,104.53220503,,,,,,205218255.948577763364408207,1976,1977,1963206.0367465,,1320.59935919682,,500,,2610824.933132115976006042,,,,
2017-08-10,1912,,0,,24.27307971,,,,,,205218255.948577763364408207,3827,3826,8454561.94409882,,2695.44620207832,,500,,10312777.169151660192381283,,,,
2017-08-11,3600,,0,,16.9032145,,,,,,205218255.948577763364408207,5717,5715,12140782.8045925,,2542.32760655998,,400,,14529402.271490300371573138,,,,
2017-08-12,5127,,0,,14.24080489,,,,,,205218255.948577763364408207,8353,8353,14410579.843293,,2056.74091262683,,363.57934585,,17179956.843171871683175294,,,,
2017-08-13,2349,,0,,34.98347478,,,,,,205218255.948577763364408207,3715,3714,5866148.43803096,,1785.67159772266,,299.6,,6631984.313941960508951715,,,,
2017-08-14,2066,,0,,41.43389594,,,,,,205218255.948577763364408207,3227,3223,4952907.54820245,,1823.05647509704,,257.9,,5875711.019237776031935304,,,,
2017-08-15,1802,,0,,54.41346247,,,,,,205218255.948577763364408207,2831,2831,3771461.08037836,,1687.54263799431,,300,,4777433.208161882544307833,,,,
2017-08-16,1697,,0,,58.77355182,,,,,,205218255.948577763364408207,2473,2472,3491676.9465651,,1654.12977338074,,292.40195913,,4089008.79979719361643045,,,,
2017-08-17,1734,,0,,87.49533668,,,,,,205218255.948577763364408207,2777,2778,2345476.4988625,,1127.39556233569,,300.07185232,,3131904.872168537125563323,,,,
2017-08-18,1766,,0,,60.45037366,,,,,,205218255.948577763364408207,2794,2793,3394821.9594048,,1431.06159919279,,300.019712,,3996955.046545469911456341,,,,
2017-08-19,1704,,0,,57.65118598,,,,,,205218255.948577763364408207,2997,2993,3559653.67344061,,1517.99285878101,,342.9,,4543352.626331557729169965,,,,
2017-08-20,1412,,0,,53.25963649,,,,,,205218255.948577763364408207,2367,2366,3853166.66533577,,1948.54277162298,,300.019712,,4610252.197659968060211772,,,,
2017-08-21,1572,,0,,101.69366393,,,,,,205218255.948577763364408207,2490,2486,2018004.34773305,,1182.47823396694,,259.825,,2939640.889641800635406303,,,,
2017-08-22,1379,,0,,85.86948434,,,,,,205218255.948577763364408207,1986,1984,2389885.73807353,,1459.76304296948,,217.263776375,,2896169.877251447488953925,,,,
2017-08-23,1483,,0,,121.1383834,,,,,,205218255.948577763364408207,2273,2273,1694081.18378333,,901.749912579711,,200,,2049677.551293683575452174,,,,
2017-08-24,1868,,0,,38.64346196,,,,,,205218255.948577763364408207,2498,2495,5310555.66878019,,2454.53606403511,,375,,6124067.479767608638137986,,,,
2017-08-25,1275,,0,,2.48776712,,,,,,205218255.948577763364408207,1768,1766,82490943.0272555,,47520.7572086388,,201.474667395,,83921657.230456085389428521,,,,
2017-08-26,1158,,0,,191.92879392,,,,,,205218255.948577763364408207,1793,1793,1069241.62734156,,812.876276744921,,225,,1457487.164203643148699802,,,,
2017-08-27,1145,,0,,138.00451222,,,,,,205218255.948577763364408207,1688,1687,1487040.18915047,,1063.47736343222,,200.019856,,1794086.312110157152449953,,,,
2017-08-28,1340,,0,,118.0613796,,,,,,205218255.948577763364408207,2226,2226,1738233.59206021,,1145.37248756423,,300,,2549599.157317976629194713,,,,
2017-08-29,2182,,0,,44.20747711,,,,,,205218255.948577763364408207,3842,3841,4642161.67381824,,1552.03038300431,,319.88031616,,5961348.701119540299693388,,,,
2017-08-30,2333,,0,,41.07008238,,,,,,205218255.948577763364408207,3582,3582,4996782.18471857,,1625.97091230388,,328.493838655,,5824227.807872492009880322,,,,
2017-08-31,1607,,0,,60.62823203,,,,,,205218255.948577763364408207,2274,2274,3384862.94356767,,1656.10095912921,,201.00914239,,3765973.581059814936284369,,,,
2017-09-01,1619,,0,,82.71034456,,,,,,205218255.948577763364408207,2341,2341,2481167.94863166,,1237.87876934157,,186.14358668,,2897874.19902862318986026,,,,
2017-09-02,1408,,0,,88.75140891,,,,,,205218255.948577763364408207,2243,2243,2312281.66941762,,1268.3966805491,,258.8503,,2845013.754471627431834236,,,,
2017-09-03,1379,,0,,68.30124466,,,,,,205218255.948577763364408207,2216,2215,3004604.92275224,,1630.90153821615,,289.676,,3612446.907148769529679934,,,,
2017-09-04,2898,,0,,27.27715651,,,,,,205218255.948577763364408207,4725,4724,7523447.53724173,,1929.83355042715,,349.99,,9116533.692217855138858555,,,,
2017-09-05,2332,,0,,60.98062585,,,,,,205218255.948577763364408207,3588,3588,3365302.55432892,,1254.39788809111,,298.5018,,4500779.622470887901319143,,,,
2017-09-06,3177,,0,,29.47896013,,,,,,205218255.948577763364408207,4373,4373,6961516.11287869,,1848.35495303446,,312.205565,,8082856.209619673366136523,,,,
2017-09-07,2394,,0,,57.8017382,,,,,,205218255.948577763364408207,3244,3244,3550382.08769932,,1238.07426893219,,199.9941,,4016312.928416030756429553,,,,
2017-09-08,5064,,0,,52.30920821,,,,,,205218255.948577763364408207,6920,6920,3923176.49135098,,721.58817641408,,187.677135,,4993390.180785433240534171,,,,
2017-09-09,2657,,0,,79.97072576,,,,,,205218255.948577763364408207,3750,3750,2566167.23184506,,926.266349113721,,184.701293895,,3473498.80917645517685471,,,,
2017-09-10,3406,,0,,64.45951653,,,,,,205218255.948577763364408207,4431,4430,3183676.62343878,,880.931067996764,,349.2,,3902524.63122566421220388,,,,
2017-09-11,1757,,0,,180.95578511,,,,,,205218255.948577763364408207,2422,2422,1134079.55332001,,641.458159886405,,159.835,,1553611.663244873985583681,,,,
2017-09-12,1806,,0,,162.49763478,,,,,,205218255.948577763364408207,2414,2414,1262899.95684491,,717.394296668767,,139.45,,1731789.832158402343435056,,,,
2017-09-13,1482,,0,,73.63750776,,,,,,205218255.948577763364408207,1910,1910,2786871.28608428,,2081.81091369707,,129.8947675,,3976258.845161401278859942,,,,
2017-09-14,1820,,0,,106.25181891,,,,,,205218255.948577763364408207,2435,2435,1931432.87380476,,1025.96377283718,,188.2551352,,2498221.78685852201857466,,,,
2017-09-15,2633,,0,,76.20314589,36.28421151587501,,,,,205218255.948577763364408207,3612,3612,2693041.78408463,,993.322573522202,,200,,3587881.135562192514921407,,,,
2017-09-16,1902,,0,,177.4289249,36.20195264281255,,,,,205218255.948577763364408207,2428,2429,1156622.32674453,,631.224725338172,,176.9078,,1533244.857846420060793125,,,,
2017-09-17,1137,,0,,219.44511674,36.1357157080785,,,,,205218255.948577763364408207,1492,1492,935168.934245831,,739.809933413195,,166.41475214,,1103796.420652486700583958,,,,
2017-09-18,1747,,0,,180.54710644,36.055533954446595,,,,,205218255.948577763364408207,2323,2320,1136646.60705162,,634.356652463803,,124.469340415,,1471707.433716021829657971,,,,
2017-09-19,1661,,0,,94.69947637,35.9036470223459,,,,,205218255.948577763364408207,1999,1997,2167047.42016263,,1360.97304026525,,148.71753686,,2717863.161409709185874855,,,,
2017-09-20,1106,,0,,183.1571662,35.825616267089096,,,,,205218255.948577763364408207,1311,1310,1120448.95763612,,1199.91123119884,,135.22895113,,1571883.712870475034900617,,,,
2017-09-21,1228,,0,,241.38997074,35.76663555281041,,,,,205218255.948577763364408207,1476,1478,850152.370935908,,734.102881032187,,146.42699487,,1085004.058165572164154162,,,,
2017-09-22,1611,,0,,157.46790353,35.676597320291926,,,,,205218255.948577763364408207,2068,2085,1303238.63685987,,940.494036118383,,152.03231621,,1960930.0653068287654677,,,,
2017-09-23,1032,,0,,345.09567953,35.63566312664281,,,,,205218255.948577763364408207,1213,1219,594670.603313997,,637.446478584268,,116.46891491,,777047.2573942231641688,,,,
2017-09-24,828,,0,,374.48395984,35.59802439229947,,,,,205218255.948577763364408207,1019,1019,548002.793062579,,678.216265006263,,119.99,,691102.374041382096562662,,,,
2017-09-25,988,,0,,314.50157189,35.5533106916958,,,,,205218255.948577763364408207,1192,1214,652519.015141052,,784.085140746446,,119.483885835,,951879.360866185670287053,,,,
2017-09-26,1109,,0,,200.54717484,35.48341564348896,,,,,205218255.948577763364408207,1425,1433,1023291.68243898,,847.668544581928,,110.60093579,,1214709.024385903557869054,,,,
2017-09-27,1325,,0,,232.48815928,35.42334370825164,,,,,205218255.948577763364408207,1633,1641,882704.119582224,,714.684563999356,,106.7840871,,1172797.369522942988562927,,,,
2017-09-28,1315,,0,,254.43060349,35.36863002729015,,,,,205218255.948577763364408207,1610,1612,806578.505633172,,734.527880937693,,111.2001921,,1184058.944071561024454358,,,,
2017-09-29,907,,0,,364.92375896,35.33058267944601,,,,,205218255.948577763364408207,1044,1049,562359.262475124,,683.624174816672,,120,,717121.759382689290481105,,,,
2017-09-30,737,,0,,518.69292269,35.30386367909271,,,,,205218255.948577763364408207,897,897,395644.98949351,,647.208108350283,,88.50903943,,580545.673190203811209562,,,,
2017-10-01,776,,0,,511.90219589,35.27683142224648,,,,,205218255.948577763364408207,916,921,400893.486283893,,617.69697070827,,113.63600675,,568898.910022316255329585,,,,
2017-10-02,899,,0,,230.26495738,35.21688405185624,,,,,205218255.948577763364408207,1089,1089,891226.603838705,,1003.05253655761,,120.450626220725,,1092324.21231123743141784,,,,
2017-10-03,854,502903225.7175725707506996343,0,0,323.53501759,35.17434252106442,0.00056895747033314,2.4505774273980125,,,205218255.948577763364408207,981,979,634299.982359562,1554401.218969300156535859171,757.548103273355,1856.430282049862188011671207,112.09726691,274.703031962656154016016375,741639.593104614170903364,1817445.246126814165310654264,,,
2017-10-04,822,502903225.7175725707506996343,0,0,336.67949691,35.1335586025766,0.0005814361939995806,2.4505774273980125,,,205218255.948577763364408207,955,956,609535.946890159,1493715.032636697419902512409,808.334775171477,1980.886953816068935152616489,119.1286,291.9338581175268719075,772768.045063932112514344,1893727.9278481621483240839,,,
2017-10-05,796,460309334.2141745857344119938,0,0,279.5250397,46.45123380409862,0.0005193726817956513,2.2430233221040328,,,205218255.948577763364408207,915,914,734167.701637822,1646755.277109149864955631209,1027.58304262511,2304.892730006744173972229544,170.910522321863,383.3562875609205996754919091,939210.900959353088589258,2106671.955226169891555761961,,,
