date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-01-30,236,344,169423,492.50872093,,0.0000494552083333333,,0.0000374,,0.0094954,,86000,21536.730465,,86000,,1.24226178,,,,,,145751,192,522,117327.12204685,,627.06003222,,87.30224653,,327325.33681697,,,,
2016-01-31,1196,1369,1586306,1158.73338203,,0.000115838204193254,,0.00009099,,0.12707451,,342250,25598.564345,,342250,,1.3323115,,,,,,488001,1097,15820,366281.45970463,,25.55327871,,4.350694435,,404252.86920334,,,,
2016-02-01,1128,1361,2425551,1782.18295371,,0.000213985504950495,,0.00008175,,0.21612536,,340250,14994.39783,,340250,,1.40372378,,,,,,828251,1010,12679,590038.44668783,,51.51238759,,4.20276203,,653125.56223369,,,,
2016-02-02,900,1366,1936186,1417.41288433,,0.000237773489655172,,0.00008868,,0.17238578,,341500,10655.900155,,341500,,1.98691749,,,,,,1169751,725,8958,588726.51013523,,80.84120937,,4.61965685,,724175.55357985,,,,
2016-02-03,858,1354,1490463,1100.78508124,,0.000178462492492492,,0.00005805,,0.11885602,,338500,8191.77311,,338500,,2.64366478,,,,,,1508251,666,5099,570515.22268243,,155.30758936,,9.12829032,,791913.39814694,,,,
2016-02-04,986,1353,1174990,868.4331116,,0.000129887082262211,,0.0000373,,0.10105215,,338250,6686.22695,,338250,,4.10432163,,,,,,1846501,778,2610,449891.88675694,,217.21505519,,34.891232025,,566931.29403684,,,,
2016-02-05,840,1342,1282189,955.4314456,,0.000161797325769854,,0.00003776,,0.09982895,,335500,5612.293655,,335500,,4.16999368,,,,,,2181951,617,2295,523250.43319041,,342.12399296,,16.5293069,,785174.56384448,,,,
2016-02-06,985,1329,1332803,1002.86155004,,0.000143701462140992,,0.00002297,,0.11007532,,332250,4823.45091,,332250,,4.20427441,,,,,,2514201,766,1916,598010.68044274,,425.33702067,,38.76246038,,814945.73160147,,,,
2016-02-07,1113,1378,838219,608.28664731,,0.0000650793679458239,,0.00002312,,0.05766032,,344500,4398.58872,,344500,,7.55815628,,,,,,2858701,886,2021,378227.29410689,,394.35370077,,44.44589887,,796988.8292483,,,,
2016-02-08,618,1361,732754,538.39382807,,0.000121631625344353,,0.00005218,,0.04415228,,340250,3882.249135,,340250,,8.80185288,,,,,,3198951,363,926,363440.63495709,,744.87830634,,31.18866999,,689757.31167481,,,,
2016-02-09,1054,1378,1070763,777.0413643,,0.00010262,,0.00002332,,0.08476412,,344500,3548.588765,,344500,,5.6844761,,,,,,3543451,826,1820,623355.77380349,,390.87959082,,44.527476395,,711400.85529142,,,,
2016-02-10,976,1353,984305,727.49815225,,0.000122711150684932,,0.00002347,,0.08957914,,338250,3180.596495,,338250,,7.41968904,,,,,,3881701,730,1584,523162.22165498,,441.73990796,,46.66803546,,699716.01420182,,,,
2016-02-11,513,1376,777136,564.77906977,,0.000197691530612245,,0.00002347,,0.05812131,,344000,2971.341265,,344000,,9.51917305,,,,,,4225701,294,582,443914.71593013,,2175.54432748,,49.99968085,,1266166.79859348,,,,
2016-02-12,635,1364,781374,572.85483871,,0.000180678026315789,,0.00003886,,0.06865765,,341000,2725.490405,,341000,,5.45623566,,,,,,4566701,380,758,836969.16377697,,1306.19001524,,49.999594805,,990092.03155425,,,,
2016-02-13,438,1364,699307,512.68841642,,0.000355292783882784,,0.00005412,,0.09699493,,341000,2536.11636,,341000,,8.55226272,,,,,,4907701,273,546,573848.25073259,,1124.00620434,,49.998521285,,613707.38757108,,,,
2016-02-14,502,1148,589372,513.3902439,,0.000201945723076923,,0.0000386,,0.06563236,,287000,2016.574265,,287000,,9.16582159,,,,,,5194701,325,644,566746.90291472,,968.05733537,,65.838952835,,623428.92397624,,,,
2016-02-15,709,1404,1181608,841.6011396,,0.000243723167701863,,0.0000294,,0.11771829,,351000,2310.167855,,351000,,7.16638791,,,,,,5545701,483,965,773848.84360167,,1079.44740095,,49.99754358,,1041666.74191731,,,,
2016-02-16,645,1376,904363,657.24055233,,0.000245349688249401,,0.00004277,,0.10231082,,344000,2131.85696,,344000,,7.5595596,,,,,,5889701,417,864,779106.36480817,,1158.77783359,,52.784554925,,1001184.04821953,,,,
2016-02-17,476,1371,764874,557.89496718,,0.000179004153846154,,0.00004266,,0.05817635,,342750,2007.29633,,342750,,9.00620083,,,,,,6232451,325,620,692017.76870683,,1157.46919073,,43.704323255,,717630.8982512,,,,
2016-02-18,835,1370,903759,659.67810219,,0.000168756075268817,,0.0000374,,0.09416589,,342500,1901.34486,,342500,,5.54933797,,,,,,6574951,558,1120,1184817.18658081,,3765.15552241,,65.48570574,,4216974.18510186,,,,
2016-02-19,603,1366,764887,559.9465593,,0.000160483007518797,,0.00005437,,0.06403272,,341500,1802.188595,,341500,,7.56779313,,,,,,6916451,399,772,913932.35492112,,2795.60557295,,57.659847165,,2158207.50231659,,,,
2016-02-20,645,1363,835126,612.71166544,,0.00016528234375,,0.00003914,,0.06346842,,340750,1713.79764,,340750,,14.46517256,,,,,,7257201,384,767,501701.65406191,,813.70069844,,49.99996265,,624108.43570195,,,,
2016-02-21,834,1371,728440,531.32020423,,0.000145086860254083,,0.00003908,,0.07994286,,342750,1646.112405,,342750,,8.16284603,,,,,,7599951,551,1072,931041.81653684,,1400.02389833,,73.135447205,,1500825.61901511,,,,
2016-02-22,824,1370,906547,661.71313869,,0.000156134269911504,,0.0000547,,0.07057269,,342500,1573.978915,,342500,,18.47739528,,,,,,7942451,452,903,429846.89552392,,571.53305056,,73.04210902,,516094.34465603,,,,
2016-02-23,1010,1382,1395605,1009.84442836,,0.000242714787430684,,0.00005453,,0.1313087,,345500,1521.57623,,345500,,8.08216638,,,,,,8287951,541,1100,1025461.56748052,,1053.77983255,,92.566867155,,1159157.81580716,,,,
2016-02-24,989,1347,744704,552.86117298,,0.000095748438538206,,0.0000392,,0.05764056,,336750,1425.136295,,336750,,13.38119791,,,,,,8624701,602,1192,644538.781822,,656.14670659,,71.56857935,,782126.87425501,,,,
2016-02-25,781,1380,655051,474.67463768,,0.000142549621621622,,0.00007028,,0.05274336,,345000,1403.900595,,345000,,21.95451359,,,,,,8969651,370,772,408556.12513579,,788.41305858,,76.123041125,,608654.88122267,,,,
2016-02-26,722,1359,738692,543.55555556,,0.00015445059490085,,0.00005493,,0.05452106,,339750,1332.08794,,339750,,16.88581121,,,,,,9309351,353,707,551312.03849367,,794.7325005,,77.25961195,,561875.8778537,,,,
2016-02-27,735,1370,808857,590.40656934,,0.000168344176829268,,0.00008592,,0.05521689,,342500,1295.25798,,342500,,18.65440923,,,,,,9651551,328,683,517387.11641157,,844.61288406,,73.19706179,,576870.59981115,,,,
2016-02-28,684,1370,796664,581.50656934,,0.000250373835616438,,0.00010134,,0.07310916,,342500,1250.869235,,342500,,18.29797905,,,,,,9994051,292,589,546183.3229702,,958.30659777,,93.56222057,,564442.58608681,,,,
2016-02-29,654,1373,697920,508.3175528,,0.000145052797202797,,0.0000703,,0.0414851,,343250,1211.982135,,343250,,32.95958416,,,,,,10337301,286,578,313635.66212049,,615.23360788,,66.86293199,,355605.0253566,,,,
2016-03-01,1040,1365,696277,510.09304029,,0.000167613945111492,,0.00003926,,0.09771893,,341250,1166.41517,,341250,,21.34179442,,,,,,10678551,583,1230,500358.62927889,,434.62290763,,58.79197542,,534586.17638426,,,,
2016-03-02,1477,1368,1480008,1081.87719298,,0.000342503707093822,,0.00002398,,0.29934824,,342000,1132.701945,,342000,,3.5550024,,,,,,11020551,874,1791,3100012.25327726,,2378.13744071,,52.70219105,,4259244.15630919,,,,
2016-03-03,1684,1378,1633155,1185.16328012,,0.000538817987751531,,0.00002425,,0.61586896,,344500,1106.41574,,344500,,3.93455263,,,,,,11364851,1143,2281,2888473.50083364,,1513.80825449,,38.49987203,,3452996.6284881,,,,
2016-03-04,1547,1368,1633659,1194.19517544,,0.00047966009765625,,0.00002453,,0.49117194,,342000,1066.29859,,342000,,8.02572904,,,,,,11706851,1024,2035,1458665.117471,,787.49482597,,35.33523525,,1602551.97084645,,,,
2016-03-05,1524,1370,931092,679.62919708,,0.00025771159047619,,0.00002484,,0.27059717,,342500,1037.504105,,342500,,22.88282432,,,,,,12049351,1050,2118,526567.47395285,,281.06658287,,31.82059433,,595299.02251878,,,,
2016-03-06,1263,1361,852137,626.11094783,,0.000326473354755784,,0.000025,,0.25399627,,340250,1002.383075,,340250,,18.72044693,,,,,,12389601,778,1544,661821.85978494,,491.33117585,,37.087705375,,758615.33551299,,,,
2016-03-07,1232,1366,961703,704.02855051,,0.000512876680440771,,0.00003748,,0.37234847,,341500,979.090235,,341500,,7.17352092,,,,,,12730951,726,1438,1774714.41721063,,3772.46155922,,35.530765155,,5424799.72216523,,,,
2016-03-08,1043,1371,808216,589.50838804,,0.000293480205047319,,0.00004155,,0.18606645,,342750,956.911375,,342750,,21.01316424,,,,,,13073701,634,1257,622167.17344038,,690.33935686,,40.45589047,,867756.57156764,,,,
2016-03-09,1328,1369,1030354,752.63257852,,0.00031671454674221,,0.00004155,,0.22360047,,342250,931.13982,,342250,,24.61161804,,,,,,13415951,706,1568,545106.41991462,,621.92700728,,51.34027437,,975181.54740935,,,,
2016-03-10,1690,1371,987892,720.56309263,,0.000258552295597484,,0.00004165,,0.24665889,,342750,909.270115,,342750,,21.43097211,,,,,,13758701,954,2047,642000.78882969,,852.78616486,,50.00059715,,1745653.27946934,,,,
2016-03-11,1391,1374,1047672,762.49781659,,0.000385209545957918,,0.00004183,,0.34784422,,343500,889.06335,,343500,,16.07373944,,,,,,14102201,903,1807,877344.13365375,,612.05936908,,60.94094399,,1105991.27992648,,,,
2016-03-12,1761,1374,990844,721.13828239,,0.000441390464285714,,0.0000256,,0.49435732,,343500,867.92255,,343500,,17.60065108,,,,,,14445701,1120,2254,820748.10367394,,561.03522871,,44.93648172,,1264573.40550593,,,,
2016-03-13,1696,1367,943406,690.12874909,,0.000507789537366548,,0.0000423,,0.57075544,,341750,843.544565,,341750,,19.92684205,,,,,,14787451,1124,2238,742087.02833135,,382.13091982,,48.663803095,,855208.99856441,,,,
2016-03-14,2019,1371,1309420,955.08388038,,0.000542966188679245,,0.00002605,,0.7194302,,342750,826.848005,,342750,,12.73209896,,,,,,15130201,1325,2684,1188350.88016792,,462.43584673,,21.320212345,,1241177.81263007,,,,
2016-03-15,1661,1367,1192295,872.19824433,,0.000609221666666667,,0.00002628,,0.56292082,,341750,806.22514,,341750,,14.56532077,,,,,,15471951,924,1875,1062245.8131624,,870.36844132,,17.60565856,,1631940.8274818,,,,
2016-03-16,1774,1368,898866,657.06578947,,0.000306149867374005,,0.00002377,,0.3462555,,342000,789.366155,,342000,,21.23762215,,,,,,15813951,1131,2286,744619.66055303,,886.69919754,,35.57879724,,2026994.36558182,,,,
2016-03-17,2346,1375,1012972,736.70690909,,0.00024754446728972,,0.00002402,,0.26487258,,343750,776.526185,,343750,,36.50162741,,,,,,16157701,1070,2766,442657.00319869,,243.43085348,,16.636917385,,673329.74073503,,,,
2016-03-18,2365,1367,1245735,911.2911485,,0.000612463704318937,,0.00002432,,0.7374063,,341750,756.017565,,341750,,20.75891412,,,,,,16499451,1204,2707,794812.81643885,,383.19552905,,34.26664495,,1037310.29714664,,,,
2016-03-19,3161,1367,1365061,998.58156547,,0.000291231145584726,,0.00002485,,0.4881034,,341750,740.67625,,341750,,18.34427965,,,,,,16841201,1676,4115,918062.81414086,,304.28294543,,16.66644285,,1252124.32045913,,,,
