date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-06-03,3,,1000000000,,1,,,,,,1000000000,1,1,1000000000,,1000000000,,1000000000,,1000000000,,,,
2017-06-04,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-05,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-06,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-07,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-08,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-09,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-10,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-11,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-12,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-13,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-14,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-15,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-16,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-17,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-18,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-19,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-20,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-21,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-22,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-23,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-24,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-25,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-26,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-27,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-28,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-29,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-30,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-01,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-02,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-03,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-04,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-05,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-06,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-07,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-08,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-09,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-10,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-11,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-12,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-13,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-14,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-15,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-16,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-17,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-18,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-19,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-20,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-21,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-22,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-23,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-24,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-25,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-26,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-27,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-28,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-29,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-30,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-07-31,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-08-01,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-08-02,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-08-03,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-08-04,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-08-05,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-08-06,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
