date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-07-09,5,,53252246,,4.69113171,,,,,,53252246,4,3,11351684.2552405,,3783894.75174682,,3304286.467504,,11351684.25524047,,,,
2017-07-10,2685,,0,,0.69586773,,,,,,53252246,5417,5402,76526390.827329,,14493.6323165144,,500,,78294601.77381072,,,,
2017-07-11,1799,,0,,10.16600695,,,,,,53252246,3223,3223,5238265.7501141,,1868.6130585716,,181.294,,6022539.88777628,,,,
2017-07-12,1698,,0,,16.06089626,,,,,,53252246,2938,2938,3315645.97276114,,1337.05771116471,,118.375,,3928275.55540192,,,,
2017-07-13,1688,,0,,10.52407446,,,,,,53252246,2925,2925,5060040.78345455,,1870.07174788775,,105,,5469959.86257167,,,,
2017-07-14,1530,,0,,8.25650174,,,,,,53252246,2611,2610,6449734.7252232,,2732.19636135403,,200,,7131032.50313403,,,,
2017-07-15,1360,,0,,17.89765087,,,,,,53252246,2014,2014,2975376.2882749,,1717.12764672707,,223.7965,,3458295.08050832,,,,
2017-07-16,1244,,0,,11.20102954,,,,,,53252246,1805,1805,4754227.7968031,,2969.69909521059,,221.594,,5360306.86685512,,,,
2017-07-17,1402,,0,,33.93141779,,,,,,53252246,1969,1968,1569408.21990067,,1020.90958759989,,150,,2009150.06839658,,,,
2017-07-18,1053,,0,,31.93148725,,,,,,53252246,1545,1545,1667703.2794825,,1366.01755548606,,192.21175985,,2110497.12322596,,,,
2017-07-19,721,,0,,60.660676,,,,,,53252246,1008,1007,877870.96204167,,1121.23985149992,,150,,1129088.53046042,,,,
2017-07-20,530,,0,,65.15442841,,,,,,53252246,665,664,817323.50817486,,1293.68042891587,,167.5,,859003.80480014,,,,
2017-07-21,447,,0,,48.18864113,,,,,,53252246,586,586,1105078.80605344,,2190.35552338887,,223,,1283548.33670588,,,,
2017-07-22,504,,0,,88.27326807,,,,,,53252246,631,630,603265.82624623,,1188.65562726924,,182.084,,748853.04517962,,,,
2017-07-23,546,,0,,96.85286697,,,,,,53252246,751,751,549826.22268299,,873.003142661172,,160,,655625.36013854,,,,
2017-07-24,665,,0,,53.84053885,,,,,,53252246,883,883,989073.42194207,,1475.16534510371,,209,,1302570.99972658,,,,
2017-07-25,495,,0,,95.20081671,,,,,,53252246,637,636,559367.53316198,,1062.38689976256,,200,,675678.06824899,,,,
2017-07-26,523,,0,,80.25978176,,,,,,53252246,645,645,663498.51481021,,1218.05381790488,,150,,785644.71254865,,,,
2017-07-27,574,,0,,54.79934408,,,,,,53252246,754,754,971767.94529863,,1452.08352431292,,200.00064806,,1094870.97733194,,,,
2017-07-28,653,,0,,62.21793079,,,,,,53252246,936,936,855898.69874562,,1136.64130659629,,216.81244186,,1063896.26297413,,,,
2017-07-29,791,,0,,62.68375492,,,,,,53252246,1095,1093,849538.22674347,,959.397467140092,,140,,1048621.43158412,,,,
2017-07-30,543,,0,,118.620823,,,,,,53252246,690,690,448928.31337066,,863.734668513522,,128.227290835,,595976.92127433,,,,
2017-07-31,661,,0,,70.41254028,,,,,,53252246,936,936,756289.23184528,,971.413397146453,,157,,909242.93972908,,,,
2017-08-01,609,,0,,33.67123999,,,,,,53252246,765,765,1581535.04364927,,2144.67363565773,,124.56096437,,1640675.33127816,,,,
2017-08-02,571,,0,,120.45184522,,,,,,53252246,726,726,442104.02840617,,836.838434688802,,94.790338385,,607544.70358407,,,,
2017-08-03,479,,0,,216.67148212,,,,,,53252246,624,624,245774.1345534,,495.589081018702,,100,,309247.58655567,,,,
2017-08-04,647,,0,,86.290017,,,,,,53252246,946,945,617131.01761976,,773.95866685255,,100,,731390.94017566,,,,
2017-08-05,632,,0,,110.32093324,,,,,,53252246,782,781,482703.0050907,,719.73758657146,,100.162,,562115.05511231,,,,
2017-08-06,527,,0,,96.98198013,,,,,,53252246,675,675,549094.23305206,,928.287323892963,,100,,626593.94362775,,,,
2017-08-07,863,,0,,47.82237817,,,,,,53252246,1192,1192,1113542.40489097,,1029.71721438078,,114.8725,,1227422.91954189,,,,
2017-08-08,1017,,0,,59.0633687,,,,,,53252246,1528,1528,901612.06809849,,697.083495282729,,101.37734809,,1065143.58079201,,,,
2017-08-09,738,,0,,95.50211325,,,,,,53252246,1002,1002,557602.80257424,,631.369401201038,,64.36275451,,632632.14000344,,,,
2017-08-10,633,,0,,111.18637993,,,,,,53252246,837,835,478945.76684653,,671.918985815593,,100,,561052.35315602,,,,
2017-08-11,671,,0,,126.13358353,,,,,,53252246,849,846,422189.27355162,,629.556726519823,,87.645,,532604.99063577,,,,
2017-08-12,639,,0,,84.05586187,,,,,,53252246,832,832,633533.99531492,,949.037594114207,,93.73525466,,789599.27830302,,,,
2017-08-13,504,,0,,156.63879839,,,,,,53252246,630,630,339968.42766913,,641.299561080317,,86.871,,404018.7234806,,,,
2017-08-14,587,,0,,80.79277229,,,,,,53252246,722,722,659121.41014401,,1046.28687699222,,95.16279866,,755419.12518838,,,,
2017-08-15,495,,0,,167.82758962,,,,,,53252246,612,612,317303.28797888,,743.438938124493,,61.406,,454984.63013219,,,,
2017-08-16,467,,0,,85.95289607,,,,,,53252246,569,569,619551.50363921,,1204.92658739924,,102,,685603.22823017,,,,
2017-08-17,664,,0,,164.96243817,,,,,,53252246,799,798,322814.37272584,,513.61133951609,,100,,409861.84893384,,,,
2017-08-18,554,,0,,143.65462348,,,,,,53252246,661,661,370696.35985445,,601.659594897852,,112.435,,397696.99222748,,,,
2017-08-19,519,,0,,161.39941329,,,,,,53252246,626,626,329940.76566478,,664.936191821374,,100,,416250.05608018,,,,
2017-08-20,383,,0,,129.07683921,,,,,,53252246,468,468,412562.36461872,,949.539453029252,,100,,444384.46401769,,,,
2017-08-21,529,,0,,141.01296417,,,,,,53252246,672,672,377640.78157767,,787.944881929122,,105,,529498.96065637,,,,
2017-08-22,436,,0,,209.81511488,,,,,,53252246,505,505,253805.57559182,,700.009657627881,,102,,353504.87710208,,,,
2017-08-23,514,,0,,80.87396598,,,,,,53252246,607,607,658459.6829547,,1188.43464232695,,100,,721379.82789246,,,,
2017-08-24,700,,0,,104.20022383,,,,,,53252246,915,915,511056.92524566,,642.024229843224,,120.86374632,,587452.17030655,,,,
2017-08-25,419,,0,,263.64863886,,,,,,53252246,524,524,201981.87341742,,462.658896237691,,99.82,,242433.26162855,,,,
2017-08-26,416,,0,,132.4794588,,,,,,53252246,509,509,401966.05936293,,870.889270317701,,100,,443282.63859171,,,,
2017-08-27,452,,0,,186.97838568,,,,,,53252246,503,503,284804.28797748,,649.753746844016,,91.45959452,,326826.13466254,,,,
2017-08-28,422,,0,,197.31427096,,,,,,53252246,469,469,269885.42562796,,718.995683938849,,71.434,,337208.97576732,,,,
2017-08-29,370,,0,,171.56080354,,,,,,53252246,424,422,310398.67441356,,807.831495622393,,131.765,,340904.89115265,,,,
2017-08-30,515,,0,,118.69611084,,,,,,53252246,605,604,448643.56229821,,825.405041588609,,119.2385,,498544.64511952,,,,
2017-08-31,375,,0,,299.71530553,,,,,,53252246,414,414,177676.09800796,,593.02274802343,,100,,245511.4176817,,,,
2017-09-01,795,,0,,33.14049559,,,,,,53252246,1060,1059,1606863.29692905,,1675.68733767758,,149,,1774552.89060056,,,,
2017-09-02,662,,0,,114.27181324,,,,,,53252246,853,858,466013.83571515,,691.738814775245,,94.39995742,,593511.90307716,,,,
2017-09-03,459,,0,,136.06328105,,,,,,53252246,579,579,391378.52320837,,772.719179360587,,100.20859032,,447404.40484978,,,,
2017-09-04,484,,0,,157.01645078,,,,,,53252246,568,568,339150.74334727,,780.64285599632,,100.760720625,,443405.14220591,,,,
2017-09-05,437,,0,,230.09504826,,,,,,53252246,495,495,231435.86271675,,536.599880513172,,88,,265616.94085402,,,,
2017-09-06,371,,0,,166.8792026,,,,,,53252246,412,412,319106.54635546,,823.300412160267,,153.7855,,339199.76981003,,,,
2017-09-07,450,,0,,123.7495792,,,,,,53252246,528,528,430322.64306756,,877.731657115663,,100,,463442.31495707,,,,
2017-09-08,567,,0,,103.42982252,,,,,,53252246,665,666,514863.55389268,,833.872983933694,,140,,555359.40729984,,,,
2017-09-09,462,,0,,172.30691522,,,,,,53252246,535,536,309054.60718768,,686.926114953731,,110,,368192.3976152,,,,
2017-09-10,368,,0,,187.19153615,,,,,,53252246,463,463,284479.98822219,,730.263437646544,,100,,338111.97163035,,,,
2017-09-11,483,,0,,161.82741761,,,,,,53252246,592,592,329068.13187782,,722.79490000152,,126.5,,427894.5808009,,,,
2017-09-12,459,,0,,109.34277945,,,,,,53252246,589,589,487021.14825113,,992.8259933309,,120,,584774.5100719,,,,
2017-09-13,384,,0,,196.42204313,,,,,,53252246,463,464,271111.35364668,,722.723721310625,,134.7785,,335343.80668813,,,,
2017-09-14,368,,0,,267.89731872,,,,,,53252246,480,480,198778.57029345,,533.347289390937,,111.578,,256006.69890765,,,,
2017-09-15,385,,0,,178.06890831,,,,,,53252246,459,459,299054.14991274,,710.832955508758,,100,,326272.32657852,,,,
2017-09-16,422,,0,,141.51770688,,,,,,53252246,490,490,376293.87284681,,846.851787328694,,115.308,,414957.37579106,,,,
2017-09-17,305,,0,,159.16048139,,,,,,53252246,341,341,334582.08679693,,1206.10931558287,,100,,411283.27661376,,,,
2017-09-18,306,,0,,278.01581905,,,,,,53252246,384,384,191543.94229389,,590.062982775859,,122.87895031,,226584.18538593,,,,
2017-09-19,310,,0,,322.53959344,,,,,,53252246,362,362,165102.97366059,,589.936961320193,,117.5,,213557.17999791,,,,
2017-09-20,212,163863763.4175187077906,0,0,332.62093046,,0.00078993313157918,3.0771239849211,,,53252246,231,230,160098.90275669,492644.173632161614782147159,750.385089256,2309.0279560767980216177016,130.23984402,400.764147826324896006822,172588.57052888,531076.429897663544972071368,,,
2017-09-21,273,123258838.13971306446192,0,0,254.12008471,,0.000641124783596292,2.31462233798952,,,53252246,335,335,209555.43934961,485041.7009658153565837960872,698.935699282149,1617.772182376787793915885078,180,416.6320208381136,234143.45925952,541953.6810962241077047202304,,,
2017-09-22,267,127218333.52657460305138,0,0,161.9362377,,0.000661615000890393,2.38897592275403,,,53252246,312,312,328847.00025176,785607.5658713430817225545928,1212.17303750859,2895.852200819639213642582118,157.313,375.81696933620472139,378197.98770268,903505.8866557272435384118004,,,
2017-09-23,240,145157581.56716696129714,0,0,205.61174865,,0.00072233240309408,2.72584900113259,,,53252246,255,255,258994.17883746,705979.0236832457205495188214,1197.16886867326,3263.301564860038586710647543,120,327.1018801359108,305278.06151168,832141.8990393062960075136512,,,
2017-09-24,191,124071586.58230001993052,0,0,236.69693484,,0.000634704177669775,2.32988457580362,,,53252246,208,208,224980.71652439,524179.1012834228756975802918,1435.95018129567,3345.598179023193331983076325,200,465.976915160724,298677.6377095,695884.42123682570417860839,,,
2017-09-25,239,133613700.49933138047678,0,0,275.83586786,,0.000639386757170523,2.50907164552893,,,53252246,303,303,193057.72817905,484395.6717242858622029949165,704.176034343201,1766.828121231531657480794305,200,501.814329105786,213365.33840599,535348.9207331543355966302907,,,
2017-09-26,248,142867439.16535944155658,0,0,182.28489942,,0.000689826118986982,2.68284344599023,,,53252246,279,279,292137.45169645,783759.0476121082810636256835,1173.2336955252,3147.602330654679854633918796,118,316.57552662684714,327332.20105153,878181.0502526535331681065519,,,
2017-09-27,300,138495178.14522778026754,0,0,123.92864777,,0.000617989128699058,2.60073872086499,,,53252246,351,351,429700.8557507,1117539.653939667100319797993,1467.13906416952,3815.645373079295926930393105,197.992,514.92546082150110008,514965.8115235,1339291.525950828917229712265,,,
2017-09-28,306,153081723.67863706791838,0,0,157.35731585,,0.000686025144737477,2.87465290531853,,,53252246,356,356,338416.08007634,972828.7677979590767544165802,1045.25530576475,3004.746201516247006643995818,135.50695,389.5354475083527787835,372110.88885225,1069689.647739781059712357192,,,
2017-09-29,267,130509628.4089634845346,0,0,122.88785301,,0.000589011248220657,2.4507816704851,,,53252246,277,277,433340.19348212,1062022.203270446496598576412,1626.51461666668,3986.232209302798084300606468,199.75065176,489.545236000860280368776,450544.54881667,1104186.321976874187069866617,,,
2017-09-30,231,131373016.34192874641856,0,0,296.15046956,,0.000566660824959707,2.46699484453536,,,53252246,259,259,179814.82885496,443602.2557561944106020313856,753.402809588456,1858.640847113176442062139804,156.93380366,387.1548845625444101674176,195131.32768341,481387.9794023124419266303776,,,
2017-10-01,281,132012077.50172737590704,0,0,57.31725495,,0.000564063481550012,2.47899548690824,,,53252246,323,323,929078.79210179,2303182.13260249638465846975,3044.45732375164,7547.195965665054064821229514,300,743.698646072472,983359.71557178,2437744.296909813157055993467,,,
2017-10-02,265,124429530.57492504600008,0,0,294.91063076,,0.000531875401751066,2.33660624520748,,,53252246,279,279,180570.79143779,421922.8389755974708060626692,767.471529044875,1793.278767785188803090605665,209.86,490.3601866192417528,214124.55660352,500324.7762120673839864983296,,,
2017-10-03,215,138152319.7638190960468,0,0,372.80114234,,0.000602326023546619,2.5943003373758,,,53252246,237,237,142843.5698073,370579.12134304202859368334,736.019223591899,1909.454920079537950395798644,150,389.14505060637,174436.55599128,452540.816058850330802883024,,,
2017-10-04,321,161604528.26599395223256,0,0,174.0391958,,0.000720027742823685,3.03469882314436,,,53252246,372,372,305978.4651096,928552.487975620737224021856,953.220268423952,2892.736426783518077358177711,190.460949975,577.991620744089322163391,354597.93985371,1076097.950763468287780611576,,,
2017-10-05,351,155207526.18923561930306,0,0,214.4933158,,0.000674870058823664,2.91457239548611,,,53252246,392,392,248269.95564686,723600.7593568990325691951146,810.807832307832,2363.158126088338084860800214,200,582.914479097222,317836.67026467,926357.9854266281095670087337,,,
2017-10-06,301,144161587.25852937984906,0,0,195.57937854,,0.000619658475849016,2.70714567153711,,,53252246,355,355,272279.45194195,737100.1397731465022309907645,845.522201570085,2288.951768168983440537343354,217.687,589.31041979989886457,300160.38155738,812577.8776999886476402643718,,,
2017-10-07,327,141320348.81937074673242,0,0,228.28947635,,0.000596563842192928,2.65379133153127,,,53252246,390,390,233266.31981112,619040.1374529512111267737224,709.825645165051,1883.729144037603478479717645,117.8485,312.745327733962872595,276832.00161437,734654.3661746656485241363499,,,
2017-10-08,363,138336950.27267479211596,0,0,309.92027968,69.00893555259609,0.000563760673816566,2.59776743074226,,,53252246,396,396,171825.62578489,446363.0144308947171277924514,494.961930051742,1285.795981345744024563266017,129.1265,335.44061614574043589,196004.92430049,509175.2086129150701519817074,,,
2017-10-09,305,138802291.05726647409996,0,0,158.36070375,74.24967039093333,0.000544667018077674,2.60650585624626,,,53252246,358,358,336271.84484446,876494.5328778187036691567196,1067.73916824994,2783.068394986979329221870224,130,338.8457613120138,382250.62223348,996338.4854053424574900967848,,,
2017-10-10,323,178307627.78967518687602,0,0,215.2981824,77.95526539512511,0.000704065153132635,3.34835882395787,,,53252246,337,336,247341.82799812,828189.1923113748461973192044,904.757692398333,3029.453402885718581859650231,206.033,689.87241357651182971,303998.58464584,1017896.343369601818521030761,,,
2017-10-11,239,154824909.49650288016292,0,0,222.51297991,84.5878831960105,0.000603487882809586,2.90738740853302,,,53252246,274,273,239321.97583465,695801.699126905099646585143,942.11206713674,2739.084761420373064195145155,170,494.2558594506134,257196.59432833,747770.1398677617883775264566,,,
2017-10-12,261,159017712.6269728269287,0,0,177.17292115,94.88569191707165,0.000552737927326312,2.98612217458345,,,53252246,293,293,300566.50675023,897528.3107439480109634416935,1405.75741726922,4197.763395792777534790006409,142.857,426.58845549446791665,411886.92325988,1229944.674967279457955096986,,,
2017-10-13,198,170219872.57776485346978,0,0,491.3952524,100.5955844296172,0.000568324000200852,3.19648250287443,,,53252246,214,214,108369.47597718,346401.1338067267421830855074,590.015015208785,1885.972672548071958929087868,186.703,596.79287273416470429,126263.21325468,403598.1519252874311756498324,,,
2017-10-14,269,182794046.5167933052633,0,0,381.71197357,111.38424387635773,0.00059126822544409,3.43260726536855,,,53252246,289,289,139508.97453517,478879.5195735405725749869035,542.825672629792,1863.307347697594076286589842,139.03573222,477.255064564208197409681,156876.61939001,538495.8234846050724988381855,,,
2017-10-15,221,173711932.3359584274278,0,0,491.56258048,115.2993438431674,0.000572609607013397,3.2620583239993,,,53252246,263,263,108332.58696766,353387.217078233388990962638,538.682601881065,1757.214065459729063413743254,129.45,422.273450041709385,141673.52429472,462147.299215908433782273696,,,
2017-10-16,305,173129737.380300614535,0,0,294.83324576,119.57724514910014,0.000563907821981511,3.2511255465225,,,53252246,345,345,180618.18592537,587212.398428521058648025825,661.320845497681,2150.037095245369924631364322,150,487.668831978375,228155.6916967,741762.79785965280280972575,,,
2017-10-17,232,163127375.50865054101186,0,0,224.77696645,121.52058395308117,0.00054794176235267,3.06329568725891,,,53252246,294,294,236911.48982973,725729.9450574950272063253943,875.759607901463,2682.710629960105648971848785,155.82637935,477.3422758240258713275085,257473.32472303,788716.9252082706870756496973,,,
2017-10-18,256,158750560.1886633684303,0,0,232.30854272,123.36004161679486,0.000534444695001108,2.98110543898305,,,53252246,270,270,229230.68337209,683360.8369823388997143530745,967.079598684889,2882.966251569067845813562131,132.2185,394.157289484180396425,261111.49164492,778400.887923648228936498606,,,
2017-10-19,265,165681108.62439900187198,0,0,526.58431869,126.63232745005571,0.000545323724739953,3.11125109398013,,,53252246,274,275,101127.6715042,314633.578599105468762011546,450.611783549818,1401.966404529708799861757116,110,342.2376203378143,123918.2404762,385540.761245670075524537906,,0.106802027623517,
2017-10-20,247,155327841.41075283654674,0,0,370.88372435,128.18927875222576,0.000486280020424033,2.91683174097019,,-5.2091577959287285,53252246,286,286,143582.05147128,418804.6851650450729441211432,621.010152717098,1811.382124909976527155121309,174.215,508.15584175312165085,177608.90367709,518055.2877242532050950759471,,0.0927032156468327,
2017-10-21,230,148439893.27871475408326,0,0,799.06505411,129.8676339055884,0.000463339037804903,2.78748605793481,,20.42941140696065,53252246,263,263,66643.19222331,185766.9691787461779109424211,353.68082760057,985.8803758954340147017788417,119.072,331.91153989041369632,93018.05765895,259286.5388604993967403130495,,0.0931031990318437,
2017-10-22,277,150706345.46672357219248,0,0,118.49361627,131.7949008671848,0.000472696725579703,2.83004674519688,,18.46275712709487,53252246,287,287,449410.25244475,1271852.02218937292034007238,1744.85727135777,4938.027641639166218543567758,101.03960721,285.9468115206317093175048,500774.03687968,1417213.933150440733022471398,,0.0899027177827547,
2017-10-23,236,161827016.8080430829653,0,0,421.20449453,133.38288083743907,0.000515068731405275,3.03887683550555,,11.483682120429156,53252246,251,251,126428.48471949,384200.5935621255544640881695,556.700541077769,1691.744378594638106122981118,89.2,271.06781372709506,139731.83581052,424627.839027254106898208386,,0.0854309581886348,
2017-10-24,344,191188104.97763711298806,0,0,347.97280798,135.30507786078456,0.000651564397529913,3.59023551753361,,54.09499486880252,53252246,412,412,153035.65330243,549434.0379353438833650196723,448.384299861626,1609.80523886765019681980425,101.8,365.485975684921498,184734.33154299,663239.7584134721970304848939,,0.0895768377349399,
2017-10-25,296,218427014.83095421577926,0,0,384.95738903,138.56539797567305,0.000716907789690219,4.10174276651081,,63.47651027900935,53252246,351,351,138332.83245888,567405.6949091628266104004928,465.885397622763,1910.942059722180652142141568,105.65050541,433.3511963436786987284821,163525.77456559,670740.6629624861759277890279,,0.0918346512052343,
2017-10-26,287,189101198.90568132080706,0,0,374.94945342,141.48556565937469,0.000601951807432198,3.55104644611011,,32.36129940483458,53252246,356,356,142025.13302595,504337.8438901153606711873545,527.419242271798,1872.890225879355386696455678,100,355.104644611011,187761.25024876,666748.9204130502051718509636,,0.0961452985870326,
