date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-10-10,6,,1000000000,,333333333.33333333,,,,,,1000000000,5,5,3,,0.8,,1,,4,,,,
2017-10-11,2,,0,,1000000000,,,,,,1000000000,1,1,1,,1,,1,,1,,,,
2017-10-12,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-13,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-14,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-15,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-16,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-17,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-18,2,,0,,16.25000041,,,,,,1000000000,1,1,61538460,,61538460,,61538460,,61538460,,,,
2017-10-19,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-20,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-21,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-22,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-23,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-24,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-25,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-26,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-27,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-28,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-29,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-30,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-31,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-01,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-02,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-03,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-04,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-05,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-06,2,228764141.30648415,0,0,80,,0.00003280693980436714,0.22876414130648415,,,1000000000,2,2,12500000,2859551.766331051875,6250000,1429775.8831655259375,6250000,1429775.8831655259375,12500000,2859551.766331051875,,,
2017-11-07,0,233364958.27001752,0,0,,,0.000032831784193918275,0.23336495827001752,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-11-08,0,235653775.84355937,0,0,,,0.00003164720872801449,0.23565377584355937,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-11-09,0,235653775.84355937,0,0,,,0.00003322723621043207,0.23565377584355937,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-11-10,0,235653775.84355937,0,0,,,0.0000357905188276048,0.23565377584355937,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-11-11,0,235653775.84355937,0,0,,,0.00003729205391374742,0.23565377584355937,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-11-12,0,235653775.84355937,0,0,,,0.00004075442383831976,0.23565377584355937,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-11-13,0,248385155.29941055,0,0,,,0.0000383135825373962,0.24838515529941055,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-11-14,0,248385155.29941055,0,0,,,0.00003777354017495618,0.24838515529941055,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-11-15,0,248385155.29941055,0,0,,,0.00003430513746550238,0.24838515529941055,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-11-16,0,248385155.29941055,0,0,,,0.00003163945031057885,0.24838515529941055,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-11-17,0,248385155.29941055,0,0,,,0.00003219287010972446,0.24838515529941055,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-11-18,0,248385155.29941055,0,0,,,0.000031864257380356453,0.24838515529941055,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-11-19,0,248385155.29941055,0,0,,,0.000030931638988603016,0.24838515529941055,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-11-20,0,248385155.29941055,0,0,,,0.000030003713361657818,0.24838515529941055,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-11-21,240,519805449.4528955,0,0,67.58323044,,0.00006430085651314661,0.5198054494528955,,,1000000000,262,262,14796570,7691337.719211229968435,56500.0763358779,29369.04757389391694085268946,6600,3430.7159663891103,14803020,7694690.46436020114441,,,
2017-11-22,206,470166453.5325776,0,0,29.67403962,,0.00005704000000000001,0.4701664535325776,,,1000000000,224,224,33699489.955,15844369.677999073096458008,150497.258727679,70758.76240236759721235333539,2500,1175.416133831444,33711385.955,15849962.778130296639587608,,,
2017-11-23,758,461324679.60771484,0,0,29.76530059,,0.00005730000000000001,0.46132467960771484,,,1000000000,809,809,33596166.686861,15498740.83286353340533806272,41537.7214917936,19162.37605883617342460430894,5000,2306.6233980385742,33604016.686861,15502362.23159845396683206272,,,
2017-11-24,743,617772315.2396519,0,0,16.02389433,,0.00007519369038361937,0.6177723152396519,,,1000000000,785,784,62406801.957412,38553194.53193285131079750488,79839.1834405765,49322.43720092822134558019532,3380,2088.070425510023422,62593919.817412,38668790.76552774036147043888,,,
2017-11-25,624,725711782.6341231,0,0,85.49981386,,0.00008298498285691818,0.7257117826341231,,,1000000000,611,611,11695931.896104,8487875.585888933288674346402,19377.2637903502,14062.30864786668863031101891,4860.8,3527.53983302794556448,11839508.175904,8592070.583846566927907589782,,,
2017-11-26,559,768757093.2851855,0,0,142.53259981,,0.00008265739638058544,0.7687570932851855,,,1000000000,573,573,7015938.81911,5393552.733245700467327294905,12421.9039076963,9549.426741148494791724223164,3327.5,2558.03922790645475125,7117750.93911,5471821.522678102967675554905,,,
2017-11-27,1193,1130499606.07511,0,0,21.50676354,,0.00011628591501917645,1.13049960607511,,,1000000000,1425,1425,46497000.727314,52564841.00590258016291255454,32862.3384869572,37150.86071421204098261855529,3600,4069.798581870396,46828832.343914,52939976.51775214709523538054,,,
2017-11-28,1030,1358458017.8240364,0,0,47.92347479,,0.00013735181314137546,1.3584580178240364,,,1000000000,1224,1224,20866600.436125,28346400.66718454096774787495,17321.2264451593,23530.158942972383010561967,3061.5,4158.9192215682874386,21201181.168875,28800914.54619821962702254705,,,
