date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-07-06,6,,100000000,,0.70921935,,,,,,100000000,6,6,141000102,,23500017,,6000049.5,,141000102,,,,
2017-07-07,0,,0,,,,,,,,100000000,0,0,0,,,,,,0,,,,
2017-07-08,0,,0,,,,,,,,100000000,0,0,0,,,,,,0,,,,
2017-07-09,5,,0,,6250000,,,,,,100000000,4,4,16,,4,,2.5,,16,,,,
2017-07-10,11,,0,,1.98385411,,,,,,100000000,14,14,50406932.511648,,3600495.17940343,,30,,50406932.511648000000000001,,,,
2017-07-11,30,,0,,19.09235231,,,,,,100000000,33,33,5237699.2827,,158718.160081818,,500,,5237699.2827000000002,,,,
2017-07-12,81,,0,,105.38798861,,,,,,100000000,123,123,948874.73724512,,7801.47476459447,,518.95,,959581.396045120001466004,,,,
2017-07-13,125,,0,,80.99643877,,,,,,100000000,243,243,1234622.18233418,,5159.13566968798,,419.737,,1253669.9677341800003,,,,
2017-07-14,297,,0,,84.17493705,,,,,,100000000,439,438,1188002.07648516,,2853.78457873324,,574.9,,1249957.645485160002,,,,
2017-07-15,60,,0,,928.16289091,,,,,,100000000,68,68,107739.70924688,,1591.21123892471,,401.2925,,108202.36424688,,,,
2017-07-16,118,,0,,31.68670403,,,,,,100000000,174,174,3155897.81416696,,18188.8085842929,,500,,3164852.69366696000005,,,,
2017-07-17,221,,0,,29.60179566,,,,,,100000000,337,337,3378173.44455245,,10103.2398277521,,704.747,,3404791.821952449998,,,,
2017-07-18,198,,0,,50.21046915,,,,,,100000000,291,291,1991616.52319186,,6926.02759722289,,537.9,,2015474.03079186,,,,
2017-07-19,328,,0,,57.63167218,,,,,,100000000,432,432,1735157.01045059,,4083.84589633007,,456.540801,,1764221.42721459000276,,,,
2017-07-20,546,,0,,14.20375163,,,,,,100000000,1143,1143,7040393.45502351,,6320.42442409662,,223.9595,,7224245.116742440004469,,,,
2017-07-21,771,,0,,16.24681404,,,,,,100000000,2101,2101,6155052.90709444,,3153.09290249248,,228.9,,6624648.1881366998972,,,,
2017-07-22,285,,0,,21.27497904,,,,,,100000000,593,593,4700357.15714449,,8037.30077009592,,214.0565,,4766119.35666688,,,,
2017-07-23,320,,0,,22.78065722,,,,,,100000000,615,615,4389688.9822779,,7319.94216925215,,219.99,,4501764.43409007,,,,
2017-07-24,566,,0,,24.63155142,,,,,,100000000,999,999,4059833.59613656,,4243.60742682395,,199.4,,4239363.81939713,,,,
2017-07-25,1125,,0,,11.0051288,,,,,,100000000,1838,1838,9086672.38847026,,5135.4549328644,,148.861067755,,9438966.1666047750004,,,,
2017-07-26,521,,0,,85.14841702,,,,,,100000000,844,844,1174419.9540129,,2026.56905301412,,169.620346355,,1710424.28074392,,,,
2017-07-27,352,,0,,63.30970865,,,,,,100000000,545,545,1579536.56916722,,3229.46688483695,,163.182,,1760059.45223613999999,,,,
2017-07-28,276,563299959.482558,0,0,163.73664329,,0.00201719251850445,5.63299959482558,,,100000000,449,449,610736.839293156,3440280.36828340311476230773,1899.2511365193,10698.48088248523922645180369,193,1087.16892180133694,852763.760297166,4803617.916235874102576738306,,,
2017-07-29,166,576197741.007135,0,0,552.30822228,,0.00212506652019779,5.76197741007135,,,100000000,289,289,181058.32208496,1043253.961758962132034361896,730.090978147024,4206.767723380047938018630162,172.1502,991.92556353926491677,210996.29268449,1215755.872056834222853938362,,,
2017-07-30,126,548084591.817444,0,0,141.55938468,,0.00200050133052252,5.48084591817444,,,100000000,196,196,706417.31191002,3871764.440509793336187943889,3676.68852590633,20151.36329961250757732004021,171.565522,940.32419095316708565768,720630.95107764,3949667.206724047758179503522,,,
2017-07-31,191,605950234.213252,0,0,137.15456675,,0.0021207202836322,6.05950234213252,,,100000000,406,406,729104.4138847,4418009.903593497884895400444,1940.13913059584,11756.27760590844357304384072,246.86501054,1495.8791095576992358767608,787696.48702191,4773048.707998821788773363513,,,
