date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-10-04,3349,136501924.7564287841852707271,11000000,136576851.5385043,5.49278941,,0.0203539622881473,12.4160774125913,,,10993965.341904236870797206,2770,2155,2001526.82280462,24851111.97532007168156781181,1348.49771279325,16743.05199274330144864364872,101.21062834417,1256.638996498221943427947721,2906012.571069446975502321,36081277.04436173050913944912,,,
2016-10-05,929,101099902.0810629166920624775,0,0,10.10135218,,0.0150224266418674,9.19594513325541,,,10993965.341904236870797206,1867,1831,1088365.71032327,10008551.35704934209921857639,803.723353386255,7390.99586005604971803529839,118.702183272752,1091.578764573855490545709588,1471617.460050232695548,13532913.4197626251076135313,,,
2016-10-06,613,68965493.37654060965616636908,0,0,14.3472375,,0.0102540585824441,6.27303172529333,,,10993965.341904236870797206,1007,963,766277.503874197,4806883.092181420370111243206,1028.62374498066,6452.589385653715894553676998,119.18895199,747.6760771377335780372267,990564.666416377216806,6213843.578384538674191157099,,,
2016-10-07,479,68013404.70264431031695958093,0,0,31.01335593,,0.0100119332904864,6.18643069970456,,,10993965.341904236870797206,694,690,354491.315524771,2193035.957141099010611061656,686.164609515118,4244.909805355117637087453538,97.46065,602.933557173161225564,473453.580565431216429052,2928987.765695029910212780666,,,
2016-10-08,264,57916052.35761524236499026682,0,0,22.39307114,,0.00850634134087376,5.26798571365914,,,10993965.341904236870797206,478,461,490953.887969523,2586338.06788885708914113039,1310.65061147566,6904.488696852392971293646532,183.433605,966.3256105449937913997,604209.931890281466628452,3182969.289248964784253531541,,,
2016-10-09,209,79500934.17038729103475133769,0,0,39.11748501,,0.0117182184287834,7.23132479482759,,,10993965.341904236870797206,380,377,281049.902340149,2032363.127376192174031989911,1158.45656712512,8377.175697582732626612358061,119.37233584,863.2201319762781683778256,436738.125806168828439904,3158195.237988679992783337395,,,
2016-10-10,251,72247022.10297178339011192739,0,0,49.34793257,,0.0106320556920021,6.57151626880225,,,10993965.341904236870797206,486,480,222784.720027227,1464033.412099476675070678861,654.212935754203,4299.170950569626191583213357,137.46954888,903.38337692982612542898,314022.209162017409751657,2063602.056273420373182464282,,,
2016-10-11,234,63592246.66246399145559315486,0,0,68.62035816,,0.00899604053517161,5.78428662314205,,,10993965.341904236870797206,659,370,160214.339247976,926725.6593476099035152229908,566.877068735702,3278.979445653897488728252469,169.932747705,982.93971938380439702649525,209744.51543220980779764,1213222.394891942462990435546,,,
2016-10-12,183,64370953.66340452405064399796,0,0,87.15534418,,0.00919751185233956,5.85511702661553,,,10993965.341904236870797206,469,240,126142.182614897,738577.2412029289236012695504,624.362603605946,3655.716111155177332834163941,174.249612055,1020.25187042438121213821415,149847.02486542710949486,877371.8666772429667807373942,,,
2016-10-13,99,67412499.47937964132514394406,0,0,114.0308037,,0.00964958681925268,6.131772966614,,,10993965.341904236870797206,149,135,96412.2411238535,591177.973773915465094527049,753.564487103021,4620.686350618648419811540894,151.45996,928.71808825243777544,101731.2057589077817,623792.6573335172098510589002,,,
2016-10-14,110,63963186.51301221231344410479,0,0,123.15797263,,0.0090965501378255,5.81802693785219,,,10993965.341904236870797206,146,143,89267.1834958195,519358.8782448722789931739197,897.007185339651,5218.811967753061565453584186,200,1163.605387570438,128272.02750357002207,746290.1113886873911872118367,,,
2016-10-15,69,63165008.89794001871837009802,0,0,68.77337416,,0.00901549023164462,5.74542550695356,,,10993965.341904236870797206,82,81,159857.873431118,918451.5034984991650846848801,2069.47064477371,11889.98942837450346027767891,61.3857960478554,352.6875183779974514392253952,167627.12222667017220476,963089.143698332839505103968,,,
2016-10-16,81,62882133.19089799946053531549,0,0,172.54304196,,0.00889653038496945,5.71969541792337,,,10993965.341904236870797206,98,98,63717.2337827056,364443.1701096933763381720699,670.727138190495,3836.354938985029242052372368,92.19787738,527.3437767926467214963706,65731.259542668545468168,375962.7840205330685882504838,,,
