date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-08-03,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-04,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-05,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-06,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-07,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-08,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-09,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-10,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-11,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-12,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-13,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-14,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-15,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-16,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-17,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-18,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-19,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-20,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-21,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-22,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-23,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-24,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-25,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-26,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-27,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-28,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-29,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-30,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-08-31,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-09-01,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-09-02,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-09-03,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-09-04,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-09-05,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-09-06,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-09-07,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-09-08,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-09-09,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-09-10,5,,20,,9.09090909,,,,,,20,3,3,2.2,,0.733333333333333,,1,,2.2,,,,
2018-09-11,0,,0,,,,,,,,20,0,0,0,,,,,,0,,,,
2018-09-12,5,,0,,13.33333333,,,,,,20,4,4,1.5,,0.625,,0.7,,2.5,,,,
2018-09-13,0,,0,,,,,,,,20,0,0,0,,,,,,0,,,,
2018-09-14,0,,0,,,,,,,,20,0,0,0,,,,,,0,,,,
2018-09-15,0,,0,,,,,,,,20,0,0,0,,,,,,0,,,,
2018-09-16,0,,0,,,,,,,,20,0,0,0,,,,,,0,,,,
2018-09-17,0,,0,,,,,,,,20,0,0,0,,,,,,0,,,,
2018-09-18,0,,0,,,,,,,,20,0,0,0,,,,,,0,,,,
2018-09-19,0,,0,,,,,,,,20,0,0,0,,,,,,0,,,,
2018-09-20,0,,0,,,,,,,,20,0,0,0,,,,,,0,,,,
2018-09-21,2,,100,,,,,,,,120,0,0,0,,,,,,0,,,,
2018-09-22,3,,0,,109.09090909,,,,,,120,2,2,1.1,,0.55,,0.55,,1.1,,,,
2018-09-23,0,,0,,,,,,,,120,0,0,0,,,,,,0,,,,
2018-09-24,2,,0,,30,,,,,,120,2,2,4,,2,,2,,4,,,,
2018-09-25,5,,7500000,,3260921.43478261,,,,,,7500119.3,4,4,2.3,,1.25,,1.35,,5,,,,
2018-09-26,15,,9629.9,,3.55953396,,,,,,7509648.1,45,40,2109727.9,,105486.065,,1.45,,4219442.6,,,,
2018-09-27,21,,1240,,7.50290369,,,,,,7510887,31,31,1001064.029525,,64574.6461137097,,19.9,,2001814.029525,,,,
2018-09-28,32,7521530.496752656105022,840,841.0963222852428,7320.21743587,,0.000151103436614239,1.00130514557767,,,7511726.6,44,44,1026.161677,1027.50096737471098095259,32.2500394318182,32.29213042816232064321741959,2,2.00261029115534,1419.001735,1420.85373883914130725745,,,
2018-09-29,21,7513869.178298174374575,0,0,1988.67446883,,0.000151815082096829,1.00028524445055,,,7511726.5,29,29,3777.252948,3778.3303884417406277214,302.247681965517,302.3338964394892650407116844,63.97347,63.9917180772999269085,8765.182777,8767.68299674519568817735,,,
2018-09-30,18,7511234.7386051466491897,0,0,140.2076565,,0.000151293906257706,0.999934560795319,,,7511726.3,33,33,53575.721094,53572.215141421397564758986,2781.09804542424,2780.916052580007554123161133,288.9,288.8810946137676591,91776.235499,91770.229735140329280829181,,,
2018-10-01,29,7516349.728688890242816,10219.9,10212.2970142495565765,2.50256989,,0.000152051291632474,0.999256060651235,,,7521945.6,41,49,3005688.52314,3003452.4731775047937670779,81749.8086354898,81688.9917360918503449211999,5,4.996280303256175,4005740.623139,4002760.595068500467049926665,,,
2018-10-02,48,7547832.44337046609152,0,0,23.84736992,,0.000153741410712603,1.00344150898545,,,7521945.6,51,51,315420.342984,316505.8649285731568655828,6225.58711729412,6247.012531297989477070450554,1835.32,1841.636270271176094,317504.942982,318597.6390961973429176119,,,
2018-10-03,21,9539871.989093439026132,2000999.5,2004556.24597058497634,9.19542772,,0.000154577509596209,1.00177748468732,,,9522945.1,24,24,1035617.416305,1037458.2104044040391947526,84861.101929375,85011.941238603565770598025,999.9,1001.677306938851268,2036666.446305,2040286.5897264855784943526,,,
2018-10-04,15,9541849.29941507555435,444.4,445.26140915060332,2.36259787,,0.000152911140134198,1.0019383644253,,,9523389.5,15,15,4030897.35011,4038710.698135489263041783,268753.522814667,269274.4650824650024378658751,99.9,100.09364260608747,4031302.84222,4039116.976236970026876166,,,
2018-10-05,20,12784002.767628154970496,3225559.84,3234428.565209925661696,5.71093678,,0.000151985398662093,1.0027495150144,,,12748949.34,24,24,2232374.445747,2238512.3928033442547237568,185890.974406125,186402.0844312960868108232,825.92,828.190879440693248,4461383.385747,4473650.0263511060834597568,,,
2018-10-06,2,12765263.0045797457939604,0,0,509.97837273,,0.000152748947163921,1.00127960855006,,,12748949.34,1,1,24999,25030.98893414294994,24999,25030.98893414294994,24999,25030.98893414294994,24999,25030.98893414294994,,,
2018-10-07,3,12776547.7529282338804302,0,0,3066.1253824,,0.00015241962864005,1.00216475979253,,,12748949.34,4,4,4158,4167.00107121733974,1039.5,1041.750267804334935,1074.5,1076.826034397073485,4158,4167.00107121733974,,,
2018-10-08,14,12812819.180078729896893,0,0,2656.55135381,,0.00015174761791957,1.00500981205395,,,12748949.34,13,13,4799.06,4823.102388635629287,668.173076923077,671.5204984579710917315240042,100,100.500981205395,8686.25,8729.7664799536231875,,,
2018-10-09,17,13206055.0954701729920893,409059.83,410553.4950256964089207,32.10809865,,0.000151798925845737,1.00365145857929,,,13158009.17,16,16,409803.4366,411299.816874395595588014,51099.129575,51285.71593008088512150175,537.4496,539.412074952855978784,817586.0732,820571.454881294161944028,,,
2018-10-10,22,13200847.1292763952790957,609.4,611.355682801058294,122.53890486,,0.000153017859277866,1.00320919396301,,,13158618.57,22,22,107383.190549,107727.80403583860328759249,7267.65747690909,7290.980799409211140102592761,702.885,705.14069429869028385,159888.464492,160401.57758700266514644092,,,
2018-10-11,27,13705275.4649959992033527,427278.4,431032.870716871522544,36.10178382,,0.000162604493074671,1.00878694246391,,,13585896.97,35,36,376322.040953,379628.76107475519374450623,18845.1855195833,19010.7770804655883356584887,316.627271,319.40945661278183928961,678426.678705,684387.97489676239062803655,,,
2018-10-12,25,13696791.0131863256677303,0,0,10.662475,,0.000162070545253138,1.00816243810999,,,13585896.97,36,36,1274178.552986,1284578.95656582483891093014,69232.9474108889,69798.05705930247305686187011,203.465403,205.12617675951167367597,2492386.106792,2512730.05413488862678205208,,,
2018-10-13,10,13624513.8271087720131345,0,0,338.61016225,,0.000161202069561171,1.00284242234385,,,13585896.97,13,13,40122.531703,40236.57688360443719207655,5621.31453092308,5637.292680947584444357661058,999.9,1002.742138101615615,73077.088902,73284.8048523185576629527,,,
2018-10-14,8,13747127.2166576915321258,0,0,101.63453244,,0.000161877579603122,1.01186747161514,,,13585896.97,20,20,133674.024405,135260.3970953078691274917,8795.39857145,8899.777714340525780191753,6222.134189,6295.97518987354964402146,175907.971429,177995.55428681051560383506,,,
2018-10-15,45,34574475.8965655501741931,19929633.74,20559323.5963712877418214,2.68695145,,0.000155455646904445,1.03159565622661,,,33515530.71,82,82,12473441.123811,12867547.68152179225808281071,300365.4133585,309855.655701338776997169685,2098.9,2165.216122854031729,24629963.895397,25408163.76750977971376791417,,,
2018-10-16,48,33862549.1019268550087943,34319.5,34639.372355742589185,80.55254203,,0.000154790282428086,1.00932042587283,,,33549850.21,87,87,416496.479982,420378.40454996685497268906,6221.51628448276,6279.503465828886286958087411,2936.909255,2964.28250000645588004165,541271.91675,546316.8015271129858469025,,,
2018-10-17,50,33656082.1748326103243609,4319.8,4332.920281905727582,69.135979,,0.000155430543744388,1.00303724290609,,,33554170.01,72,71,485335.862684,486809.94559000804934734556,10612.2988143944,10644.5309436857267089794219,1492.245799,1496.77811196715535401591,753473.215822,755761.69700168418904815598,,,
2018-10-18,29,34197437.615644780811028,6459.7,6582.31214781328162,112.47765837,,0.0001565306728654,1.0189810901146,,,33560424.18,34,34,298374.136405,304037.602775969257482013,9345.61207967647,9523.001984736903392283223462,453.623,462.2332590410551958,317750.810709,323782.0674810547357172514,,,
2018-10-19,24,33817742.6293660009730858,7469.6,7525.196903918238056,54.36688659,,0.000156456819124247,1.00744308984661,,,33567893.78,26,26,617432.703714,622028.31080197863383730954,24022.1100874615,24200.90881114763234971928052,499.9,503.620800614320339,624574.862274,629223.62908983944853579114,,,
2018-10-20,34,33790432.6482844171571374,0,0,61.01776651,,0.000155733600242072,1.00662951538583,,,33567893.78,38,38,550133.11207,553780.2280007226046799681,14756.6527218947,14854.4821781578510617591321,99.4755695,100.135044318514451480185,560752.803432,564470.32276999974962816856,,,
2018-10-21,10,33767477.4184742687715196,0,0,783.77914205,,0.000156012543809479,1.00594567057982,,,33567893.78,11,11,42828.256047,43082.89874896364591117154,3907.77372318182,3931.008058440335811894682872,3552,3573.11902189952064,42985.510955,43241.0886428436738119281,,,
2018-10-22,46,44175489.8237685925864464,10399964.54,10455021.5055247312509648,3.35274285,,0.000156139968805251,1.00529395704312,,,43942858.22,49,49,13106539.982078,13175925.44172705570667320336,282735.013898878,284231.8009170445962795656194,2214.269453,2225.99170036607481981336,13854015.681045,13927358.2449351631012316604,,,
2018-10-23,139,90309113.8138336477131876,46024969.2,46199561.565015595103976,0.92034205,,0.000156397331341263,1.00379342709078,,,89967827.42,157,157,97754772.192136,98125597.79322267610967410608,909651.693308783,913102.3906853544374879123207,9.9995,10.03743237419425461,142815315.849479,143357075.3376007159473487036,,,
2018-10-24,155,128961784.17268869559647,38000099.5,38295225.594482855557625,1.924185,,0.000155819323917617,1.00776645583475,,,127967926.92,161,161,66505001.92647,67021510.0867218929219708325,571265.939182696,575702.650869255387995435486,10,10.0776645583475,91973816.208414,92688126.7899500610323435865,,,
2018-10-25,115,128549006.2924536882019518,5000,5037.96134086745,151.09417711,,0.000156428682501416,1.00759226817349,,,127580381.82,142,142,844376.562117,850787.29541600180111767833,9089.66343904225,9158.674601478226135362439952,100,100.759226817349,1290732.208344,1300531.79340990861501760056,,,
2018-10-26,93,128789357.4394472723655072,149.9,151.440626169271624,78.89533387,,0.000157168115723831,1.01027769292376,,,127479165.72,113,112,1615801.080567,1632407.78789894721754857192,28022.3888601607,28310.39436785562467856644823,550,555.652731108068,3138507.552338,3170764.16919983158044375088,,,
2018-10-27,82,128092897.9829727711980244,0,0,156.35212196,,0.000156181976842431,1.00481437307427,,,127479165.72,81,81,815333.774332,819259.09530168691325563764,15607.6597048765,15682.80080151202627621567766,466.86,469.1076382134536922,1264220.436095,1270306.86492247764522377565,,0.00731224391315908,
2018-10-28,68,128039326.1586002672061312,0,0,2764.71265566,,0.000156338911824989,1.00439413323296,,0.3084961331650689,127479165.72,57,57,46109.372509,46311.98323509272911669664,1544.85035910526,1551.63863740815461309674137,99,99.43501919006304,88056.470469,88443.40233226499373745824,,0.00730975021446028,
2018-10-29,92,127916189.6880398210378491,57694.92,57888.9845353460229276,49.05010895,,0.000159666714764302,1.00336363297403,,0.3077510680637031,127487368.97,109,108,2599125.092919,2607867.59578517113606389357,39048.5683614907,39179.91341362007472736518652,473.27,474.8619065776191781,4217245.383041,4231430.64867097248535542523,,0.00731245186228587,
2018-10-30,110,127681681.8583120594444584,274.4,274.987376278900432,16.62821814,,0.000159370195917853,1.00214058410678,,0.22061676813195946,127408952.28,122,121,7662213.185234,7678614.79700107206057528652,97599.517262124,97808.43723760470289366560072,149.98,150.3010448043348644,11809541.588717,11834820.90575016504157120126,,0.00731524630269956,
2018-10-31,123,127417731.2997374774038168,3975,3975.2778007950285,95.01464074,,0.000158341162625782,1.00006988699246,,0.08144322294074242,127408827.08,141,142,1340938.892021,1341032.60620723599238116166,14559.0459945282,14560.06348246584438551465737,67.855,67.8597421818733733,2067384.531223,2067529.01451014550243557858,,0.00728271570992938,
2018-11-01,141,127644981.5279481334205306,2527.7,2533.943609927064307,213.64003303,,0.000157597834758622,1.00247007553391,,-0.09681017207691923,127330465.66,146,148,596004.708721,597476.88537010689810822911,7521.71242538513,7540.291623220180656022124758,49.98,50.1034543751848218,1113213.438957,1115963.16023658749896853187,,0.00729096412708075,
2018-11-02,105,132514582.7158041476239666,5028085.66,5035058.7527704248638698,12.09952944,50.70765357071916,0.000157535318789681,1.00138682855503,,-0.038996297906603444,132331062.22,109,111,10936876.745893,10952044.31886704799767699179,145057.073699,145258.24299091486438715597,844.63515,845.8065141446020473045,16101335.180589,16123664.97199154994697431267,,0.00729377807878001,
2018-11-03,78,132651949.0523671998182664,0,0,484.05370743,50.648700590825015,0.000157997364707823,1.00242487914012,,0.04855734964287395,132331062.22,85,85,273380.949652,274043.86541411733077323824,3610.09652656471,3618.850574325796432722337165,99.97,100.2124151676377964,306858.204758,307602.29881769234593269096,,0.00729481950158215,
2018-11-04,100,132936185.5397526522037354,0,0,483.41590745,50.5898070204544,0.000155909023944494,1.00457279877907,,0.18182843645094465,132331062.22,95,95,273741.637751,274993.40317788839502067157,3562.51565783158,3578.806325082130006907689031,93.6,94.028013965720952,338438.987494,339986.60088280225019895058,,0.00729986371822548,
