date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2014-01-10,4,4,744,186,,0.000244140625,,,,,0,,200,36500,,200,,,,,,,,200,0,0,0,,,,,,,,,,
2014-01-11,5871,9552,2236496,234.139028475712,,0.00866900011350465,0.00008170391061452514,,0,,0.117,,477600,36484.7216408539,,477600,,2.77133284,,,,,,477800,1432,1618,172408.01709101,,113.375173290445,,50,,183441.03038394,,,,
2014-01-12,3615,2890,1336399,462.421799307958,,0.187765791889394,0.00035873850197109066,,0,,0.819,,144500,8475.41378756227,,144500,,4.56511368,,,,,,622300,2283,4027,136316.43020359,,41.6341551819618,,16.89769533,,167660.74291776,,,,
2014-01-13,2131,1112,744144,669.194244604317,,0.61129974068615,0.0006260709914320686,,0.001,,1.023,,55600,2993.65688154595,,55600,,10.08017047,,,,,,677900,1634,3199,67250.84682166,,31.4975995760425,,11.19129184,,100760.82104376,,,,
2014-01-14,2231,1145,877752,766.595633187773,,1.03862650104718,0.003234364448228883,,0.001,,4.74804701,,57250,2842.44711963545,,57250,,3.48841811,,,,,,735150,1468,2877,210740.2202139,,84.7654049892075,,11.2256101,,243870.07015395,,,,
2014-01-15,2692,976,872560,894.016393442623,,1.43780166739795,0.002321289552495697,,0.001,,4.04600769,,48800,2272.08367880605,,48800,,2.99771809,,,,,,783950,1743,3249,261515.58521965,,132.927228351305,,13.06041563,,431880.56491339,,,,
2014-01-16,2038,708,623403,880.512711864407,,1.73861233101579,0.001544049459041731,,0.001,,1.998,,35400,1576.98175382926,,35400,,8.61225205,,,,,,819350,1294,2590,95137.7171659,,47.2395226055946,,11.62475534,,122350.36354849,,,,
2014-01-17,919,387,286319,739.842377260982,,2.25693224371105,0.0021084529824561406,,0.001,,1.32200002,,19350,842.106832001908,,19350,,23.41703142,,,,,,838700,627,1205,35815.81221244,,35.9768549450871,,13.03203346,,43352.11020883,,,,
2014-01-18,1460,442,525853,1189.71266968326,,2.25693224371105,0.0007255102040816327,,0.001,,0.711,,22100,937.093401486989,,22100,,6.28890314,,,,,,860800,980,1905,136876.01494833,,82.5492587256798,,11.56322342,,157256.33787242,,,,
2014-01-19,1948,761,679139,892.429697766097,,2.2569322437111,0.0018314814814814815,,0.001,,2.967,,38050,1545.11320020026,,38050,,14.49874702,,,,,,898850,1620,3217,61995.01229136,,27.9443362200404,,11.15937191,,89896.92961987,,,,
2014-01-20,3112,1193,1104451,925.776194467728,,2.11958231795674,0.0005905420991926182,,0.001,,1.536,,59650,2271.49191444966,,59650,,5.65102759,,,,,,958500,2601,5128,169615.16917751,,44.7099668675605,,11.23860567,,229272.71009685,,,,
2014-01-21,3124,1207,1161300,962.137531068765,,2.7395342096808,0.004953778778262594,,0.001,,12.4884763,,60350,2162.02090592334,,60350,,7.27332194,,,,,,1018850,2521,4950,140080.42108064,,38.9844149839192,,11.125800685,,192972.8541704,,,,
2014-01-22,2838,758,971729,1281.96437994723,,5.65278596722954,0.0010852279194630873,,0.001,,2.4254844,,37900,1309.06079962148,,37900,,5.86454945,,,,,,1056750,2235,4377,180192.87044004,,63.2281372844642,,10.31641266,,276749.5568941,,,,
2014-01-23,3559,1047,1221120,1166.30372492837,,5.6681644495978,0.0009965241605839415,,0.001,,2.86700001,,52350,1722.81579659183,,52350,,6.3129857,,,,,,1109100,2877,5681,175685.4923117,,43.6682970357349,,10.81704562,,248079.59546001,,,,
2014-01-24,4182,904,1288664,1425.51327433628,,7.95296754430633,0.0015567282321899737,,0.001,,5.31,,45200,1429.26448930087,,45200,,5.86765028,,,,,,1154300,3411,6765,196722.69900589,,40.4610235493525,,10.07750349,,273718.82431137,,,,
2014-01-25,4492,1042,1361788,1306.89827255278,,7.95296754430633,0.0009026581277821419,,0.001,,3.44725139,,52100,1576.30139257294,,52100,,11.03395716,,,,,,1206400,3819,7582,109335.20791483,,24.9175374090794,,9.93670764,,188924.76863564,,,,
2014-01-26,2580,532,830846,1561.74060150376,,12.7945849432961,0.0006636855555555557,,0.001,,1.26631204,,26600,787.42903487429,,26600,,15.51699325,,,,,,1233000,1908,3775,79461.2706183,,31.950972577947,,10.00916223,,120614.92148175,,,,
2014-01-27,1918,353,675863,1914.62606232295,,13.4449514595785,0.00882875605815832,,0.001,,10.93,,17650,515.112141686323,,17650,,8.76839648,,,,,,1250650,1238,2448,142631.55225241,,64.6684409024918,,10.197092135,,158308.3433293,,,,
2014-01-28,1709,382,605756,1585.74869109948,,13.4449514595784,0.0007670018524871355,,0.001,,0.89432416,,19100,549.045087615672,,19100,,17.17895354,,,,,,1269750,1166,2303,73913.11683574,,46.3246908453973,,9.12375582,,106685.76301695,,,,
2014-01-29,1862,433,564421,1303.51270207852,430322.19145776494194,13.4449514595784,0.0005892400300978179,0.0001963474222133594325642483843,0.001,0.0003332214584619521,0.7831,0.26094572412155468951,21650,611.913427288214,7214.244575701262965,21650,7214.244575701262965,22.53330075,,0.00042000000000000007,0.3332214584619521,,,1291400,1329,2626,57310.73376492,19097.16629067128546860570033,30.2355758320868,10.07514267620491442889614464,9.45247329,3.149766935766446706509409,79398.62213506,26457.32466771412634987745063,,,
2014-01-30,1956,511,651125,1274.21722113503,316197.186996879327247,12.5294813141506,0.0006702799561723886,0.0001609329409940398936897824464,0.001,0.00024009809559731146,0.91761326,0.2203171962208406160459596,25550,708.13242719921,6134.506342511307803,25550,6134.506342511307803,19.25508678,,0.0003003198997001855,0.24009809559731146,,,1316950,1369,2710,68394.91377845,16421.48854674816285833008604,41.2606608898967,9.906606102750668013495597126,10.54813488,2.5325870967915754454497248,111816.39101162,26846.90253845429663098161917,,,
