date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-07-18,2,,70000000,,,,,,,,70000000,0,0,0,,,,,,0,,,,
2017-07-19,0,,0,,,,,,,,70000000,0,0,0,,,,,,0,,,,
2017-07-20,0,,0,,,,,,,,70000000,0,0,0,,,,,,0,,,,
2017-07-21,4,,0,,1.99999949,,,,,,70000000,3,3,35000009,,11666669.6666667,,9,,35000009,,,,
2017-07-22,0,,0,,,,,,,,70000000,0,0,0,,,,,,0,,,,
2017-07-23,574,,0,,5.83332361,,,,,,70000000,14,576,12000020,,20833.3680555556,,3032.2524,,12000020,,,,
2017-07-24,18,,0,,1010.49109213,,,,,,70000000,10,10,69273.2479732,,6927.32479732,,4211.125,,69273.2479732,,,,
2017-07-25,14,,0,,13.42327469,,,,,,70000000,15,15,5214822.8832,,347654.85888,,5000,,5214822.8832,,,,
2017-07-26,63,,0,,108.71169189,,,,,,70000000,68,67,643904.98188332,,9610.52211766149,,823,,643904.98188332,,,,
2017-07-27,94,,0,,44.18218164,,,,,,70000000,113,113,1584349.1064375,,15024.955897677,,411.46354,,1697820.0164375,,,,
2017-07-28,76,,0,,60.30210719,,,,,,70000000,91,91,1160821.78990387,,12756.283405537,,812.92708,,1160821.78990387,,,,
2017-07-29,27,,0,,1883.7118733,,,,,,70000000,49,49,37160.67249566,,758.38107134,,121,,37160.67249566,,,,
2017-07-30,0,,0,,,,,,,,70000000,0,0,0,,,,,,0,,,,
2017-07-31,27,,0,,722.61314853,,,,,,70000000,27,27,96870.64253216,,3587.80157526518,,500,,96870.64253216,,,,
2017-08-01,25,,0,,7.1059876,,,,,,70000000,20,20,9850847.47941192,,492542.373970596,,1409.326,,9850847.47941192,,,,
2017-08-02,22,,0,,33.41772249,,,,,,70000000,19,19,2094696.90896099,,110247.205734789,,4508.5,,2094696.90896099,,,,
2017-08-03,151,,0,,1299.80547664,,,,,,70000000,21,164,53854.21223236,,328.379342880244,,88,,53854.21223236,,,,
2017-08-04,18,,0,,166.43013723,,,,,,70000000,19,19,420596.90130114,,22136.6790158495,,999,,420596.90130114,,,,
