date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-06-30,53,378,697656242.1360943620794653571,0.000262409046214356,0.001153536746830592535289420428,0,0,0.80061,3.5194406145801371394,,,,,,139.58460299,,0.000689027001135284,4.39594885722154,,,158704358.216089,3051,60,1136976.104892,4998088.80898818519472177368,18953.3352648667,83317.89249812748401694046872,2,8.79189771444308,1137200.115892,4999073.54988764024911871368,,,
2018-07-01,364,1436,740375037.3269256739986053424,0.000276908060161975,0.001080415706408091773049159516,0,0,3.590113,14.00758963358088691502,,,,,,47.52818328,,0.000613178698544946,3.90171274095854,,,189756418.906697,12965,411,3992503.096503,15577600.19994217846634198562,9714.46738808516,37903.06117971809854711354927,50,195.085637047927,3992646.096503,15578158.14486413553756198562,,,
2018-07-02,1171,1428,733379925.0061170218354437044,0.000321614934929362,0.0009377761892544332621632316364,0,0,4.621285,13.474906063396944027,,,,,,3.78126051,,0.000441135295804143,2.9158353279222,,,251516235.496302,14369,1410,66516505.512584,193951176.6635241916386729648,47185.7287337475,137585.8148156146166361944445,212.265,618.929785881405783,66531877.514584,193995998.8900166823529173648,,,
2018-07-03,2158,1438,637565430.916244351266326428,0.000206275688130527,0.000486161617248124381394730042,0,0,3.312375,7.80678324977037526875,23024,3.10657256912628,54264.1994166460984,23024,54264.1994166460984,14.51575042,,0.000362647917892975,2.35685369252285,,,270515489.75608,16058,2592,18635997.585808,43922319.7239585029408757128,7227.94499838272,17035.20885879037870340664515,1000,2356.85369252285,18734833.435808,44155261.3619846374650482128,,,
2018-07-04,1174,1439,621146126.3634354825939384917,0.000242046191069727,0.000540193859762788846335849416,0,0,3.301268,7.36770405330466245032,,,,,,33.25004017,,0.000339121736603664,2.23178004733474,,,278318702.197032,13639,1263,8370477.170455,18681063.9356924204394231067,6725.23933212431,15009.25495498584779567786153,656,1464.04771105158944,8493977.276473,18956689.00814711788775757202,,,
2018-07-05,1241,1431,573839615.42478027686583768,0.000285045073909561,0.0005580405912912692689087239378,0,0,3.914524,7.6635714402029984952,,,,,,19.57409521,,0.000299479235290609,1.9577275398498,,,293115157.1116,13733,1408,14974646.541916,29316277.9346255256560442168,10802.9673100447,21149.26661497162213106928606,1000,1957.7275398498,15210577.972543,29778167.3938801661227440414,,,
2018-07-06,1091,1428,575185864.164488481008791399,0.000278723770983213,0.0005304812819895785302516904072,0,0,3.71929,7.0787422268689468095,22864,2.76142293126506,43515.9297272144952,22864,43515.9297272144952,17.22677899,,0.000288364384705277,1.90325095028055,,,302212308.933671,13344,1251,17543169.795955,33389054.58508439619350517525,14073.2422743469,26784.9117321791461746230228,998.9,1901.157374235241395,17605626.085208,33507924.5769561653458051044,,,
2018-07-07,865,1431,602764014.4386059587471119312,0.000165277530979659,0.0003240803663926487276580448328,0,0,2.120676,4.15827518118406674792,,,,,,53.04969929,,0.000290809739690957,1.96082531286442,,,307403219.69736,12831,947,5794626.996708,11362251.29375257854139032936,6235.1460953189,12226.03229310904881971236354,800,1568.660250291536,5904683.352267,11578052.58157427256567064014,,,
2018-07-08,1246,1436,777895935.3095715889445824024,0.000322099576580523,0.0007989807215474764900063599966,0,0,4.41212,10.944437923757322904,,,,,,28.86245729,,0.000369903325716423,2.4805394966042,,,313599495.744572,13698,1429,10865308.265127,26951826.2944275822097817334,7774.84390142617,19285.80737741990609825201191,901.65,2236.57843711317693,11110251.935138,27559418.7423330534296583796,,,
2018-07-09,1228,1317,744671311.6710007027960693452,0.000312700148075025,0.0007234509067199403600023356275,0,0,3.801183,8.7942692220875859933,21088,2.39135808457028,48788.3770277261088,21088,48788.3770277261088,30.14805203,,0.00034720556672356,2.3135611261251,,,321872330.608452,12156,1279,10676388.984514,24700478.5219618226647267014,8428.31146531509,19499.41376502747132950225776,978,2262.6627813503478,10779810.364138,24939750.2054701355759416638,,,
2018-07-10,951,1255,770581676.1686463313430868944,0.0021417119047619,0.004977065457812799424035582184,0,0,3.598076,8.36146996912552162336,,,,,,12.48460793,,0.000368389052336195,2.32387252774136,,,331593780.19654,1680,1014,26560207.738501,61722537.09460594967104210136,26376.0108415355,61294.48698605261834268925828,771.515778,1792.90432121320194317808,26745274.993317,62152609.80385736197110449112,,,
2018-07-11,956,1203,768900102.0637050471094354531,0.00250501299435028,0.005516205933589571040178590996,0,0,4.433873,9.76368450245355043021,,,,,,20.01824535,,0.000345328793207666,2.20206679407677,,,349172016.09503,1770,1092,17442688.410789,38409964.94882616342976227153,16037.1856458416,35314.95398115240628586165963,900,1981.860114669093,17512606.725259,38563929.74741836776794413343,,,
2018-07-12,850,914,662957919.0348721668041822411,0.00174351582119538,0.00322384173782711053384901522,0,0,3.47134,6.4186689000137741514,14640,1.49037583243043,27070.0400122723944,14640,27070.0400122723944,64.37756109,,0.000300142252538332,1.84904644892571,,,358540435.487734,1991,895,5569338.592435,10297965.74720684884928300385,6301.30829523575,11651.41172689178296209868613,999.9,1848.861544280817429,5639670.924236,10428013.49556815268500250756,,,
2018-07-13,777,1389,740617387.8829300568096078778,0.00769451192250373,0.01573365794757300452981306233,0,0,10.326035,21.1145689656429605055,,,,,,50.95985396,,0.000329313276322367,2.0447895988773,,,362197356.779186,1342,817,7107503.82116,14533349.887488633395983668,8892.62906261934,18183.55541391802054226126698,1000,2044.7895988773,7265277.94416,14855964.773171021188091568,,,
2018-07-14,587,1177,739161299.8397136984647168169,0.0113889660523763,0.02311420440533244441878045993,0,0,11.742024,23.83074474189782062032,,,,,,95.76398007,,0.000324448513838154,2.02952614829418,,,364203881.019705,1031,643,3803140.604089,7718573.30163794912208290202,8283.3011006112,16811.17617788439069943540282,851.0552,1727.238782041733018736,5326162.607693,10809586.28237965997249512674,,,
2018-07-15,580,1223,832033399.5581092527033242532,0.00116782112767336,0.002643189390158451472081133838,0,0,1.801948,4.07844122901450311512,,,,,,116.05611694,,0.000356546451633552,2.26335123378394,,,367611260.302313,1543,672,3167530.243097,7169233.48376153834737446218,4792.84828704911,10847.89908383184653620190929,657.85,1488.945609144764929,3220794.048897,7289788.18433499652669331418,,,
2018-07-16,785,1356,931523612.4069073666110870635,0.00123739603960396,0.003109847583629559258428007952,0,0,1.874655,4.71141908919878378445,21712,2.13810588822238,54567.01700562716528,21712,54567.01700562716528,57.44334082,,0.000374436641124165,2.51321927992019,,,370649556.864966,1515,810,6452437.333679,16216389.90947888710751907901,8104.64901972716,20368.76017336456681338037536,1000,2513.21927992019,6564765.705979,16498695.74042530012412581601,,,
2018-07-17,866,1231,972218534.9855828131390703003,0.00179266262755102,0.004494825480532739597256731963,0,0,2.810895,7.0478863534753372932,,,,,,31.61657615,,0.000342376978127697,2.50734600669016,,,387748054.074502,1568,926,12264074.777808,30750278.91988640008349996928,13400.4062126901,33599.45500541453310249079942,623.62,1563.6311166921175792,12408776.152951,31113095.33501377591342666216,,,
2018-07-18,1610,1433,963450687.7882754944610174496,0.00157039756592292,0.003827674219400997506993080188,0,0,3.87103,9.435216950823464217,,,,,,77.60529614,,0.000330522935548504,2.4373918442439,,,395279359.805664,2465,1608,5093458.558536,12414754.3495699375228109304,3219.42881507463,7847.009536986706101314422257,598.9949995,1459.98552652417895837805,5176841.53464,12617991.335474611126458696,,,
2018-07-19,841,1431,919734695.7798958462073149489,0.00208932474226804,0.004828751654441407980376246721,0,0,3.242632,7.49422256769306962296,22912,2.10146527357531,52953.16504339179136,22912,52953.16504339179136,82.03451464,,0.000309514751709121,2.31115420056703,,,397954708.32463,1552,795,4851064.33646,11211557.7184304411427029138,6155.41516441887,14226.11361348066702043443186,450,1040.0193902551635,4893555.055713,11309760.32271712646784094239,,,
2018-07-20,856,1380,866511592.2187828573011517503,0.0013666323292711,0.002950229621958192340130576492,0,0,5.943484,12.83054862589614848048,,,,,,81.25932742,,0.00029458918982535,2.15875884008372,,,401393419.278449,4349,877,4939659.63095,10663533.895317998402303134,5690.30083347548,12283.98722700095235902176719,387,835.43967111239964,4990393.830958,10773056.79807984394024780376,,,
2018-07-21,550,1405,885541478.3578322153021265185,0.000251359382903389,0.0005526531424880066807176717109,0,0,2.981625,6.5555715761927345475,,,,,,85.96626173,,0.000296664532635195,2.19865730136846,,,402764668.148449,11862,537,4685148.104207,10301035.08730731903578311122,8828.56676017691,19410.99276788185293157469426,576.0953,1266.636137629053374238,4740940.350215,10423703.1163525535511552189,,,
