date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-01-12,4,,12600000000,,1,,,,,,12600000000,2,2,12600000000,,6300000000,,6300000000,,12600000000,,,,
2018-01-13,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-14,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-15,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-16,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-17,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-18,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-19,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-20,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-21,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-22,0,,0,,,,,,,,12600000000,0,0,0,,,,,,0,,,,
2018-01-23,307,,0,,3.37143331,,,,,,12600000000,306,306,3737282878.01,,12213342.7385948,,232120,,3737282878.01,,,,
2018-01-24,798,,0,,5.00457843,,,,,,12600000000,796,796,2517694580,,3162932.88944724,,580300,,2517694580,,,,
2018-01-25,2823,,0,,2.07071042,,,,,,12600000000,4141,4238,6084868209.5357,,1486274.47581044,,33705.6201195103,,6298831228.484629541051,,,,
2018-01-26,2433,,0,,5.34551321,,,,,,12600000000,3138,3138,2357116986.59601,,802854.550231336,,20209,,2519357578.625932706686,,,,
2018-01-27,1065,1273727832.087695418,0,0,17.63949988,,0.000008873135449746884,0.10108951048315043,,,12600000000,1236,1235,714305966.004549,72208840.43859375080765323131,586691.534356756,59308.36001273289633138643481,20000,2021.7902096630086,724564044.930593784957,73245824.61572513960110420843,,,
2018-01-28,785,1230651908.009793486,0,0,64.73434129,,0.000008344811331885627,0.09767078634998361,,,12600000000,902,901,194641665.457177,19010804.52167291966423710687,236028.16134308,23053.05611911942722939358692,14236.67378,1390.5071231007935639167458,212661373.370115256457,20770803.56332662116837756877,,,
2018-01-29,791,1100769644.925756414,0,0,38.69249594,,0.00000780689281849808,0.08736267023220289,,,12600000000,873,873,325644538.915604,28449176.4662016731516007149,416490.208506676,36385.69674071015825687275149,12442.2197633912,1086.985542145742873578552841,363595952.026328365046,31764713.25463998711996803527,,,
