date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-08-11,15,123837546.826153,1000000000,123837546.826153,0.99998829,,0.0000339078247976162,0.123837546826153,,,1000000000,13,13,1000011708.33,123838996.75701763105195449,76923977.5638462,9526076.673616746565729429669,5208.33,644.98681026105745449,1000011708.33,123838996.75701763105195449,,,
2017-08-12,0,160596899.194939,0,0,,,0.0000415295221581967,0.160596899194939,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-08-13,4,199240397.093034,0,0,12.08459215,,0.0000490465522327153,0.199240397093034,,,1000000000,8,8,82750000,16487142.8594485635,10343750,2060892.8574310704375,5000000,996201.98546517,82750000,16487142.8594485635,,,
2017-08-14,3,318355067.880826,0,0,19.04761905,,0.0000739666738524762,0.318355067880826,,,1000000000,2,2,52500000,16713641.063743365,26250000,8356820.5318716825,26250000,8356820.5318716825,52500000,16713641.063743365,,,
2017-08-15,9305,879964649.36278,0,0,0.83225516,,0.000211690855691832,0.87996464936278,,,1000000000,12910,22661,1201554582.1766,1057325556.595273446335426948,66399.2805957782,58429.0196674048056593882154,39398.8562500082,34669.6007253330390304997748,1504674097.580930048432548841,1324060014.683060528282910644,,,
2017-08-16,8682,693047611.937453,0,0,2.78580566,,0.000158477646828862,0.693047611937453,,,1000000000,14741,21003,358962584.978732,248778162.2944052505853192496,28363.1943311679,19657.04409813381755022324136,19720.5,13667.2454312125418865,595712170.537520465438965423,412856897.1931053058429932256,,,
2017-08-17,6083,501009908.947812,0,0,7.47757253,,0.00011648228490007,0.501009908947812,,,1000000000,9884,9865,133733239.830192,67001678.3106203990522699399,16775.5005536286,8404.692004927434682904630623,5000,2505.04954473906,165490312.961546208527117871,82912286.62860917798062917505,,,
2017-08-18,6071,306027965.025771,0,0,8.62746846,,0.0000745963709070172,0.306027965025771,,,1000000000,9497,9490,115908856.133474,35471351.37099190373182575845,15442.7002645514,4725.898136463600408418754129,5000,1530.139825128855,146551225.510593211295746864,44848773.31503969802828592359,,,
2017-08-19,7160,653445311.281545,0,0,6.6434689,,0.000156926740404419,0.653445311281545,,,1000000000,14077,12871,150523772.276747,98359053.23065133694897373412,16371.2476765332,10697.71503405950720291473979,4557.35145149,2977.97993783828397779975205,210714328.844658699572602067,137690290.2033798403456439583,,,
2017-08-20,2605,535762242.135677,0,0,16.19700977,,0.00013104182313691,0.535762242135677,,,1000000000,4066,3871,61739791.113172,33077848.91578137609048583744,22362.3909416835,11980.92471043090533020179223,2591.62851487,1388.49670390950592055201699,86564815.335256859844823221,46378159.55407805132658390595,,,
2017-08-21,2303,401207647.3406,0,0,33.41916069,,0.000100512188588391,0.4012076473406,,,1000000000,3265,3162,29922953.762203,12005317.8804150212177473418,12699.0724428708,5094.96497821203966704939448,3000,1203.6229420218,40154467.064357576216821682,16110279.26110651220269437931,,,
2017-08-22,1834,395888965.952598,0,0,30.71966109,,0.0000972800954328394,0.395888965952598,,,1000000000,2618,2495,32552442.4616463,12887152.78537259748715884209,15199.3401727795,6017.251064163458478126906141,3004.47855281723,1189.439907501571279323537664,37922353.731084887804218861,15013041.40508784287947732947,,,
2017-08-23,2012,401762547.831904,0,0,46.83688302,,0.0000970410254958954,0.401762547831904,,,1000000000,3187,2970,21350694.9105956,8577909.585262554041897322022,9226.72790164814,3706.953709917874072505274259,2500,1004.40636957976,27403381.867894965538637947,11009652.51845608187270970191,,,
2017-08-24,1630,392674098.557892,0,0,59.83404877,,0.0000906349850335347,0.392674098557892,,,1000000000,2491,2320,16712892.0828656,6562719.832934579525122855315,9387.30117424819,3686.150026489349063086291215,2943.158492725,1155.7021080437935148733357,21778538.724255805132965548,8551868.061455291527803536263,,,
2017-08-25,1573,366402156.368986,0,0,48.86595305,,0.0000843041198109505,0.366402156368986,,,1000000000,2512,2319,20464146.0498162,7498107.240902522478064680373,11172.8237197724,4093.746703655162722358338786,3500.8742745,1282.727883353509417050657,25909778.20615222911680612,9493398.605776334633779024615,,,
2017-08-26,1957,353277763.711429,0,0,30.7531176,,0.0000813746414672264,0.353277763711429,,,1000000000,2910,2815,32517028.453561,11487543.09461493649973144867,14745.7566364574,5209.347928760633414914451625,4219.322865,1490.592946123699641524085,41509304.931627564258804623,14664314.41946117714869211668,,,
2017-08-27,1189,357647633.258393,0,0,93.37201084,,0.0000823544790812213,0.357647633258393,,,1000000000,1616,1568,10709847.5335859,3830351.622945234770920561459,8408.86309490141,3007.409984285335016543390034,2002.83074059,716.30767418916796702327187,13185097.332805414874619362,4715618.855359406734606196161,,,
2017-08-28,1391,349898606.157438,0,0,68.04169709,,0.0000799253195328748,0.349898606157438,,,1000000000,2465,2262,14696870.3417556,5142414.447456873905558918153,9064.22722083708,3171.560470465202250304628201,2842.736189335,994.66943032162326718652373,20503281.973533482206857627,7174069.784192290025854451699,,,
2017-08-29,1493,367337646.945873,0,0,49.19924773,,0.0000798521561038627,0.367337646945873,,,1000000000,2256,2120,20325514.0286205,7466326.496238786028136358196,11449.7677298576,4205.930735962680851153197685,2537.46277889159,932.1056064107726908556649081,24273507.587298020678150138,8916573.16024084985849133604,,,
2017-08-30,1878,337398057.28671,0,0,49.39111219,,0.0000736237858279466,0.33739805728671,,,1000000000,2763,2643,20246557.641404,6831149.21495310289339494084,9559.07834225569,3225.21446212853415470245888,3162.0092,1066.855761202704057732,25264644.058581792833256532,8524241.823405717175553264703,,,
2017-08-31,1659,374429907.733867,0,0,51.23196395,,0.0000790578321025799,0.374429907733867,,,1000000000,2332,2186,19519064.326595,7308521.454858380656830292865,10935.5177574917,4094.584904959681394409061404,2500,936.0747693346675,23905041.817876919049925626,8950762.602241887061070061453,,,
2017-09-01,1869,384916629.231503,0,0,56.81365514,,0.0000784766615504669,0.384916629231503,,,1000000000,2674,2608,17601402.2964756,6775072.441707023968593390827,9419.85786021289,3625.859935393024195360674674,2499,961.906656449525997,24566989.299435228185677802,9456242.711505011360864039257,,,
2017-09-02,1250,309082632.084408,0,0,88.92752417,,0.0000681964217463814,0.309082632084408,,,1000000000,1963,1881,11245112.3471466,3475668.922340946260849150213,8027.17115719326,2481.05918945733599649668869,3465.75,1071.203132146537026,15099108.946680521410827291,4666872.335369248808762261851,,,
2017-09-03,1144,290524058.404828,0,0,91.91596498,,0.0000629701177609216,0.290524058404828,,,1000000000,1614,1577,10879502.8181186,3160757.312146578964132116601,9199.95639836668,2672.808670000952394425426331,3273.76856671,951.10853027874609050407588,14508331.240224256543784158,4215019.272591502560450733586,,,
2017-09-04,2073,242780252.559487,0,0,26.3212654,,0.0000573381906105261,0.242780252559487,,,1000000000,3300,3183,37992094.4097995,9223730.276074996804529492856,15818.1006226122,3840.322464169168477317831941,4772.182,1158.591551219837790634,50349014.281774663620135125,12223746.40345047079437889915,,,
2017-09-05,1476,247701691.35909,0,0,52.40109466,,0.0000560084869691223,0.24770169135909,,,1000000000,2048,1987,19083570.8011556,4727032.764617186313106564404,12331.9731210865,3054.650599887962035322451285,3664.3157962,907.657220392570533457458,24503630.591598841978315535,6069590.741977372260807771517,,,
2017-09-06,1299,256898347.848247,0,0,64.05762963,,0.0000558282729843876,0.256898347848247,,,1000000000,1779,1696,15610942.9246681,4010425.445700515916651641821,10960.471243082,2815.726953985987835984577254,3000,770.695043544741,18588959.228267083399886444,4775472.913960238298441836144,,,
2017-09-07,1562,309024612.96001,0,0,56.72212287,,0.0000668392529735168,0.30902461296001,,,1000000000,3481,2724,17629805.6089863,5448043.854877204753498537863,8996.46894011607,2780.130332226119913915668361,2717.421657805,839.75017605233886236937805,24506381.392876169663563649,7573075.024983949095303978808,,,
2017-09-08,1334,259951097.145644,0,0,58.24851611,,0.0000601960951776093,0.259951097145644,,,1000000000,1921,1819,17167819.3157796,4462793.466735086306648604062,11167.9263883717,2903.114717499012929662907875,2742.53276402,712.92440096487457182292888,20314458.100448191691796036,5280765.671130722557530341889,,,
2017-09-09,959,257765531.058036,0,0,117.53100465,,0.0000595764799088477,0.257765531058036,,,1000000000,1307,1253,8508393.19369756,2193170.490024030514193791592,8463.78944677245,2181.673181510701294753835908,2132.31246333,549.63665449192636435181988,10605128.176805884985381683,2733636.496432910046050943097,,,
2017-09-10,829,249288999.744782,0,0,125.53942082,,0.0000587089093794252,0.249288999744782,,101.30324456018307,1000000000,1191,1152,7965625.40633689,1985742.789887345986255511608,8438.49125985201,2103.623045523592858533089712,2363.47104926,589.18733379577578574996132,9721141.93134951388342771,2423373.748443178565050650164,,0.303375550047535,
2017-09-11,1454,275493010.66049,0,0,74.94184312,,0.0000655200155455901,0.27549301066049,,71.54316929001565,1000000000,2057,1972,13343680.3573592,3676090.674940129098424178008,8641.35166877927,2380.631987408050481614720042,3790.20000000039,1044.173609005496640274157591,17040745.490832728193689627,4694606.279168677685831526993,,0.301399991784129,
2017-09-12,1341,257368921.113558,0,0,79.84864125,,0.0000619491205363385,0.257368921113558,,29.17506934769924,1000000000,1690,1597,12523694.6345068,3223209.776438670198468123194,9443.3518932225,2430.425288454350192213060655,2800,720.6329791179624,15081032.973476327476036675,3881389.185661595963952237197,,0.288507838980028,
2017-09-13,973,226076125.288018,0,0,77.56243364,,0.0000582463189487871,0.226076125288018,,-28.986170443924582,1000000000,1397,1319,12892839.3957047,2914763.174541630037359576285,12319.6231709714,2785.172671501699824281840685,3838,867.680168855413084,16249582.962511297221187432,3673642.753710746730185901328,,0.211423795149666,
2017-09-14,1076,178895673.348787,0,0,73.81639333,,0.0000551963691273474,0.178895673348787,,-79.67012953550658,1000000000,1601,1526,13547126.2525222,2423522.272885988440679060571,12218.7887037183,2185.888432658237536519694702,3999.995,715.581798916781256065,18645871.561874147190677914,3335665.748236474307428782927,,0.211272724711582,
2017-09-15,1212,211085562.371508,0,0,78.21558779,,0.000057284312348465,0.211085562371508,,-69.54241545087983,1000000000,1646,1573,12785175.2862145,2698765.915308893485279976466,11392.3363379121,2404.757722613541623325248447,4080.659566,861.368319335783766045528,17920145.059535738872661361,3782683.897671102149798973099,,0.207828040063454,
2017-09-16,793,213080111.371794,0,0,124.20720338,,0.0000576401835477756,0.213080111371794,,-57.46988082146104,1000000000,987,970,8051062.84306056,1715521.367260656563195017845,10377.2880051681,2211.193683878400738252568571,2500,532.700278429485,10065969.36501303483097557,2144857.873362043992326796966,,0.187818591442221,
2017-09-17,578,207309682.640083,0,0,184.31174289,,0.0000563351869336108,0.207309682640083,,-32.25792857766277,1000000000,721,712,5425590.27623958,1124777.398302347586399819085,9424.18774357338,1953.725370260757314934839791,2183,452.557037203301189,6710021.673424245013594331,1391052.463625658887648737458,,0.115279169850805,
